route	genes	route_class	desired_direction	modality	local_breadth	negative_breadth	state_coupling	confounder_dominant	ms_anchor_delta	ms_anchor_p_min	ms_anchor	genetics_disease_count	genetics_ready_score	foundation_contexts	best_direct_selectivity	best_direct_margin	direct_selective	manual_druggability	manual_direction_score	manual_safety_score	manual_prior_risk	europepmc_autoimmune_hit_count	clinicaltrials_autoimmune_count	chembl_nM_activity_count_first4_genes	chembl_best_target_snapshot	supporting_diseases_union	supporting_disease_count_union	resolution_rescue_score	n_gate_failures	gate_failures	wave32_call	manual_blocker	europepmc_top_titles
NPC1_NPC2_CHOLESTEROL_EGRESS	NPC1;NPC2	lysosomal cholesterol egress	enhance cholesterol egress/lysosomal export	chaperone/cyclodextrin-like or gene/protein rescue concepts	3.0	1.0	7.0	7.0	0.2195673330536856	0.2084882644038883	False	0.0	0.0	0.0	0.0	0.0	False	1.5	1.0	1.0	medium	1478	1	0	NPC1:CHEMBL1293277:NPC intracellular cholesterol transporter 1	Crohn disease;Hashimoto thyroiditis;MS;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	8	9.325	5	local_breadth_at_least_5_or_strong_state_specific_4;ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	V3 found NPC1/NPC2 to be readout-like; clinical-style enhancement is not autoimmune-validated and CNS/peripheral delivery is unresolved.	2025: Autoimmune thyroid disease and human health: a systematic review of Mendelian randomization studies. || 2026: The shared genetic architecture underlying the autoimmune and cardiovascular disease: a multivariate genome-wide analysis. || 2026: 2025 Consensus Clinical Management Guidelines for Niemann-Pick Disease Type C.
CD300_RESOLUTION_CHECKPOINT	CD300A;CD300C;CD300E;CD300LF	lipid/apoptotic-cell checkpoint receptor family	agonize inhibitory CD300 family signals or tune apoptotic-cell recognition; direction is receptor-specific	antibody/ligand concepts, no mature autoimmune-grade route identified	3.0	0.0	0.0	0.0	0.3851961285821783	0.0766109345414007	True	0.0	0.0	1.0	0.0	0.0	False	1.0	0.5	1.0	medium	802	0	0		Crohn disease;c1q_phagocytic_myeloid:0.515,p=0.0008;c1q_phagocytic_myeloid:0.752,p=0.014;complement_effector:0.697,p=0.016;complement_phagocytosis:0.514,p=0.0012;complement_phagocytosis:0.685,p=0.025;core_lysosomal_lipid:0.538,p=0.03;hif_nampt_metabolic:0.466,p=0.011;hla_ii_apc:0.812,p=0.017;ibd_crohn_myeloid;lipid_loader_repair:0.498,p=0.022;lipid_loader_repair:0.796,p=0.024;lysosomal_apc:0.362,p=0.037;lysosomal_apc:0.534,p=0.046;mif_cd74_receptor_state:0.493,p=0.024;mif_cd74_receptor_state:0.642,p=0.04;psoriasis;psoriasis_skin_apc;ulcerative colitis	19	6.0	5	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	Family-level direction is ambiguous and local V3 checkpoint analyses did not show state-coupled support.	2026: Efferocytosis-linked genetic signature predicts rheumatoid arthritis risk and highlights CD300A as a novel target. || 2025: Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy. || 2025: CD300a: An Innate Immune Checkpoint Shaping Tumor Immunity and Therapeutic Opportunity.
TREM2_APOE_LIPID_REPAIR	TREM2;APOE;TYROBP;LPL	microglial lipid/debris repair	agonize TREM2-like phagolysosomal repair while avoiding chronic inflammatory lipid loading	TREM2 agonist antibody precedent; APOE/LPL are not direct autoimmune targets	4.0	2.0	5.0	6.0	1.7595984466157422	0.0006219963760009	True	0.0	0.0	0.0	0.0	0.0	False	1.75	1.0	1.0	high	29123	210	6	TREM2:CHEMBL6196124:Triggering receptor expressed on myeloid cells 2	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;c1q_phagocytic_myeloid:0.374,p=0.0097;celiac disease;complement_phagocytosis:0.316,p=0.035;hla_ii_apc:0.274,p=0.024;ibd_uc_myeloid;lipid_loader_repair:0.301,p=0.028;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	13	4.4625	4	state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	PARK_RESOLUTION_BIOLOGY_NO_CAUSAL_ANCHOR	TREM2 agonism is crowded in neurodegeneration and local cross-autoimmune support is marker/confounder dominated rather than target-causal.	2025: Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data. || 2026: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. || 2026: The role of DAP12 in immune-related inflammatory diseases.
LIPA_LAL_ENHANCEMENT	LIPA	lysosomal lipid clearance enzyme	enhance or replace lysosomal acid lipase; inhibition is wrong direction	enzyme replacement, targeted enzyme, mRNA/LNP, or gene delivery concept	4.0	2.0	5.0	6.0	0.4580110941773352	0.2725305004844303	False	0.0	0.0	2.0	0.0	0.0	False	1.75	1.0	1.5	high	1258	48	12	LIPA:CHEMBL4184:Lysosomal acid lipase/cholesteryl ester hydrolase	Crohn disease;Hashimoto thyroiditis;MS;c1q_phagocytic_myeloid:0.316,p=0.0015;celiac disease;complement_phagocytosis:0.312,p=0.0019;hif_nampt_metabolic:0.233,p=0.0016;inflammatory_nfkb:0.271,p=0.023;lipid_loader_repair:0.275,p=0.00031;psoriasis;psoriasis_keratinocyte;t1d_ductal_cell;type 1 diabetes mellitus;ulcerative colitis	14	4.2125	5	ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_PRIOR_ART_BLOCKED	Earlier V3 work parked LIPA: support is epithelial/ductal/keratinocyte-skewed, myeloid direction is inconsistent, and CNS repair prior art crowds the MS claim.	2025: Rare liver diseases - Etiology, diagnosis and management: A review. || 2025: InTiCAR: Network-based identification of significant inter-tissue communicators for autoimmune diseases. || 2025: The Presence of Risk and Protective HLA-DQ Haplotype Combinations and PLA2R1 Risk SNP in Hungarian Patients with Membranous Nephropathy.
SIRPA_CD47_EATME_BALANCE	SIRPA;CD47;CALR;LRP1	efferocytosis eat-me/don't-eat-me balance	increase pathogenic debris clearance without erythrocyte/host-cell toxicity; oncology CD47 blockade is not directly transferable	CD47/SIRPA antibodies, engineered fragments, or cargo-specific efferocytosis concepts	3.0	1.0	6.0	6.0	0.2176408940367711	0.0595887198784885	True	0.0	0.0	1.0	0.0	0.0	False	2.0	0.5	0.25	blocking	11144	4	29	CD47:CHEMBL3714583:Leukocyte surface antigen CD47	Crohn disease;Hashimoto thyroiditis;MS;celiac disease;complement_phagocytosis:0.388,p=0.0066;complement_phagocytosis:0.453,p=0.0007;core_lysosomal_lipid:0.347,p=0.011;ibd_crohn_epithelial;ibd_crohn_stromal;ibd_uc_epithelial;inflammatory_nfkb:0.238,p=0.014;lipid_loader_repair:0.391,p=0.0045;lysosomal_apc:0.343,p=0.0044;lysosomal_apc:0.354,p=0.013;lysosomal_apc:0.456,p=0.00091;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	19	3.5749999999999993	7	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;repair_safety_not_obviously_wrong;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	CD47/SIRPA is druggable but systemic phagocytosis toxicity and oncology prior art make autoimmune transfer unsafe without cargo/cell specificity.	2026: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. || 2026: Extracellular Vesicles in Autoimmune Diseases: From Diagnostic Biomarkers to Engineered Therapeutics. || 2026: In vivo CAR-T engineering: insights from the 2025 ASH annual meeting.
GPNMB_REPAIR_STATE_HANDLE	GPNMB	surface repair-state marker/possible delivery handle	use as state marker or delivery handle, not chronic depletion	antibody/ADC precedent exists but autoimmune repair direction would require non-depleting delivery	3.0	2.0	3.0	7.0	1.4339584334150557	0.0049097425501504	True	0.0	0.0	0.0	0.0	0.0	False	1.5	0.5	1.0	high	1234	1	0	GPNMB:CHEMBL3712919:Transmembrane glycoprotein NMB	Hashimoto thyroiditis;MS;celiac disease;psoriasis;type 1 diabetes mellitus	5	2.2750000000000004	6	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;correct_direction_modality;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	Strong MS foamy-state marker but local autoimmune direction is mixed and oncology-style targeting is therapeutically misaligned.	2025: Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data. || 2025: Mitigating atherosclerosis: Integrating vaccines with gene targets. || 2026: Genetically Validated Immune Susceptibility Markers for Crohn's Disease: A Multi-Omics Mendelian Randomization Analysis.
TAM_EFFEROCYTOSIS_AGONISM	MERTK;AXL;TYRO3;GAS6;PROS1	efferocytosis receptor/ligand	agonize or restore TAM-mediated efferocytosis; inhibitors are wrong direction for repair	agonist biologic/ligand engineering; small-molecule TAM kinase inhibitors are directionally wrong	1.0	3.0	7.0	8.0	0.2471109034794576	0.1056413743833175	False	0.0	0.0	0.0	0.0	0.0	False	1.5	1.0	1.0	high	7752	2	9362	MERTK:CHEMBL5331:Tyrosine-protein kinase Mer	Crohn disease;Hashimoto thyroiditis;MS;c1q_phagocytic_myeloid:0.55,p=0.042;celiac disease;complement_effector:0.573,p=0.035;lysosomal_apc:0.543,p=0.046;psoriasis;rheumatoid arthritis;t1d_stellate_cell;type 1 diabetes mellitus;ulcerative colitis	12	1.2249999999999996	6	local_breadth_at_least_5_or_strong_state_specific_4;ms_anchor_present;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	TAM biology is repair-relevant, but available mature chemical matter is mostly inhibitory oncology pharmacology; agonism/delivery and autoimmune direction are immature.	2026: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. || 2026: Therapeutic potential of TAM receptors in autoimmune diseases: insights from original studies. || 2025: From pathogenesis to therapeutic targeting: new insight into TAM receptors in rheumatoid arthritis.
CD200_CD200R_MYeloid_RESOLUTION	CD200;CD200R1	inhibitory myeloid checkpoint	provide CD200-like inhibitory/resolution signal	CD200-Fc or agonist biologic concept	3.0	3.0	0.0	0.0	1.8384397244159705	0.0908591902171466	True	0.0	0.0	0.0	0.0	0.0	False	1.5	1.0	1.0	high	3008	0	0	CD200:CHEMBL3712870:OX-2 membrane glycoprotein	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	3	0.9749999999999996	5	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	Checkpoint biology is plausible but not lipid-resolution specific; prior Wave19 found state coupling below gate and crowded prior art.	2026: Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases. || 2025: Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data. || 2026: Increased soluble CD200 in serum of SLE patients does not reflect disease activity or affect CD200R1 function in T cells.
LXR_ABCA1_CHOLESTEROL_EFFLUX	NR1H3;NR1H2;ABCA1;ABCG1;APOE	cholesterol efflux nuclear receptor	activate LXR/ABCA1/ABCG1 efflux only if lipogenesis and systemic metabolic liabilities are separable	LXR/RXR agonists or indirect sterol-efflux modulation	2.0	3.0	4.0	6.0	0.9212173629129756	0.014073891674355	True	0.0	0.0	0.0	0.0	0.0	False	2.0	1.0	0.5	blocking	23298	2	5594	NR1H3:CHEMBL2808:Oxysterols receptor LXR-alpha	Hashimoto thyroiditis;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus	5	-0.6500000000000004	6	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;repair_safety_not_obviously_wrong;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	LXR/ABCA1 is biologically coherent but broad lipid-metabolic prior art and lipogenesis/safety liabilities block a novel V3 target claim.	2025: Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data. || 2026: Exploring the role of gelsolin and high-density lipoproteins in autoimmune diseases: spotlight on rheumatoid arthritis and systemic lupus erythematosus. || 2025: Nuclear receptors as therapeutic targets in metabolic and cardiovascular disorders.
NFE2L2_NRF2_RESOLUTION	NFE2L2;KEAP1;HMOX1;NQO1	oxidative-stress/pro-resolution transcriptional program	activate NRF2-like resolution/antioxidant program	fumarates/KEAP1-NRF2 activators	2.0	3.0	0.0	0.0	0.5554514869883356	0.0307342516795863	True	0.0	0.0	0.0	0.0	0.0	False	2.5	1.0	1.0	blocking	17130	4	0	NFE2L2:CHEMBL1075094:Nuclear factor erythroid 2-related factor 2	Crohn disease;type 1 diabetes mellitus	2	-3.0250000000000004	5	local_breadth_at_least_5_or_strong_state_specific_4;state_coupling_not_density_only;genetic_or_real_perturbation_anchor;not_prior_art_blocked;has_independent_validation_channel	NO_GO_RESOLUTION_ROUTE	NRF2 activation is already clinically established in MS via fumarate-class biology and is not a novel cross-autoimmune V3 finding.	2026: 6-Shogaol ameliorates experimental colitis and colitis-associated colorectal cancer in mice through the Nrf2-Keap1 signaling pathway. || 2026: Neferine ameliorates psoriasis through inducing oxidative stress-mediated keratinocyte apoptosis and suppressing inflammatory response via the Keap1-Nrf2 pathway. || 2026: Nrf2 Activation in Inflammatory Diseases: A Review of Natural and Synthetic Modulators
