snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3	SNP.PP.H4.row4
rs12031931	0	0	0	1.39020920357352e-31
rs4244146	0	0	0	9.78797988935204e-32
rs12034835	0	0	0	1.48133886058143e-31
rs56363621	0	0	0	1.91785739146946e-31
rs12037431	0	0	0	1.97420004452934e-31
rs4256848	0	0	0	5.03988166629023e-32
rs6427826	0	0	0	8.56138710064332e-32
rs10800700	0	0	0	1.63634704470029e-31
rs10919926	0	0	0	1.45926789252614e-31
rs7544904	0	0	0	7.2656928752052e-32
rs16846692	0	0	0	9.47350860639872e-32
rs12030637	0	0	0	1.02817065422505e-31
rs6666661	0	0	0	1.01562971151836e-31
rs61824928	0	0	0	1.61923476470716e-31
rs57872228	0	0	0	3.30791094847005e-36
rs11584286	0	0	0	1.02126723871196e-35
rs4512680	0	0	0	1.32919886795713e-33
rs11576960	0	0	0	1.8015404559595e-36
rs35958234	0	0	0	9.85022857580208e-37
rs12122532	0	0	0	8.62190186093868e-33
rs7518714	0	0	0	1.17696747550455e-31
rs114003055	0	0	0	1.64886648833299e-36
rs111279274	0	0	0	9.64035812698619e-38
rs57690983	0	0	0	1.18366830101666e-37
rs12092814	0	0	0	1.85215123817045e-37
rs12096693	0	0	0	2.8008739785686e-37
rs12094802	0	0	0	2.79638221543109e-37
rs2808244	0	0	0	7.28084411107593e-35
rs17450217	0	0	0	9.59677536083141e-34
rs2809352	0	0	0	1.07771616068599e-31
rs2808245	0	0	0	5.96847672774178e-33
rs2808246	0	0	0	1.0289538384958e-32
rs2808247	0	0	0	7.04963095924835e-33
rs2808248	0	0	0	3.19475553881589e-33
rs2808249	0	0	0	7.44077477783695e-32
rs7521550	0	0	0	1.56073521226317e-33
rs2808250	0	0	0	1.66431551984334e-33
rs2808251	0	0	0	4.56377543917926e-30
rs34510201	0	0	0	1.43363554734923e-31
rs145135351	0	0	0	1.55945521490901e-31
rs10919987	0	0	0	2.20540549700195e-36
rs2808253	0	0	0	1.40355599456609e-36
rs2809351	0	0	0	2.30804381467125e-31
rs2808257	0	0	0	5.8924293011383e-32
rs10399615	0	0	0	1.04840881383538e-33
rs10399790	0	0	0	1.07145857012233e-33
rs66717951	0	0	0	3.08306556337483e-34
rs67040424	0	0	0	3.35020792855398e-34
rs35941344	0	0	0	4.68337391255801e-34
rs10919990	0	0	0	3.82929085151864e-34
rs2809346	0	0	0	6.62994188492533e-34
rs2809345	0	0	0	4.5214150245984e-34
rs10919991	0	0	0	1.81959405954606e-33
rs2809344	0	0	0	1.1898979840103e-33
rs7529962	0	0	0	3.00481485563082e-34
rs7527539	0	0	0	3.7808388867512e-31
rs2809340	0	0	0	6.31488572872318e-30
rs10800717	0	0	0	3.29645497321403e-33
rs2809338	0	0	0	4.11359727548734e-35
rs10919992	0	0	0	5.22912615851804e-31
rs12041320	0	0	0	3.20505394984412e-35
rs12750815	0	0	0	2.11631534842481e-37
rs10919993	0	0	0	4.3481541491462e-28
rs11588318	0	0	0	1.95749732478772e-35
rs6661240	0	0	0	1.71706596597597e-35
rs6688581	0	0	0	5.20421300230794e-37
rs3806358	0	0	0	6.96757779388347e-36
rs6656619	0	0	0	1.12343644432461e-35
rs6670887	0	0	0	5.45495872753393e-37
rs28608585	0	0	0	9.48314562478545e-37
rs12047921	0	0	0	1.77095120969433e-35
rs10494821	0	0	0	1.24796898107298e-35
rs4311922	0	0	0	9.50416874444687e-36
rs4265457	0	0	0	1.02017367956788e-35
rs4320808	0	0	0	1.73313443016217e-26
rs6667172	0	0	0	8.96814500088831e-36
rs4915206	0	0	0	2.49589003385971e-26
rs7527499	0	0	0	1.23820608621643e-35
rs7550238	0	0	0	8.5525888556548e-36
rs6427838	0	0	0	5.14519895962735e-37
rs6700559	0	0	0	1.2870254058467e-35
rs6665107	0	0	0	4.19219823593726e-26
rs6700859	0	0	0	1.14200632419776e-35
rs10753878	0	0	0	1.09780694567954e-26
rs12061346	0	0	0	1.26109133595538e-35
rs7533971	0	0	0	1.26610387887003e-35
rs10919998	0	0	0	1.25827023746517e-35
rs10800720	0	0	0	1.80769369347247e-31
rs4072552	0	0	0	1.24188421713087e-35
rs4072553	0	0	0	3.38071757275021e-31
rs4381220	0	0	0	9.92457723739161e-27
rs4326655	0	0	0	9.63633849966354e-27
