snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3	SNP.PP.H4.row4
rs12031931	0	0	0	4.74384984490302e-31
rs4244146	0	0	0	3.02377499859046e-31
rs12034835	0	0	0	4.82819675431348e-31
rs56363621	0	0	0	6.20781128580434e-31
rs12037431	0	0	0	5.4452592033812e-31
rs4256848	0	0	0	1.6034169956918e-31
rs6427826	0	0	0	3.48457999491381e-31
rs10800700	0	0	0	6.20202518619321e-31
rs10919926	0	0	0	5.42149716272345e-31
rs7544904	0	0	0	2.6720471979026e-31
rs16846692	0	0	0	2.85292558339492e-31
rs12030637	0	0	0	4.0308161270703e-31
rs6666661	0	0	0	4.31005406307911e-31
rs61824928	0	0	0	6.55809467107205e-31
rs57872228	0	0	0	8.28692597660296e-37
rs11584286	0	0	0	9.03538306212507e-38
rs4512680	0	0	0	8.29925085945727e-33
rs11576960	0	0	0	4.5167487113382e-37
rs35958234	0	0	0	1.49078790288188e-36
rs12122532	0	0	0	6.30070917788e-34
rs7518714	0	0	0	8.2869695196592e-33
rs114003055	0	0	0	6.57797816221239e-38
rs111279274	0	0	0	4.34280251910341e-37
rs57690983	0	0	0	4.13090770873213e-37
rs12092814	0	0	0	3.72920071067616e-37
rs12096693	0	0	0	5.55642041575887e-37
rs12094802	0	0	0	5.59340170396974e-37
rs2808244	0	0	0	8.83321107491678e-35
rs17450217	0	0	0	1.21216266364312e-34
rs2809352	0	0	0	4.95853667273576e-33
rs2808245	0	0	0	4.49464817650748e-34
rs2808246	0	0	0	8.80779123275369e-34
rs2808247	0	0	0	5.24856588872741e-34
rs2808248	0	0	0	4.06647825844123e-34
rs2808249	0	0	0	4.04476873355252e-33
rs7521550	0	0	0	2.16121095160965e-34
rs2808250	0	0	0	2.12822518984442e-34
rs2808251	0	0	0	2.42881695817876e-31
rs34510201	0	0	0	8.09162266827242e-33
rs145135351	0	0	0	8.84557368036496e-33
rs10919987	0	0	0	2.35183191640326e-37
rs2808253	0	0	0	1.23937253324923e-37
rs2809351	0	0	0	1.01691965538246e-32
rs2808257	0	0	0	2.68215089736106e-33
rs10399615	0	0	0	1.46962878958592e-34
rs10399790	0	0	0	1.49259582257399e-34
rs66717951	0	0	0	6.32536936161851e-35
rs67040424	0	0	0	8.1460073582473e-35
rs35941344	0	0	0	8.9039652380822e-35
rs10919990	0	0	0	5.99291110363448e-35
rs2809346	0	0	0	1.52658814253403e-34
rs2809345	0	0	0	1.01683414722974e-34
rs10919991	0	0	0	2.55366011060113e-34
rs2809344	0	0	0	1.49426505026038e-34
rs7529962	0	0	0	4.16828563055118e-35
rs7527539	0	0	0	2.41309579942361e-32
rs2809340	0	0	0	2.13696662305913e-30
rs10800717	0	0	0	8.61388487086476e-33
rs2809338	0	0	0	1.61533831735025e-36
rs10919992	0	0	0	3.38823950172064e-32
rs12041320	0	0	0	1.8774867131646e-36
rs12750815	0	0	0	6.74480429024221e-37
rs10919993	0	0	0	1.35187111470489e-28
rs11588318	0	0	0	8.31615088353351e-37
rs6661240	0	0	0	7.27979456709284e-37
rs6688581	0	0	0	2.53236159336224e-38
rs3806358	0	0	0	3.36405878165788e-37
rs6656619	0	0	0	5.53189021205997e-37
rs6670887	0	0	0	2.59361409230057e-38
rs28608585	0	0	0	2.96205084864978e-38
rs12047921	0	0	0	5.06988829380962e-37
rs10494821	0	0	0	5.62028787542662e-37
rs4311922	0	0	0	4.3295316105455e-37
rs4265457	0	0	0	4.63915643310271e-37
rs4320808	0	0	0	1.57937859187056e-26
rs6667172	0	0	0	4.11274950422455e-37
rs4915206	0	0	0	2.28654975429132e-26
rs7527499	0	0	0	5.47539128703627e-37
rs7550238	0	0	0	3.78613012147444e-37
rs6427838	0	0	0	2.60753467619879e-38
rs6700559	0	0	0	5.64743627431454e-37
rs6665107	0	0	0	2.63699948167123e-26
rs6700859	0	0	0	6.01754665184614e-37
rs10753878	0	0	0	9.52748389938478e-27
rs12061346	0	0	0	5.59010560894892e-37
rs7533971	0	0	0	5.63544489282733e-37
rs10919998	0	0	0	5.59882571777057e-37
rs10800720	0	0	0	9.32790996844887e-33
rs4072552	0	0	0	5.53097355723095e-37
rs4072553	0	0	0	1.6068559824714e-32
rs4381220	0	0	0	8.57698180915866e-27
rs4326655	0	0	0	8.32788118239602e-27
rs6678702	0	0	0	7.72067568165408e-27
rs6665979	0	0	0	1.73002247654822e-26
rs10753879	0	0	0	7.06845650213148e-27
rs4489589	0	0	0	2.71405012499181e-27
rs4297330	0	0	0	1.14666140583769e-26
rs10920000	0	0	0	1.12473901386346e-32
rs4403654	0	0	0	5.09911711179834e-29
rs10920001	0	0	0	8.3343914155761e-33
rs6682744	0	0	0	1.29203589466744e-26
rs6427840	0	0	0	2.04954235974481e-31
rs11581339	0	0	0	3.08678156031835e-29
rs7542840	0	0	0	1.48823920524604e-31
rs7520407	0	0	0	5.3500926090281e-29
rs7535824	0	0	0	7.02875384047391e-26
rs7524010	0	0	0	4.12817754128719e-32
rs7524025	0	0	0	1.08898880228569e-31
rs7548530	0	0	0	2.67835799092819e-36
rs7526136	0	0	0	6.77494133448778e-32
rs7526265	0	0	0	7.8032622511517e-32
rs7526365	0	0	0	1.60802918388949e-31
