row_key	check	status	detail
copyright/provenance hygiene control	boundary_present	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/v48_evidence_boundary_glossary.tsv
copyright/provenance hygiene control	field_matches.boundary	PASS	expected=copyright/provenance hygiene control observed=copyright/provenance hygiene control
copyright/provenance hygiene control	field_matches.n_controls	PASS	expected=1 observed=1
copyright/provenance hygiene control	field_matches.failure_mode_prevented	PASS	expected=external summaries become oversized copied source passages observed=external summaries become oversized copied source passages
copyright/provenance hygiene control	field_matches.allowed_use	PASS	expected=Use as an automated governance control for the named boundary: copyright/provenance hygiene control. observed=Use as an automated governance control for the named boundary: copyright/provenance hygiene control.
copyright/provenance hygiene control	field_matches.forbidden_use	PASS	expected=Do not allow the controlled artifact to create this failure mode: external summaries become oversized copied source passages. observed=Do not allow the controlled artifact to create this failure mode: external summaries become oversized copied source passages.
copyright/provenance hygiene control	field_matches.example_artifacts	PASS	expected=External claim-length safety linter observed=External claim-length safety linter
copyright/provenance hygiene control	field_matches.example_paths	PASS	expected=scripts/v48_external_claim_length_linter.py observed=scripts/v48_external_claim_length_linter.py
dependency/navigation control	boundary_present	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/v48_evidence_boundary_glossary.tsv
dependency/navigation control	field_matches.boundary	PASS	expected=dependency/navigation control observed=dependency/navigation control
dependency/navigation control	field_matches.n_controls	PASS	expected=1 observed=1
dependency/navigation control	field_matches.failure_mode_prevented	PASS	expected=artifact dependency maps drift from current generated outputs, inputs, or controls observed=artifact dependency maps drift from current generated outputs, inputs, or controls
dependency/navigation control	field_matches.allowed_use	PASS	expected=Use as an automated governance control for the named boundary: dependency/navigation control. observed=Use as an automated governance control for the named boundary: dependency/navigation control.
dependency/navigation control	field_matches.forbidden_use	PASS	expected=Do not allow the controlled artifact to create this failure mode: artifact dependency maps drift from current generated outputs, inputs, or controls. observed=Do not allow the controlled artifact to create this failure mode: artifact dependency maps drift from current generated outputs, inputs, or controls.
dependency/navigation control	field_matches.example_artifacts	PASS	expected=External synthesis dependency freshness linter observed=External synthesis dependency freshness linter
dependency/navigation control	field_matches.example_paths	PASS	expected=scripts/v48_external_synthesis_dependency_freshness_linter.py observed=scripts/v48_external_synthesis_dependency_freshness_linter.py
domain maintenance only	boundary_present	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/catalogs/indexes/v48_evidence_boundary_glossary.tsv
domain maintenance only	field_matches.boundary	PASS	expected=domain maintenance only observed=domain maintenance only
domain maintenance only	field_matches.n_controls	PASS	expected=1 observed=1
domain maintenance only	field_matches.failure_mode_prevented	PASS	expected=domain classifications are overread as source-validity claims observed=domain classifications are overread as source-validity claims
domain maintenance only	field_matches.allowed_use	PASS	expected=Use for source-domain classification and maintenance routing. observed=Use for source-domain classification and maintenance routing.
domain maintenance only	field_matches.forbidden_use	PASS	expected=Do not allow the controlled artifact to create this failure mode: domain classifications are overread as source-validity claims. observed=Do not allow the controlled artifact to create this failure mode: domain classifications are overread as source-validity claims.
domain maintenance only	field_matches.example_artifacts	PASS	expected=V48 source-domain review observed=V48 source-domain review
