DISEASE/TRAIT	n_rows	min_p	n_unique_snps	mapped_gene_values	risk_alleles	has_non_fads
Hypothyroidism or rheumatoid arthritis (pleiotropy)	6	4e-11	6	FADS1, FADS2;FADS1, FADS2, MIR1908	rs174544-?;rs174549-?;rs174555-?;rs174556-?;rs174559-?;rs174561-?	False
Inflammatory bowel disease	4	8e-16	4	FADS2;FADS2, FADS1;FEN1, FADS2;MYRF, TMEM258	rs1535-?;rs174534-?;rs174564-?;rs4246215-T	True
Hypothyroidism	4	3e-13	4	FADS1, FADS2;FADS2;FADS2, FADS1	rs174549-A;rs174557-G;rs174599-?;rs968567-C	False
Crohn's disease	4	4e-13	4	FADS2, FADS1;FEN1, FADS2;TMEM258;TMEM258, MYRF	rs102275-C;rs174537-A;rs174564-?;rs4246215-?	True
Rheumatoid arthritis	4	2e-08	2	FADS2, FADS1;TMEM258, MYRF	rs7943728-A;rs968567-C;rs968567-T	True
Medication use (thyroid preparations)	2	1e-12	1	FADS2	rs174599-C	False
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	2	2e-09	1	TMEM258, MYRF	rs7943728-A	True
Type 1 diabetes	2	8e-09	1	FADS2, FADS1	rs968567-T	False
Atopic dermatitis	2	2e-08	2	FADS2, FADS1;MYRF, TMEM258	rs108499-T;rs174548-?	True
Bipolar disorder or Crohn's disease (MTAG)	1	2e-16	1	FADS2	rs174592-A	False
Bipolar disorder or inflammatory bowel disease (MTAG)	1	1e-15	1	FADS2, FADS1	rs174567-A	False
Celiac disease	1	2e-11	1	POU2AF3 - MIR4491	rs7104791-?	True
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	1	2e-11	1	TMEM258, MYRF	rs174535-?	True
Bipolar disorder or ulcerative colitis (MTAG)	1	2e-08	1	MYRF	rs198470-C	True
Ulcerative colitis	1	6e-08	1	FADS2, FADS1	rs174564-?	False
Vitiligo	1	1e-07	1	FADS2, FADS1	rs968567-?	False
Crohn's disease (Tractor method with African ancestry)	1	8e-07	1	PRANCR, MYRFL	rs530795436-G	True
Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))	1	4e-06	1	TMEM258, MYRF	rs174535-?	True
