modality_a	modality_b	n_shared_modules	shared_modules	pc1_loading_cosine	abs_cosine_perm_p	null_abs_cosine_mean	null_abs_cosine_p95	grade	interpretation	q_bh
perturbation_mixscale	treatment_pharmacodynamic	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	0.5444208178060745	0.6496751624187906	0.582044282858309	0.9027495008596214	not_supported	no replicated shared latent axis under V26 null gate	0.8120939530234883
perturbation_mixscale	treatment_response_tests	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	0.3282992727790468	1.0	0.6661536283986813	0.9987506813446476	not_supported	no replicated shared latent axis under V26 null gate	1.0
perturbation_mixscale	cell_state_h5ad	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	0.4063156482470463	0.6476761619190404	0.6127362520900261	0.9464062933281792	not_supported	no replicated shared latent axis under V26 null gate	0.8120939530234883
perturbation_mixscale	cross_disease_summary	3	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	-0.08314263734578203	1.0	0.6497111971135007	0.9824674861854212	not_supported	no replicated shared latent axis under V26 null gate	1.0
treatment_pharmacodynamic	treatment_response_tests	5	hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state	-0.729713756918926	0.19640179910044978	0.41762384837602495	0.8825849436472132	not_supported	no replicated shared latent axis under V26 null gate	0.32733633183408295
treatment_pharmacodynamic	cell_state_h5ad	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout	0.9335761092230668	0.0009995002498750624	0.30916309100353034	0.70982343689067	supported	shared first latent axis exceeds column-label permutation null after BH accounting	0.009995002498750623
treatment_pharmacodynamic	cross_disease_summary	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout	0.7387123973728889	0.03298350824587706	0.3103562305849778	0.6887182213294081	not_supported	no replicated shared latent axis under V26 null gate	0.10994502748625688
treatment_response_tests	cell_state_h5ad	5	hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state	-0.7734859099490498	0.17841079460269865	0.42224153950749926	0.9049690353405926	not_supported	no replicated shared latent axis under V26 null gate	0.32733633183408295
treatment_response_tests	cross_disease_summary	5	hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state	-0.792335302014686	0.111944027986007	0.42714061761739697	0.9135621286549332	not_supported	no replicated shared latent axis under V26 null gate	0.2798600699650175
cell_state_h5ad	cross_disease_summary	8	complement_phagocytosis;hif_nampt_metabolic;hla_ii_apc;ifn_apc;lipid_loader_repair;lysosomal_apc;mif_cd74_receptor_state;mixscale_validated_ifng_readout	0.8792417500691246	0.0034982508745627187	0.3178664804632184	0.6797344565872655	supported	shared first latent axis exceeds column-label permutation null after BH accounting	0.017491254372813594
