document	line	words	sentence
OPEN_PROBLEMS_FOR_COLLABORATORS.md	89	43	Find a specific cohort and verify every required field; design a federated run in which data never leave the holder; propose a privacy-preserving exchange of only preregistered sufficient outputs; or map the exact governance path from author-held labels to a blind harness run.
FAQ.md	224	40	Examples include proposing a target from association alone, defaulting to inhibition when genetics implies restoration, re-optimizing the locked score on the validation cohort, calling a predicted structure experimental, replacing progression with relapse, or using a model’s confidence as evidence.
VISUAL_INDEX.md	116	39	Genetics routes narrow or close, one monitoring signal remains provisional, systems complexity produces nulls, joint inference establishes a corpus boundary, validation engineering adds readiness rather than biology, and progression work ends at a bounded candidate plus missing longitudinal data.
OPEN_PROBLEMS_FOR_COLLABORATORS.md	255	35	A valuable idea must specify: the suspected confounder, how overlap is measured, a failure threshold fixed before outcome analysis, what correction is valid under that overlap, and when the only honest verdict is “not identifiable.”
REPOSITORY_TOUR.md	75	35	Suppose you encounter the imprecise shorthand: “The APC/HLA-II score is the one live clinical lead.” The audit below shows why the safer wording is “one live research lead with a possible future monitoring role.”
WHAT_HAPPENS_TO_YOUR_IDEA.md	194	34	The most valuable contribution may be a method that survives grounding, a dataset that makes a frozen test possible, a decisive null, or a clear reason not to spend scarce clinical or laboratory resources.
COLLABORATOR_ROUTES.md	21	34	A strong first contribution: Define one realistic incoming-data failure (wrong IDs, partial labels, duplicate people, mismatched timepoints, or batch confounding) and add a synthetic fixture proving the pipeline rejects it or reports it safely.
WORKED_SUBMISSION_LIFECYCLE.md	88	33	In a named, legally usable dataset, does the proposed cell-state contrast remain estimable among donors with source/outcome overlap, or is source too aligned with outcome for that dataset to identify the contrast?
COLLABORATOR_ROUTES.md	164	33	A strong first contribution: Give the onboarding to a new reader and test whether they can recover the one live lead, no-target verdict, progression data wall, and one valid contribution path without prompting.
OPEN_PROBLEMS_FOR_COLLABORATORS.md	324	32	A valuable idea must specify: intended user and decision, permitted claim, minimum data quality, uncertainty display, abstention behavior, harm from false positive and false negative, and the next validation needed before deployment.
VISUAL_INDEX.md	41	32	Text equivalent: The locked analysis compares baseline with an early sample from the same person, computes a fixed APC/HLA-II delta, and compares one score with a fixed response outcome without refitting.
OPEN_PROBLEMS_FOR_COLLABORATORS.md	44	31	Examples include small-sample confidence methods, calibration-aware decision analysis, valid meta-analysis across cohorts with matching measurements and outcome definitions, or a design that separates “estimate the effect” from “declare the rule passed.”
OPEN_PROBLEMS_FOR_COLLABORATORS.md	51	31	A valuable idea must specify: the estimand, required sample fields, how pairing is preserved, the null, what happens under missingness, the number of tests, and what result would count as failure.
OPEN_PROBLEMS_FOR_COLLABORATORS.md	165	31	A pocket or known ligand is irrelevant if the required action is restoration, if the causal gene is unresolved, or if the effect must occur only in a specific cell state.
CASE_STUDY_MONITOR_VS_TARGET.md	203	31	If independently validated and then shown useful in a prospective decision study, an early monitor could help evaluate whether to continue or reconsider a treatment before waiting for later clinical outcomes.
COLLABORATOR_ROUTES.md	95	31	A strong first contribution: For one closed route, state the unresolved causal gene, required functional sign, target cell/state, measurable readout, delivery assumption, and an experiment that would falsify modality fit.
