gene	axis	modality	direction	target_class	manual_druggability	prior_risk	direction_confidence	manual_note	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	ot_diseases_score_ge_0_8	ot_max_score	ot_evidence_count_sum	gwas_catalog_hit_count	gwas_catalog_trait_count	gwas_catalog_min_p	gwas_catalog_traits_short	chembl_status	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_activity_count_nM	chembl_query_url	gtex_gene_status	gtex_gencode_id	gtex_eqtl_tissue_count	gtex_eqtl_tissues	gtex_lookup_url	europepmc_query	europepmc_hit_count	europepmc_examples	europepmc_url	clinicaltrials_count	clinicaltrials_url	chembl_activity_url	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	ms_wm_delta_log2	ms_wm_p	residual_positive_disease_count	wave14_target_level_call	wave14_audit_priority_call	wave28_gate_call	genetics_first_score	wave34a_call	route_reason
SH2B3	LNK hematopoietic cytokine brake	no direct restoration modality	restore LNK negative regulation	intracellular adaptor	0.25	medium	restoration_needed	Broadest local OT locus but no direct modality and 12q24 pleiotropy.	10	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	0.9461422562599182	56	50	22	1e-142	Ankylosing spondylitis;Autoimmune thyroid disease;Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Hashimoto thyroiditis;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Multiple sclerosis;Primary biliary cholangitis	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SH2B3	ok	ENSG00000111252.10	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=SH2B3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(SH2B3) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1173	41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance  | 40864326:The shared genetic etiology of autoimmune disorders and interstitial lung disease: insight | PPR1085741:The Genetic Immune Basis of Gout: Identification, Functional Characterization, and Therape	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SH2B3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=SH2B3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		1	0	ulcerative colitis		-0.150958184932211	0.5634203150143879	0	no_go	prioritize_for_future_coloc_not_DoD	NO_GO_TARGET_FIRST	22.087500000000002	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
IRF5	TLR/IRF5 inflammatory switch	allosteric inhibitor or degrader	inhibit IRF5 activation	transcription factor	2.0	high	plausible_but_prior_arted	Broad locus and drug-discovery feasibility, but lupus/IRF5 prior art is direct.	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	0.9188385009765624	76	88	21	2e-143	COVID-19 hospitalization or rheumatoid arthritis (MTAG);COVID-19 hospitalization or systemic lupus erythematosus (MTAG);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);ICD10 K50, K51: inflammatory bowel disease;Inflammatory bowel disease;Multiple sclerosis;Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis (MTAG);Psoriasis;Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive)	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IRF5	ok	ENSG00000128604.19	4	Whole_Blood;Spleen;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=IRF5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IRF5) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4201	42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance  | 41237580:Exploring the role of genetic variants in susceptibility to autoimmune Diseases: A molecul	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IRF5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	1	https://clinicaltrials.gov/api/v2/studies?query.term=IRF5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		0	0			-0.160335979633075	0.5711412387155418	0	no_go	prioritize_for_future_coloc_not_DoD	NO_GO_TARGET_FIRST	21.9	PARK_PRIOR_ART_OR_CROWDING	Target is plausible but prior-art/crowding risk is high.
PTPN2	TCPTP cytokine/barrier negative regulator	would require restoration/activation; inhibitors point wrong way	restore/increase TCPTP function	intracellular phosphatase	0.75	high	restoration_needed	Strong genetics benchmark, but no correct-direction restoration modality.	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	4	Crohn;Psoriasis;RA;T1D	0.900806963443756	57	82	27	8e-28	Age of onset of type 1 diabetes;Autoimmune thyroid disease;Celiac disease;Celiac disease and Rheumatoid arthritis;Celiac disease or Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease x sex interaction (2df);Graves' disease;Hypothyroidism or rheumatoid arthritis (pleiotropy);Inflammatory bowel disease;Inflammatory bowel disease (MTAG)	ok	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	1279	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN2	ok	ENSG00000175354.18	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(PTPN2) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1441	40839671:Integrative molecular network analysis of genetic risk factors to infer biomarkers and the | 41799158:X chromosome-encoded microRNAs in immune regulation: sex differences and clinical implicat | 39944077:Protein phosphatases in systemic autoimmunity.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	1	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3807&standard_units=nM&limit=1	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		-0.0059418057306839	0.9843569990044077	3	no_go	prioritize_for_future_coloc_not_DoD	NO_GO_TARGET_FIRST	20.5625	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
TYK2	TYK2 cytokine kinase	approved/clinical allosteric inhibitors	inhibit TYK2	kinase	3.0	blocking	established_prior_art	Positive control for genetics plus druggability; excluded by direct autoimmune prior art.	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D	0.9417080283164978	86	85	36	9e-35	Ankylosing spondylitis;Autoimmune thyroid disease;COVID-19 hospitalization or rheumatoid arthritis (MTAG);COVID-19 hospitalization or systemic lupus erythematosus (MTAG);COVID-19 infection or rheumatoid arthritis (MTAG);COVID-19 infection or systemic lupus erythematosus (MTAG);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;FEV1/FVC or inflammatory bowel disease (pleiotropy);Inflammatory bowel disease;Multiple sclerosis;Pediatric autoimmune diseases	ok	CHEMBL3553	Non-receptor tyrosine-protein kinase TYK2	SINGLE PROTEIN	17132	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TYK2	ok	ENSG00000105397.13	3	Whole_Blood;Spleen;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=TYK2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TYK2) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	6839	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TYK2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	17	https://clinicaltrials.gov/api/v2/studies?query.term=TYK2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3553&standard_units=nM&limit=1	2	0	psoriasis;type 1 diabetes mellitus		-0.0976695299908261	0.5321339034622258	1			NO_GO_TARGET_FIRST	19.649999999999995	DEMOTE_PRIOR_ART_BLOCKED	Direct clinical or therapeutic-class prior art blocks novelty.
CLEC16A	mitophagy/autophagy quality control	indirect mitophagy restoration	restore CLEC16A-linked mitophagy	intracellular scaffold	0.75	medium	restoration_needed	16p13 locus ambiguity and no direct modality.	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0		0.7454372644424438	31	61	16	4e-95	Atopic dermatitis;Celiac disease;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Extraintestinal manifestations in inflammatory bowel disease (primary sclerosing cholangitis);Graves' disease;Multiple sclerosis;Multiple sclerosis (MTAG);Primary biliary cholangitis;Primary biliary cirrhosis;Primary sclerosing cholangitis;Primary sclerosing cholangitis (MTAG);Psoriasis	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CLEC16A	ok	ENSG00000038532.14	3	Whole_Blood;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=CLEC16A&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CLEC16A) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	756	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance 	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CLEC16A%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=CLEC16A&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		1	0	Crohn disease		0.1097171053941039	0.5873801680223918	0	no_go	prioritize_for_future_coloc_not_DoD		19.2625	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
TNFAIP3	A20 NF-kappaB/TNF/TLR brake	restore A20 function or mimic negative-feedback complex	increase/restore A20 function	ubiquitin-editing enzyme/scaffold	0.5	high	restoration_needed	Strong locus biology but not currently target-selectively druggable.	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	0.953155279159546	105	77	26	3e-84	Celiac disease;Celiac disease and Rheumatoid arthritis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Cutaneous psoriasis;Inflammatory bowel disease;Inflammatory skin disease;Multiple sclerosis;Primary biliary cholangitis;Primary sclerosing cholangitis;Psoriasis;Psoriasis (PheCode 696.4);Psoriasis and related disorder (PheCode 696)	ok	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP3	ok	ENSG00000118503.14	0		https://gtexportal.org/api/v2/reference/gene?geneId=TNFAIP3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TNFAIP3) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4850	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 42163726:Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis  | 42128528:Clinical phenotype and laboratory markers in patients affected by haploinsufficiency of A2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFAIP3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=TNFAIP3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523200&standard_units=nM&limit=1	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	psoriasis	0.328353196360478	0.3606610619177491	0	no_go	no_genetic_anchor	NO_GO_TARGET_FIRST	16.924999999999997	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
ATG16L1	autophagy/xenophagy	indirect autophagy modulation	restore autophagy in risk-variant context	intracellular scaffold	0.5	medium_high	restoration_needed	Broad autophagy modulation is nonspecific.	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	0.8641783595085144	24	22	7	4e-78	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS));Crohn's disease vs ulcerative colitis (ordinary least squares (OLS));Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Pediatric autoimmune diseases	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ATG16L1	ok	ENSG00000085978.21	4	Whole_Blood;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=ATG16L1&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(ATG16L1) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	2959	41440542:Emerging Insights into the Interplay Between PANoptosis and Autophagy in Immune Regulation | 41798919:Exosomal non-coding RNAs in autoimmune diseases: molecular mechanisms and potential applic | 41155288:Chronic Stress and Autoimmunity: The Role of HPA Axis and Cortisol Dysregulation.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28ATG16L1%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	4	https://clinicaltrials.gov/api/v2/studies?query.term=ATG16L1&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		0	0			-0.0960188702877271	0.748415654224524	0				15.825000000000001	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
IL10	IL-10 regulatory cytokine	engineered IL-10 or IL10R agonism	increase regulatory IL-10 signaling	cytokine	2.5	high	prior_arted	Direct IL-10 autoimmune/IBD therapy prior art and no local subgroup delta.	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	0.9671173095703124	34	40	14	5e-55	Acute anterior uveitis (with or without ankylosing spondylitis);Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;ICD10 K50, K51: inflammatory bowel disease;Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Pediatric autoimmune diseases;Rheumatoid arthritis or inflammatory bowel disease;Rheumatoid arthritis or type 1 diabetes;Systemic lupus erythematosus;Systemic lupus erythematosus (MTAG);Type 1 diabetes	ok	CHEMBL3712920	Interleukin-10	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL10	ok	ENSG00000136634.5	1	Whole_Blood	https://gtexportal.org/api/v2/reference/gene?geneId=IL10&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL10) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	81967	41905457:LAG-3 at the crossroads: A context-dependent regulator of Tregs and autoimmunity inflammat | 41978157:Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated  | 41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL10%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	246	https://clinicaltrials.gov/api/v2/studies?query.term=IL10&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3712920&standard_units=nM&limit=1	0	0			0.5386340709389863	0.0920894843746553	0				15.774999999999999	PARK_PRIOR_ART_OR_CROWDING	Target is plausible but prior-art/crowding risk is high.
CARD9	CARD9 innate adaptor	none selective	context-dependent inhibition while preserving antifungal immunity	intracellular adaptor	0.25	medium	weak	Genetic breadth but poor druggability and infection-risk problem.	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC	0.8789491653442383	11	22	9	4e-56	Ankylosing spondylitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Crohn's disease;Inflammatory bowel disease;Inflammatory bowel disease (MTAG);Joint damage in rheumatoid arthritis;Pediatric autoimmune diseases;Ulcerative colitis;Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CARD9	ok	ENSG00000187796.13	3	Whole_Blood;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=CARD9&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CARD9) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1918	41909698:Tyrosine kinase signaling pathways as therapeutic targets in autoimmune subepidermal blist | 41155288:Chronic Stress and Autoimmunity: The Role of HPA Axis and Cortisol Dysregulation. | 40771819:Targeting Th9 cells in autoimmune diseases: a narrative review.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CARD9%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	2	https://clinicaltrials.gov/api/v2/studies?query.term=CARD9&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true		2	0	psoriasis;type 1 diabetes mellitus		-0.4691972101237329	0.13197995180624	0				12.0375	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	Genetics may be broad, but current modality is absent or wrong-direction restoration.
IL6R	IL-6 receptor signaling	approved anti-IL6R biologics	block IL-6R	cytokine receptor	3.0	blocking	established_prior_art	Approved autoimmune mechanism; comparator only.	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	0.901661455631256	10	30	9	3e-45	Acute anterior uveitis (with or without ankylosing spondylitis);Ankylosing spondylitis;Atopic dermatitis;Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy);Rheumatoid arthritis;Rheumatoid arthritis (ACPA-positive);Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive);Systemic lupus erythematosus;Type 1 diabetes	ok	CHEMBL2364155	Interleukin-6 receptor subunit alpha	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL6R	ok	ENSG00000160712.12	5	Whole_Blood;Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Brain_Frontal_Cortex_BA9	https://gtexportal.org/api/v2/reference/gene?geneId=IL6R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL6R) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	3549	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41323472:Mendelian randomization study of the causal relationship between autoimmune diseases and a | PMC12979485:Mendelian randomization studies in atopic dermatitis: causal insights across omics layers	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL6R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	65	https://clinicaltrials.gov/api/v2/studies?query.term=IL6R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364155&standard_units=nM&limit=1	0	2		psoriasis;ulcerative colitis	0.3662122714747209	0.0384363893169096	0			NO_GO_TARGET_FIRST	11.0	DEMOTE_PRIOR_ART_BLOCKED	Direct clinical or therapeutic-class prior art blocks novelty.
