gene	surface	url
CD226	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD226
CD226	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CD226&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CD226	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD226%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CD226	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CD226&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
PTGER4	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTGER4
PTGER4	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1836&standard_units=nM&limit=1
PTGER4	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=PTGER4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
PTGER4	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTGER4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
PTGER4	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=PTGER4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CXCR5	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCR5
CXCR5	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1075315&standard_units=nM&limit=1
