gene	surface	url
CXCR5	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CXCR5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CXCR5	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CXCR5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CXCR5	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CXCR5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CCR6	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CCR6
CCR6	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4423&standard_units=nM&limit=1
CCR6	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CCR6&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CCR6	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CCR6%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CCR6	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CCR6&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
TNFRSF14	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFRSF14
TNFRSF14	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=TNFRSF14&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
TNFRSF14	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFRSF14%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
TNFRSF14	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=TNFRSF14&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
FAP	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FAP
FAP	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4683&standard_units=nM&limit=1
FAP	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=FAP&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
FAP	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28FAP%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
FAP	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=FAP&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CD6	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD6
CD6	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3712853&standard_units=nM&limit=1
CD6	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CD6&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CD6	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD6%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CD6	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CD6&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
PTPN22	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN22
PTPN22	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2889&standard_units=nM&limit=1
PTPN22	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN22&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
PTPN22	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN22%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
PTPN22	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN22&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
IL2RA	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL2RA
IL2RA	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1778&standard_units=nM&limit=1
IL2RA	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=IL2RA&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
IL2RA	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL2RA%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
IL2RA	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=IL2RA&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
IL23R	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL23R
IL23R	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4296013&standard_units=nM&limit=1
IL23R	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=IL23R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
IL23R	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL23R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
IL23R	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=IL23R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CTLA4	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CTLA4
CTLA4	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364164&standard_units=nM&limit=1
CTLA4	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CTLA4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CTLA4	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CTLA4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CTLA4	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CTLA4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
STAT4	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=STAT4
STAT4	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523296&standard_units=nM&limit=1
STAT4	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=STAT4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
STAT4	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28STAT4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
STAT4	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=STAT4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
TYK2	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TYK2
TYK2	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3553&standard_units=nM&limit=1
TYK2	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=TYK2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
TYK2	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TYK2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
TYK2	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=TYK2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
PTPN2	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN2
PTPN2	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3807&standard_units=nM&limit=1
PTPN2	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN2&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
PTPN2	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN2%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
PTPN2	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN2&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
TNFAIP3	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP3
TNFAIP3	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4523200&standard_units=nM&limit=1
TNFAIP3	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=TNFAIP3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
TNFAIP3	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFAIP3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
TNFAIP3	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=TNFAIP3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
SH2B3	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SH2B3
SH2B3	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=SH2B3&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
SH2B3	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SH2B3%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
SH2B3	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=SH2B3&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
GPR65	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GPR65
GPR65	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3714081&standard_units=nM&limit=1
GPR65	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=GPR65&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
GPR65	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28GPR65%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
GPR65	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=GPR65&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
IL6R	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL6R
IL6R	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2364155&standard_units=nM&limit=1
IL6R	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=IL6R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
IL6R	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL6R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
IL6R	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=IL6R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CARD9	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CARD9
CARD9	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CARD9&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CARD9	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CARD9%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CARD9	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CARD9&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
IRF5	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IRF5
IRF5	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=IRF5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
IRF5	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IRF5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
IRF5	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=IRF5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
CLEC16A	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CLEC16A
CLEC16A	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=CLEC16A&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
CLEC16A	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CLEC16A%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
CLEC16A	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=CLEC16A&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
ATG16L1	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ATG16L1
ATG16L1	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=ATG16L1&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
ATG16L1	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28ATG16L1%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
ATG16L1	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=ATG16L1&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
IL10	ChEMBL target	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL10
IL10	ChEMBL activity	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3712920&standard_units=nM&limit=1
IL10	GTEx lookup	https://gtexportal.org/api/v2/reference/gene?geneId=IL10&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3
IL10	Europe PMC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL10%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite
IL10	ClinicalTrials.gov	https://clinicaltrials.gov/api/v2/studies?query.term=IL10&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true
