rsid	traits	risk_alleles	or_per_copy	beta	pvalue	risk_frequency	source_url
rs1250550	inflammatory bowel disease	rs1250550-?	1.16		6.000000000000001e-09	0.68	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	multiple sclerosis	rs1250550-A	1.1		6.000000000000001e-09	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	Crohn disease	rs1250550-G	1.19		1e-30	0.669	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	Crohn disease	rs1250550-?			9.000000000000001e-15	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	inflammatory bowel disease	rs1250550-?			4e-12	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	ankylosing spondylitis	rs1250550-G	1.11		2e-09	0.652	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	ankylosing spondylitis	rs1250550-G	1.11		6e-07	0.652	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs1250550	marginal zone lymphoma;multiple sclerosis	rs1250550-?	1.0931351		9e-08	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs1250550&projection=associationBySnp
rs4613763	Crohn disease	rs4613763-C	1.32		7e-27	0.13	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs4613763&projection=associationBySnp
rs4613763	multiple sclerosis	rs4613763-G	1.2		3e-16	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs4613763&projection=associationBySnp
rs7522462	multiple sclerosis	rs7522462-G	1.11		2e-09	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs7522462&projection=associationBySnp
rs7522462	S-7-hydroxywarfarin to S-warfarin ratio measurement	rs7522462-?		0.42606	8e-06	NR	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs7522462&projection=associationBySnp
