artifact	source	fragility_family	grounded_status	key_metric	promotion_effect
v36_feature_multiplicity_stress	analysis/v36_feature_multiplicity_stress/summary.json	multiplicity_overfit	blocks_posthoc_feature_promotion	76 features; observed max AUC 1.0; empirical max-AUC p 0.5	demote_complex_or_perfect_auc_posthoc_features
v36_locked_gene_module_null	analysis/v36_locked_gene_module_null/summary.json	multiplicity_overfit	blocks_locked_gene_subset_claim	top IFN/STAT AUC 0.95; empirical p 0.3333333333333333	gene-subset variants not promoted
v36_compartment_combo_scan	analysis/v36_compartment_combo_scan/summary.json	multiplicity_compartment_scan	overfit_warning	31 compartment combinations; best t_cell_like AUC 1.0; B/plasma AUC 0.95	report compartments separately; no combo successor
v36_tb_gate_artifact_audit	analysis/v36_tb_gate_artifact_audit/summary.json	composition_confounding	survives_simple_count_fraction_residualization_but_not_definitive	T/B gap 0.15833333333333321 -> 0.1333333333333333; T-cell 1.0 -> 0.65; B/plasma 0.95 -> 0.85	narrows T/B gate toward B/plasma-stabler signal
v36_compartment_confounder_residualization	analysis/v36_compartment_confounder_residualization/summary.json	composition_confounding	strong_attenuation_under_confounders	worst T-cell residual AUC 0.5; worst B/plasma residual AUC 0.6	compartment signal remains audit target, not locked rule
v36_ms_dmt_locked_sensitivity	analysis/v36_ms_dmt_locked_sensitivity/summary.json	small_n_therapy_specificity	dmf_directional_fingolimod_null	DMF AUC 0.72 exact p 0.15476190476190477; fingolimod AUC 0.6 exact p 0.34523809523809523	keep bounded DMF/JAK-like domain; no cross-DMT claim
v36_therapy_branch_map	analysis/v36_therapy_branch_map/summary.json	therapy_branch_specificity	mechanism_bounded_not_universal	adalimumab:locked scalar maxAUC=0.5111111111111111; dimethyl_fumarate:locked scalar maxAUC=0.72; fingolimod:locked scalar maxAUC=0.6; interferon-beta:CD74/receptor-state dynamics maxAUC=0.7222222222222222; interferon-beta:HLA-II competence/induction maxAUC=0.75; interferon-beta:IFN/APC/STAT1 dynamics maxAUC=0.7152777777777778; methotrexate:CD74/receptor-state dynamics maxAUC=0.9; methotrexate:IFN/APC/STAT1 dynamics maxAUC=0.6; tofacitinib:locked scalar maxAUC=1.0	validation must be therapy-branch aware
v36_gafson_power_simulation	analysis/v36_gafson_power_simulation/summary.json	sample_size_power	fresh_validation_needs_substantial_n	n=30/group p<0.05 power 0.8973; n=40/group power 0.9566	small validation cohorts can estimate direction but not settle claim
v36_tri_source_generation	analysis/v36_tri_source_generation/grounded_generated_hypotheses.json	creative_generation_data_gate	inconclusive_partial_context_only	"{""delta_glycolysis_auc_oriented"": 0.95, ""delta_glycolysis_exact_perm_p"": 0.031746031746031744, ""locked_signed_score_auc_oriented"": 0.95, ""locked_signed_score_exact_perm_p"": 0.031746031746031744}"	no upgrade from tri-source generated hypothesis
v36_tri_source_generation	analysis/v36_tri_source_generation/grounded_generated_hypotheses.json	creative_generation_data_gate	not_supported_as_coupled_bottleneck_with_current_data	"{""lesion_edge_cholesterol_synthesis_hedges_g"": 0.2686208742241309, ""lesion_edge_cholesterol_synthesis_p"": 4.962001971791353e-18, ""lesion_edge_lysosomal_cholesterol_hedges_g"": 0.0519834700966836, ""lesion_edge_lysosomal_cholesterol_p"": 0.4028382732728299, ""mixscale_top_lysosomal_pair"": ""gilt_lysosomal_apc_vs_ifn_apc"", ""mixscale_top_perm_p"": 9.999000099990002e-05, ""mixscale_top_spearman_r"": 0.9017391304347826}"	no upgrade from tri-source generated hypothesis
v36_postpartum_ms_specificity	analysis/v36_postpartum_ms_specificity/summary.md	missing_decisive_metadata	pregnancy_phase_supported_postpartum_relapse_test_blocked	MS month-9 HLA-II-minus-CD64 delta -1.332 p=0.00127; no postpartum samples or relapse labels	data-acquisition lead only
v36_remaining_shortlist_deepening	analysis/v36_remaining_shortlist_deepening/summary.md	missing_decisive_modality	no_shortlist_upgrades	metabolic context only; lysosomal no flux/peptidomics; complement/EBV not supported without new stratified data	keeps V35/V36 shortlist data-gated
v36_technical_qc_batch_feasibility	analysis/v36_technical_qc_batch_feasibility/summary.json	technical_qc_limit	limited_batch_covariate_structure	single instrument model, single processing category; W8 samples n=8	QC audit cannot fully de-risk treated-timepoint features
