candidate	primary_gene	source	path	matched_identifier	source_call	score	ot_disease_count	supporting_disease_count_union	gwas_trait_count	gwas_min_p	local_positive_disease_count	local_negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	ms_anchor_route_bool	strict_core_covariate_surviving_disease_count	retained_positive_disease_count	non_ibd_retained_positive_disease_count	foundation_contexts	foundation_strong_contexts	foundation_recommendation	real_perturbation_alignment_call	real_perturbation_alignment_pass	l1000_reversal_pass	chembl_target_id	chembl_activity_count	europepmc_hit_count	clinicaltrials_count	prior_risk	blocker_or_reason
CCR6_TH17_TRAFFICKING	CCR6	wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	CCR6	PARK_MAPPED_GENE_NEEDS_COLOC	8.45												False														high	Broad GWAS Catalog support is mapped-gene/top-association only; needs credible-set/eQTL coloc.; Broad mapped-gene signal but crowded Th17/trafficking biology and no coloc-grade local support.
TREM2_APOE_LIPID_REPAIR	TREM2	wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	TREM2_APOE_LIPID_REPAIR	PARK_RESOLUTION_BIOLOGY_NO_CAUSAL_ANCHOR	4.4625					4.0							True														high	TREM2 agonism is crowded in neurodegeneration and local cross-autoimmune support is marker/confounder dominated rather than target-causal.
SQLE_STEROL_STROMAL	SQLE	wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	SQLE	PARK_REQUIRES_TARGET_CAUSALITY_OR_PERTURBATION	4.25												False															
LOCALIZED_IL10_RESTORATION	IL10	wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	IL10	PARK	2.833												False															; 
LOCALIZED_IL10_RESTORATION	IL10	wave23_restoration	results_v3/wave23_genetics_restoration_modality/ranked_go_park_no_go.tsv	IL10	PARK	2.833																											restoration modality exists, but direct prior art and lack of local biomarker delta block a new V3 claim.
SQLE_STEROL_STROMAL	SQLE	wave28_target_first	results_v3/wave28_target_first_rescue/target_first_rescue_matrix.tsv	SQLE							4.0							False												655.0		medium_high	Strict residual survivor but IBD-stromal only after deeper audit; no genetics or perturbation support.
TREM2_APOE_LIPID_REPAIR	TREM2	wave32_resolution	results_v3/wave32_resolution_rescue_audit/resolution_rescue_route_audit.tsv	TREM2_APOE_LIPID_REPAIR	PARK_RESOLUTION_BIOLOGY_NO_CAUSAL_ANCHOR	4.4625		13.0			4.0	2.0	Crohn disease;Hashimoto thyroiditis;Sjogren syndrome;c1q_phagocytic_myeloid:0.374,p=0.0097;celiac disease;complement_phagocytosis:0.316,p=0.035;hla_ii_apc:0.274,p=0.024;ibd_uc_myeloid;lipid_loader_repair:0.301,p=0.028;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis		1.7595984466157422	0.0006219963760009		True										TREM2:CHEMBL6196124:Triggering receptor expressed on myeloid cells 2	6.0	29123.0	210.0	high	TREM2 agonism is crowded in neurodegeneration and local cross-autoimmune support is marker/confounder dominated rather than target-causal.
TREM2_APOE_LIPID_REPAIR	TREM2	wave32_resolution	results_v3/wave32_resolution_rescue_audit/resolution_rescue_route_audit.tsv	LXR_ABCA1_CHOLESTEROL_EFFLUX	NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE	-0.6500000000000004		5.0			2.0	3.0	Hashimoto thyroiditis;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus		0.9212173629129756	0.014073891674355		True										NR1H3:CHEMBL2808:Oxysterols receptor LXR-alpha	5594.0	23298.0	2.0	blocking	LXR/ABCA1 is biologically coherent but broad lipid-metabolic prior art and lipogenesis/safety liabilities block a novel V3 target claim.
LOCALIZED_IL10_RESTORATION	IL10	wave32_resolution	results_v3/wave32_resolution_rescue_audit/resolution_rescue_route_audit.tsv	IL10_RESOLUTION_AXIS	NO_GO_RESOLUTION_ROUTE	-3.2375		2.0			1.0	1.0	Sjogren syndrome;type 1 diabetes mellitus		0.5386340709389863	0.0920894843746553		True										IL10:CHEMBL3712920:Interleukin-10		90437.0	246.0	blocking	IL-10 augmentation is known and clinically difficult; earlier V3 parked it only as comparator because broad cytokine delivery lacks novelty/selectivity.
CCR6_TH17_TRAFFICKING	CCR6	wave34_genetics_expression	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	CCR6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0			15.0	4e-47					0.2229856175356008	0.7784945025694487		False												0.0	0.0		gate_local_cell_state;gate_druggable_surface;gate_perturbation_or_model
