candidate	database	query	url
CCR6_TH17_TRAFFICKING	GooglePatents	CCR6 antagonist autoimmune disease	https://patents.google.com/?q=CCR6+antagonist+autoimmune+disease
CCR6_TH17_TRAFFICKING	Espacenet	CCR6 antagonist autoimmune disease	https://worldwide.espacenet.com/patent/search?q=CCR6+antagonist+autoimmune+disease
CCR6_TH17_TRAFFICKING	GooglePatents	CCR6 CCL20 multiple sclerosis patent	https://patents.google.com/?q=CCR6+CCL20+multiple+sclerosis+patent
CCR6_TH17_TRAFFICKING	Espacenet	CCR6 CCL20 multiple sclerosis patent	https://worldwide.espacenet.com/patent/search?q=CCR6+CCL20+multiple+sclerosis+patent
TREM2_APOE_LIPID_REPAIR	GooglePatents	TREM2 agonist multiple sclerosis	https://patents.google.com/?q=TREM2+agonist+multiple+sclerosis
TREM2_APOE_LIPID_REPAIR	Espacenet	TREM2 agonist multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=TREM2+agonist+multiple+sclerosis
TREM2_APOE_LIPID_REPAIR	GooglePatents	TREM2 antibody autoimmune disease	https://patents.google.com/?q=TREM2+antibody+autoimmune+disease
TREM2_APOE_LIPID_REPAIR	Espacenet	TREM2 antibody autoimmune disease	https://worldwide.espacenet.com/patent/search?q=TREM2+antibody+autoimmune+disease
SQLE_STEROL_STROMAL	GooglePatents	SQLE inhibitor autoimmune disease	https://patents.google.com/?q=SQLE+inhibitor+autoimmune+disease
SQLE_STEROL_STROMAL	Espacenet	SQLE inhibitor autoimmune disease	https://worldwide.espacenet.com/patent/search?q=SQLE+inhibitor+autoimmune+disease
SQLE_STEROL_STROMAL	GooglePatents	squalene monooxygenase inhibitor inflammation	https://patents.google.com/?q=squalene+monooxygenase+inhibitor+inflammation
SQLE_STEROL_STROMAL	Espacenet	squalene monooxygenase inhibitor inflammation	https://worldwide.espacenet.com/patent/search?q=squalene+monooxygenase+inhibitor+inflammation
LOCALIZED_IL10_RESTORATION	GooglePatents	IL10 targeted delivery autoimmune	https://patents.google.com/?q=IL10+targeted+delivery+autoimmune
LOCALIZED_IL10_RESTORATION	Espacenet	IL10 targeted delivery autoimmune	https://worldwide.espacenet.com/patent/search?q=IL10+targeted+delivery+autoimmune
LOCALIZED_IL10_RESTORATION	GooglePatents	IL10 gene therapy autoimmune disease	https://patents.google.com/?q=IL10+gene+therapy+autoimmune+disease
LOCALIZED_IL10_RESTORATION	Espacenet	IL10 gene therapy autoimmune disease	https://worldwide.espacenet.com/patent/search?q=IL10+gene+therapy+autoimmune+disease
