gene	axis	direction	modality	gate_call	hard_failures	target_first_score	genetic_gate	module_gate	perturbation_gate	druggable_gate	novelty_gate	genetics_diseases_ge_0_5	genetics_ready_score	genetics_proxy_call	proper_coloc_or_mr_feasible_this_run	broad_positive_disease_count	strict_residual_disease_count	non_ibd_residual_positive_disease_count	ms_anchor	module_score	foundation_alignment_call	foundation_recommendation	foundation_support_gate_component	perturbation_score	direct_perturbation_rows	best_direct_selectivity_score	best_direct_target_module_effect	best_direct_evidence_call	direct_selective_support	l1000_target_rows	l1000_best_qval	l1000_best_abs_score	l1000_gate_counts	l1000_non_no_go	manual_druggability_score	druggability_score	chembl_druggable_by_activity	chembl_source	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_activity_records	chembl_best_nM	chembl_error	manual_prior_risk	prior_penalty	europepmc_hit_count	clinicaltrials_total_count	manual_blocker	europepmc_examples_json	best_direct_dataset	best_direct_condition
PTPN2	TCPTP negative regulation of JAK/STAT/barrier signaling	restore/increase TCPTP function	requires activator/restoration modality; inhibitors are wrong direction	NO_GO_TARGET_FIRST	no_correct_direction_druggable_modality;prior_art_or_clinical_saturation	7.75	True	True	True	False	False	8	9.0	COLOC_NEEDED_NOT_CLAIMABLE	False	4	0	0	False	5.0	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	True	3.0	0	0.0			False	0				False	0.75	3.0	True	chembl_api	CHEMBL3807	Tyrosine-protein phosphatase non-receptor type 2	SINGLE PROTEIN	1259.0			high	4.25	1748	1	Strong broad genetics proxy, but no correct-direction drug modality or target-resolved coloc/MR in this run.	"[{""id"": ""39944077"", ""source"": ""MED"", ""title"": ""Protein phosphatases in systemic autoimmunity."", ""year"": ""2025""}, {""id"": ""PMC12979485"", ""source"": ""PMC"", ""title"": ""Mendelian randomization studies in atopic dermatitis: causal insights across omics layers"", ""year"": """"}, {""id"": ""40855492"", ""source"": ""MED"", ""title"": ""Autoimmune thyroid disease and pituitary adenoma in a female patient with 18p deletion syndrome: a case report and review of the literature."", ""year"": ""2025""}]"		
GPR65	acidic tissue pH-sensing GPCR/cAMP response	agonize/PAM if risk alleles reduce protective signaling	GPCR agonist or positive allosteric modulator	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-2.5	False	False	False	True	False	5	7.75	NO_GO_CAUSAL_PROXY	False	1	0	0	False	1.0	no_rescue	do_not_promote	False	0.0	0	0.0			False	0				False	2.5	2.5	True	chembl_api	CHEMBL3714081	Psychosine receptor	SINGLE PROTEIN	99.0			high	3.0	549	0	Best genetics/druggability near-miss but local module support and disease-direction resolution remain weak; IBD prior art is direct.	"[{""id"": ""41775781"", ""source"": ""MED"", ""title"": ""Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases."", ""year"": ""2026""}, {""id"": ""PPR1217343"", ""source"": ""PPR"", ""title"": ""CREB/CRTC2-Induced GPR65 Orchestrates Th17 Metabolic Fitness and Pathogenic Effector Function"", ""year"": ""2026""}, {""id"": ""40521700"", ""source"": ""MED"", ""title"": ""Autoimmunity in MASLD: Focus on autoantibodies, anti-apolipoprotein A1 IgG and G protein-coupled receptors."", ""year"": ""2025""}]"		
IFI30	GILT lysosomal antigen-processing redox enzyme	inhibit or modulate only if pathogenic antigen processing is causal	enzyme in principle, but chemical matter uncertain	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;no_real_selective_perturbation_or_validated_foundation_support;no_correct_direction_druggable_modality	-3.55	False	True	False	False	True	1	1.0	NO_GO_CAUSAL_PROXY	False	3	0	0	False	3.0	model_with_readout_concordance_only	triage_only_no_direct_candidate_perturbation	True	0.2	0	0.0			False	0				False	1.0	1.0	False	chembl_api_search_no_target				0.0			medium	2.75	1584	1	Excellent state marker/effector but no target-level genetics, chemical matter, or perturbation package.	"[{""id"": ""39992598"", ""source"": ""MED"", ""title"": ""Whole exome sequencing for identifying rare genetic variants related to idiopathic granulomatous mastitis."", ""year"": ""2025""}, {""id"": ""41650163"", ""source"": ""MED"", ""title"": ""A multifaceted analysis of OTUD5 integrated MAVS in innate immunity of Primary Biliary Cholangitis."", ""year"": ""2026""}, {""id"": ""41668326"", ""source"": ""MED"", ""title"": ""Integrative transcriptomic and machine learning analysis identifies PYCARD and IFI30 as immune-lysosomal biomarkers of ANCA-associated glomerulonephritis."", ""year"": ""2026""}]"		
TNFAIP3	A20 ubiquitin-editing NF-kappaB/TNF/TLR brake	restore A20 function	restoration/mimetic modality required	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;no_real_selective_perturbation_or_validated_foundation_support;no_correct_direction_druggable_modality;prior_art_or_clinical_saturation	-3.75	False	True	False	False	False	7	8.0	NO_GO_CAUSAL_PROXY	False	3	0	0	False	3.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	False	0.0	0	0.0			False	0				False	0.5	0.5	False	chembl_api	CHEMBL4523200	Tumor necrosis factor alpha-induced protein 3	SINGLE PROTEIN	0.0			high	4.25	11306	393	Broad genetics proxy but no practical selective restoration modality.	"[{""id"": ""42163726"", ""source"": ""MED"", ""title"": ""Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases."", ""year"": ""2026""}, {""id"": ""PMC12861005"", ""source"": ""PMC"", ""title"": ""Microbiota-immune crosstalk in autoimmune disorders: Molecular insights and therapeutic pathways"", ""year"": ""2026""}, {""id"": ""42128528"", ""source"": ""MED"", ""title"": ""Clinical phenotype and laboratory markers in patients affected by haploinsufficiency of A20 (HA20): a case series from two Italian centres."", ""year"": ""2026""}]"		
SH2B3	LNK cytokine/JAK signaling adaptor	restore LNK negative regulation	no direct modality	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;no_correct_direction_druggable_modality	-4.5	False	False	False	False	True	10	8.25	NO_GO_CAUSAL_PROXY	False	1	0	0	False	1.0	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	False	0.0	0	0.0			False	0				False	0.25	0.25	False	chembl_api_search_no_target				0.0			medium	2.75	1858	162	Broad pleiotropic 12q24 genetics but poor druggability and weak local module biology.	"[{""id"": ""41516417"", ""source"": ""MED"", ""title"": ""Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance and Applicability of Polygenic Risk Scores."", ""year"": ""2026""}, {""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}, {""id"": ""40864326"", ""source"": ""MED"", ""title"": ""The shared genetic etiology of autoimmune disorders and interstitial lung disease: insights from large-scale genome-wide cross-trait analysis."", ""year"": ""2025""}]"		
GSK3B	kinase controller of CIITA/MHC-II response in macrophage perturbation data	inhibit GSK3B only if selectivity and safety are solved	small-molecule kinase inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;prior_art_or_clinical_saturation	-4.5	False	False	True	True	False	0	1.0	NO_GO_CAUSAL_PROXY	False	1	0	0	False	1.0	real_perturbation_support_but_geneformer_not_rescued	use_real_perturbation_not_foundation_model	True	2.0	0	0.0			False	0				False	2.0	2.0	False	chembl_api	CHEMBL6067425	GSK3B-interacting protein	SINGLE PROTEIN	2.0			high	3.5	2201	0	Real perturbation signal exists, but no cross-autoimmune genetics and broad pleiotropic kinase safety block promotion.	"[{""id"": ""40376194"", ""source"": ""MED"", ""title"": ""JAK-STAT Signaling in Autoimmunity and Cancer."", ""year"": ""2025""}, {""id"": ""41880348"", ""source"": ""MED"", ""title"": ""Genetic variants associated with systemic inflammatory disease associate with temporomandibular symptoms with or without periodontitis."", ""year"": ""2026""}, {""id"": ""41555141"", ""source"": ""MED"", ""title"": ""Elevated IGF1R and abnormal methylated IGF1R in immune thrombocytopenia."", ""year"": ""2026""}]"		
IRF5	TLR/IRF inflammatory transcription-factor switch	inhibit IRF5 activation	small-molecule inhibitor/degrader in principle	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-5.25	False	False	False	True	False	9	9.0	NO_GO_CAUSAL_PROXY	False	0	0	0	False	0.0	no_rescue	do_not_promote	False	0.0	1	-0.0036262518537249	0.1330570213314568	null_or_wrong_direction	False	0				False	2.0	2.0	False	chembl_api_search_no_target				0.0			high	4.25	4372	1	Broad locus but weak local module-state support and direct lupus/TLR/IFN prior art.	"[{""id"": ""40981083"", ""source"": ""MED"", ""title"": ""The Prevalence of Various Autoimmune Comorbidities in Patients with Inflammatory Bowel Disease."", ""year"": ""2025""}, {""id"": ""42163726"", ""source"": ""MED"", ""title"": ""Multilevel Exploration of Shared Genetic Architecture Between Primary Biliary Cholangitis and Four Autoimmune Diseases."", ""year"": ""2026""}, {""id"": ""41516417"", ""source"": ""MED"", ""title"": ""Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance and Applicability of Polygenic Risk Scores."", ""year"": ""2026""}]"	GSE281048_Zenodo14035992	IFNG_pathway
LRRK2	lysosomal/autophagy kinase controlling myeloid vesicle handling	inhibit kinase only if disease-risk gain-of-function drives the state	brain-penetrant kinase inhibitor precedent	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support	-5.75	False	False	False	True	True	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	1	9.36227738231777e-06	11.65196046954043	NO_GO:1	False	3.0	3.0	True	chembl_api	CHEMBL1075104	Leucine-rich repeat serine/threonine-protein kinase 2	SINGLE PROTEIN	8143.0			medium_high	2.75	3274	0	Crohn/Parkinson biology is plausible but local V3 lacks cross-disease module perturbation or target-resolved autoimmune genetics.	"[{""id"": ""42021966"", ""source"": ""MED"", ""title"": ""Autoimmune diseases are associated with increased neurodegenerative and cerebrovascular risk, while systemic corticosteroid exposure shows limited neurodegenerative and modest vascular associations."", ""year"": ""2026""}, {""id"": ""41699864"", ""source"": ""MED"", ""title"": ""Unveiling Shared Genetic Architectures and Causality: Intestinal Diseases and Neurological Diseases."", ""year"": ""2026""}, {""id"": ""40243562"", ""source"": ""MED"", ""title"": ""Concomitant Pathologies and Their Impact on Parkinson Disease: A Narrative Overview of Current Evidence."", ""year"": ""2025""}]"		
PIK3CG	PI3K-gamma myeloid inflammatory trafficking/metabolism	inhibit PI3K-gamma	small-molecule lipid kinase inhibitors	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support	-5.75	False	False	False	True	True	0	0.0		False	0	0	0	False	0.0				0.0	0	0.0			False	1	6.09760480042738e-05	11.125735382487234	NO_GO:1	False	3.0	3.0	False	chembl_api	CHEMBL4296106	PIK3CG/PIK3R1	PROTEIN COMPLEX	1.0			medium_high	2.75	1029	0	Plausible myeloid target but local genetics and module-specific perturbation support are absent.	"[{""id"": ""41811544"", ""source"": ""MED"", ""title"": ""Deucravacitinib Inhibits Synovial Fibroblast Activation Via TYK2/STAT3 and PI3K/Akt Signaling Pathway."", ""year"": ""2026""}, {""id"": ""38306460"", ""source"": ""MED"", ""title"": ""Clinical and experimental treatment of primary humoral immunodeficiencies."", ""year"": ""2024""}, {""id"": ""39992598"", ""source"": ""MED"", ""title"": ""Whole exome sequencing for identifying rare genetic variants related to idiopathic granulomatous mastitis."", ""year"": ""2025""}]"		
PTGER4	PGE2 EP4 receptor signaling	context-dependent agonism or antagonism	small-molecule GPCR modulators	NO_GO_TARGET_FIRST	no_target_level_genetic_anchor;weak_or_absent_local_module_state_support;no_real_selective_perturbation_or_validated_foundation_support;prior_art_or_clinical_saturation	-7.25	False	False	False	True	False	0	0.0	NO_GO_CAUSAL_PROXY	False	2	0	0	False	2.0	nan	nan	True	0.0	0	0.0			False	0				False	3.0	3.0	True	chembl_api	CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	SINGLE PROTEIN	2200.0			high	4.25	2140	1	Eicosanoid/prostanoid route was already rejected as generic and directionally unstable.	"[{""id"": ""40981083"", ""source"": ""MED"", ""title"": ""The Prevalence of Various Autoimmune Comorbidities in Patients with Inflammatory Bowel Disease."", ""year"": ""2025""}, {""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""id"": ""38504334"", ""source"": ""MED"", ""title"": ""Inflammatory bowel disease is associated with an increase in the incidence of multiple sclerosis: a retrospective cohort study of 24,934 patients."", ""year"": ""2024""}]"		
