source_report	reference	citation_status	front	evidence_class	allowed_external_use	exists
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	analysis/v45_artifact_index/v45_artifact_index.tsv	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	analysis/v45_validation_command_runner/	EXISTS_NOT_V45_INDEXED	historical_or_non_v45	supporting_artifact_not_v45_indexed	use according to the cited artifact's own evidence grade; do not infer V45 validation status	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/reports/EXTERNAL_REPORT_EVIDENCE_MANIFEST_V45.md	EXISTS_NOT_V45_INDEXED	historical_or_non_v45	supporting_artifact_not_v45_indexed	use according to the cited artifact's own evidence grade; do not infer V45 validation status	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/reports/SYNTHETIC_READINESS_BOUNDARY_APPENDIX_V45.md	V45_INDEXED	infrastructure	synthetic_method_behavior	method behavior/planning only; never biological evidence	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/APC_HLA_NO_READINESS_CONVERGENCE_V45.md	V45_INDEXED	data_free_validation	internal_convergence_null	internal support only; not external clinical validation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/APC_HLA_NO_REPORTS_CONVERGENCE_V45.md	V45_INDEXED	data_free_validation	internal_convergence_null	internal support only; not external clinical validation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/ARRAY_PROCESSING_READINESS_V45.md	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/BATCH_GUARD_CALIBRATION_FULL_V45.md	V45_INDEXED	robustness	synthetic_method_behavior	method behavior/planning only; never biological evidence	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/CHECKSUM_MANIFEST_VALIDATOR_V45.md	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/CLINICAL_DATA_DICTIONARY_CRF_V45.md	V45_INDEXED	power_design	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/COLLABORATOR_VALIDATION_PACKAGE_README_V45.md	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/DATA_USE_TERMS_CAPTURE_V45.md	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/DROPOUT_MISSING_TIMEPOINT_SENSITIVITY_V45.md	V45_INDEXED	power_design	synthetic_method_behavior	method behavior/planning only; never biological evidence	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/HARNESS_REGRESSION_TESTS_V45.md	V45_INDEXED	robustness	synthetic_method_behavior	method behavior/planning only; never biological evidence	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/LIVE_COHORT_ACQUISITION_PACKET_INDEX_V45.md	V45_INDEXED	cohort_dependence	public_or_external_acquisition_operations	availability/request/readiness only; no validation claim	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/OUTBOUND_DATA_REQUEST_TRACKER_V45.md	V45_INDEXED	cohort_dependence	public_or_external_acquisition_operations	availability/request/readiness only; no validation claim	yes
docs/reports/EXTERNAL_ACCOUNT_DRAFT_V44.md	docs/validation/OUTCOME_LABEL_DICTIONARY_TEMPLATE_V45.md	V45_INDEXED	infrastructure	documentation_or_governance	governance/readiness documentation	yes
