script	role	doc	script_exists	doc_exists	doc_mentions_script	n_operator_refs	operator_refs	score_values_read	status
scripts/v46_terms_governance_matrix.py	terms-governance route blocker	docs/validation/TERMS_GOVERNANCE_MATRIX_V46.md	true	true	true	2	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_author_run_metric_format_adapter.py	noncanonical metric-format adapter	docs/validation/AUTHOR_RUN_METRIC_FORMAT_ADAPTER_V46.md	true	true	true	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_partial_label_return_classifier.py	partial-label classifier	docs/validation/PARTIAL_LABEL_RETURN_CLASSIFIER_V46.md	true	true	true	2	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_receipt_manifest_schema_linter.py	receipt-manifest schema guard	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_package_manifest_shape_classifier.py	package-shape classifier	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_receipt_manifest_to_command_plan_handoff.py	receipt-manifest to command-plan handoff	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	true	true	true	4	docs/validation/RETURNED_PACKAGE_HANDOFF_BUNDLE_MANIFEST_V46.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_returned_package_command_order_planner.py	command-order planner	docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md	true	true	true	4	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_returned_package_route_state_matrix.py	route-state matrix	docs/validation/RETURNED_PACKAGE_ROUTE_STATE_MATRIX_V46.md	true	true	true	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_aggregate_only_returned_package_composition_dryrun.py	aggregate-only composition dry run	docs/validation/AGGREGATE_ONLY_RETURNED_PACKAGE_COMPOSITION_DRYRUN_V46.md	true	true	true	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_unscoreable_return_composition_dryrun.py	unscoreable-return composition dry run	docs/validation/UNSCOREABLE_RETURN_COMPOSITION_DRYRUN_V46.md	true	true	true	2	analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_returned_package_safe_interpretation.py	safe-interpretation classifier	docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md	true	true	true	4	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_safe_wording_fixture_linter.py	safe-wording fixture linter	docs/validation/SAFE_WORDING_FIXTURE_LINTER_V46.md	true	true	true	3	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_result_report_safe_class_linter.py	result-report safe-class linter	docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md	true	true	true	4	docs/validation/AUTHOR_RUN_RETURN_OPERATOR_CHECKLIST_V45.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_report_header_metadata_linter.py	report-header metadata linter	docs/validation/REPORT_HEADER_METADATA_LINTER_V46.md	true	true	true	4	docs/validation/RETURNED_PACKAGE_HANDOFF_BUNDLE_MANIFEST_V46.md;analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_safe_class_report_template_readiness.py	safe-class report-template readiness	docs/validation/SAFE_CLASS_REPORT_TEMPLATE_READINESS_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_small_n_conclusion_language_table.py	small-n conclusion language	docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_analyzable_pair_confidence_envelope.py	analyzable-pair confidence envelope	docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_return_repair_request_templates.py	repair-request templates	docs/validation/RETURN_REPAIR_REQUEST_TEMPLATES_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_partial_label_repair_prioritization.py	partial-label repair prioritization	docs/validation/PARTIAL_LABEL_REPAIR_PRIORITIZATION_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_first30_returned_package_decision_table.py	first-30 decision table	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_first30_repair_template_coverage_linter.py	repair-template coverage linter	docs/validation/FIRST30_REPAIR_TEMPLATE_COVERAGE_LINTER_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
scripts/v46_first30_returned_package_status_board_dryrun.py	first-30 status-board dry run	docs/validation/FIRST30_RETURNED_PACKAGE_STATUS_BOARD_DRYRUN_V46.md	true	true	true	3	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv;analysis/v46_returned_package_regression_suite/returned_package_regression_steps.tsv;analysis/v46_operator_smoke_test_bundle/operator_smoke_test_steps.tsv	false	PASS
