route	database	query	url
MED16_MEDIATOR_MODULE	GooglePatents	CDK8 inhibitor autoimmune disease	https://patents.google.com/?q=CDK8+inhibitor+autoimmune+disease
MED16_MEDIATOR_MODULE	Espacenet	CDK8 inhibitor autoimmune disease	https://worldwide.espacenet.com/patent/search?q=CDK8+inhibitor+autoimmune+disease
MED16_MEDIATOR_MODULE	GooglePatents	Mediator complex inhibitor autoimmune	https://patents.google.com/?q=Mediator+complex+inhibitor+autoimmune
MED16_MEDIATOR_MODULE	Espacenet	Mediator complex inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=Mediator+complex+inhibitor+autoimmune
GSK3B_INHIBITION	GooglePatents	GSK3 beta inhibitor multiple sclerosis autoimmune	https://patents.google.com/?q=GSK3+beta+inhibitor+multiple+sclerosis+autoimmune
GSK3B_INHIBITION	Espacenet	GSK3 beta inhibitor multiple sclerosis autoimmune	https://worldwide.espacenet.com/patent/search?q=GSK3+beta+inhibitor+multiple+sclerosis+autoimmune
GSK3B_INHIBITION	GooglePatents	glycogen synthase kinase 3 inhibitor autoimmune	https://patents.google.com/?q=glycogen+synthase+kinase+3+inhibitor+autoimmune
GSK3B_INHIBITION	Espacenet	glycogen synthase kinase 3 inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=glycogen+synthase+kinase+3+inhibitor+autoimmune
TNFRSF1A_DAMPING	GooglePatents	TNFR1 selective inhibitor multiple sclerosis	https://patents.google.com/?q=TNFR1+selective+inhibitor+multiple+sclerosis
TNFRSF1A_DAMPING	Espacenet	TNFR1 selective inhibitor multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=TNFR1+selective+inhibitor+multiple+sclerosis
TNFRSF1A_DAMPING	GooglePatents	TNFRSF1A autoimmune therapy	https://patents.google.com/?q=TNFRSF1A+autoimmune+therapy
TNFRSF1A_DAMPING	Espacenet	TNFRSF1A autoimmune therapy	https://worldwide.espacenet.com/patent/search?q=TNFRSF1A+autoimmune+therapy
RFX5_MHCII_PARTIAL_SUPPRESSION	GooglePatents	RFX5 inhibitor autoimmune	https://patents.google.com/?q=RFX5+inhibitor+autoimmune
RFX5_MHCII_PARTIAL_SUPPRESSION	Espacenet	RFX5 inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=RFX5+inhibitor+autoimmune
RFX5_MHCII_PARTIAL_SUPPRESSION	GooglePatents	MHC class II transcription inhibitor autoimmune	https://patents.google.com/?q=MHC+class+II+transcription+inhibitor+autoimmune
RFX5_MHCII_PARTIAL_SUPPRESSION	Espacenet	MHC class II transcription inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=MHC+class+II+transcription+inhibitor+autoimmune
CHUK_IKK_MODULATION	GooglePatents	IKK alpha inhibitor autoimmune	https://patents.google.com/?q=IKK+alpha+inhibitor+autoimmune
CHUK_IKK_MODULATION	Espacenet	IKK alpha inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=IKK+alpha+inhibitor+autoimmune
CHUK_IKK_MODULATION	GooglePatents	CHUK inhibitor inflammatory disease	https://patents.google.com/?q=CHUK+inhibitor+inflammatory+disease
CHUK_IKK_MODULATION	Espacenet	CHUK inhibitor inflammatory disease	https://worldwide.espacenet.com/patent/search?q=CHUK+inhibitor+inflammatory+disease
