candidate	source	source_wave	source_call	escape_score	has_concrete_next_test	recent_interface_closed	older_closed_or_demoted	no_go_source	missing_gates	primary_blocker	recommended_next_test	reprioritized_score
PSAP	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	4.800000000000001	True	False	True	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail	Check PSAP/prosaposin against MS lesion, direct h5ad lipid-loader contexts, and perturbation/foundation rows; kill if no cross-disease recurrence.	2.3000000000000007
GPR183_EBI2_OXYSTEROL_NICHE	wave83	wave74_gpr183_oxysterol_niche	PARK_GPR183_OXYSTEROL_NICHE	3.7	True	False	True	False	ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse	MS-spatial/lesion validation of GPR183 plus CH25H/CYP7B1 ligand-axis in same APC niche; kill if receptor and ligand do not co-localize.	0.20000000000000018
FPR2_ANXA1_BIASED_RESOLUTION	wave83	wave48_resolution_reopener_audit	REOPEN_WITH_WETLAB_TEST_ONLY_NOT_V3_PROMOTION	2.5650000000000004	True	False	True	False	ms_anchor;genetic_or_target_resolution;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	dynamic resolution biology and chemical tractability exist, but strict MS expression anchor is negative/non-significant, the GWAS hit is not target-resolved, Wave37 efferocytosis perturbation is unresolved, and prior literature already covers SPM/FPR2 activity in autoimmune/EAE/colitis contexts.	Cross-disease response-state test of ANXA1/FPR2 ligand-receptor module with MS lesion anchor; kill if no MS/resolution-state support.	-1.4349999999999996
RECQL4	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.4000000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.0999999999999996
FBXO16	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.4000000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.0999999999999996
CHST11	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.4000000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.0999999999999996
CCDC121	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.4000000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.0999999999999996
PARK7	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	7.2	False	False	True	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.3
PLIN4	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.1500000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.3499999999999996
MAN1A2	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.1500000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.3499999999999996
MREG	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.1500000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.3499999999999996
YWHAE	wave81	wave81_perturbation_first_rescue	PARK_PERTURBATION_FIRST_CANDIDATE	3.1500000000000004	False	False	False	False	nan	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		-2.3499999999999996
