gene	selection_reasons	discovery_priority_score	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2	ms_wm_p	in_lipid_lysosomal_myeloid_neighborhood	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score
COL4A1	four_disease_low_contradiction;top_rank	17.184046847789823	4.0	0.0	False	0.1822153154682535	0.8835701022678253	False	3	3	0	3	3	1	1	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:1.16,p=0.00015;psoriasis_skin_apc:0.266,p=0.033;ibd_uc_stromal:0.815,p=0.035	ibd_crohn_stromal|lysosomal_apc:1.17,p=0.00017;ibd_crohn_stromal|complement_effector:1.16,p=0.00021;ibd_crohn_stromal|c1q_phagocytic_myeloid:1.09,p=0.00036;ibd_crohn_stromal|ifn_apc:1.04,p=0.00097;ibd_crohn_stromal|inflammatory_nfkb:1.04,p=0.0014;ibd_crohn_stromal|hif_nampt_metabolic:1.03,p=0.0014;ibd_crohn_stromal|lipid_loader_repair:0.936,p=0.0026;ibd_crohn_stromal|hla_ii_apc:0.926,p=0.0031	12
RPL17	top_rank	18.22609223757674	1.0	0.0	True	0.3030373225065492	0.0476747931921886	False	4	1	0	4	1	4	1	1	1	t1d_stellate_cell:type 1 diabetes mellitus	t1d_endothelial_cell:0.942,p=1.1e-05;t1d_stellate_cell:0.869,p=0.00027;t1d_acinar_cell:0.889,p=0.0011;t1d_ductal_cell:0.792,p=0.0022	t1d_stellate_cell|complement_effector:1.06,p=1.6e-06;t1d_endothelial_cell|hla_ii_apc:0.899,p=2.7e-05;t1d_endothelial_cell|ifn_apc:0.903,p=2.9e-05;t1d_stellate_cell|lysosomal_apc:0.867,p=0.00028;t1d_stellate_cell|c1q_phagocytic_myeloid:0.833,p=0.00037;t1d_stellate_cell|hif_nampt_metabolic:0.786,p=0.00076;t1d_acinar_cell|lysosomal_apc:0.906,p=0.00098;t1d_acinar_cell|hla_ii_apc:0.827,p=0.0016	12
MPHOSPH6	four_disease_low_contradiction;top_rank	25.0	4.0	0.0	False	-0.5952492354373149	0.1685973390358947	False	5	3	0	4	2	2	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:0.486,p=0.0032;ibd_uc_stromal:0.251,p=0.011;psoriasis_keratinocyte:0.676,p=0.013;t1d_acinar_cell:0.267,p=0.017;t1d_beta_cell:0.45,p=0.045	t1d_beta_cell|complement_phagocytosis:0.282,p=0.0024;ibd_uc_stromal|complement_effector:0.255,p=0.0075;ibd_uc_stromal|lysosomal_apc:0.258,p=0.0081;ibd_uc_stromal|ifn_apc:0.24,p=0.0089;ibd_uc_myeloid|hla_ii_apc:0.362,p=0.0095;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.386,p=0.0096;t1d_beta_cell|c1q_phagocytic_myeloid:0.32,p=0.01;ibd_uc_stromal|hla_ii_apc:0.252,p=0.01	11
PDPN	four_disease_low_contradiction;top_rank	19.0	4.0	0.0	False	0.1646831166015037	0.49717795424805	False	2	2	0	2	2	1	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:1.13,p=0.0055;psoriasis_skin_apc:0.421,p=0.0091	ibd_uc_stromal|ifn_apc:1.1,p=0.0011;ibd_uc_stromal|hla_ii_apc:1.17,p=0.0012;ibd_uc_stromal|complement_effector:1.15,p=0.0016;psoriasis_skin_apc|mif_cd74_receptor_state:0.365,p=0.0058;psoriasis_skin_apc|complement_phagocytosis:0.421,p=0.0061;psoriasis_skin_apc|hif_nampt_metabolic:0.424,p=0.0069;psoriasis_skin_apc|c1q_phagocytic_myeloid:0.42,p=0.0075;ibd_uc_stromal|lysosomal_apc:1.06,p=0.009	11
CXCL8	top_rank	20.0	3.0	0.0	False	-0.0879956974423397	0.8090528791592078	False	5	2	0	5	2	2	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.552,p=0.0011;ibd_uc_myeloid:1.1,p=0.0012;t1d_ductal_cell:1.05,p=0.012;t1d_acinar_cell:1.22,p=0.019;ibd_uc_epithelial:0.492,p=0.019	ibd_uc_stromal|ifn_apc:0.568,p=0.00019;ibd_uc_stromal|hla_ii_apc:0.51,p=0.00024;ibd_uc_stromal|lysosomal_apc:0.561,p=0.00071;ibd_uc_stromal|complement_effector:0.555,p=0.00093;ibd_uc_stromal|core_lysosomal_lipid:0.44,p=0.0063;ibd_uc_stromal|hif_nampt_metabolic:0.305,p=0.0081;ibd_uc_myeloid|hla_ii_apc:0.868,p=0.009;t1d_ductal_cell|complement_phagocytosis:1.1,p=0.0092	11
ACSL3	lipid_lysosomal_two_disease;mechanistic_scout;top_rank	17.0	3.0	0.0	False	0.2210563122194138	0.2754311664874719	True	4	2	0	4	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.37,p=0.0068;ibd_crohn_epithelial:0.308,p=0.0093;ibd_uc_epithelial:0.238,p=0.012;ibd_uc_myeloid:0.275,p=0.032	ibd_crohn_epithelial|lysosomal_apc:0.227,p=0.0021;ibd_uc_epithelial|complement_phagocytosis:0.228,p=0.0031;ibd_crohn_stromal|lysosomal_apc:0.358,p=0.0047;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.291,p=0.0051;ibd_crohn_stromal|lipid_loader_repair:0.373,p=0.0062;ibd_crohn_stromal|core_lysosomal_lipid:0.346,p=0.0069;ibd_crohn_stromal|hif_nampt_metabolic:0.369,p=0.0069;ibd_crohn_stromal|inflammatory_nfkb:0.369,p=0.007	10
PDLIM7	four_disease_low_contradiction;top_rank	18.0	4.0	0.0	False	0.3031114239445287	0.4681143272853248	False	4	3	0	3	2	0	0	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_stromal:0.493,p=0.018;ibd_uc_myeloid:0.546,p=0.023;ibd_crohn_myeloid:0.577,p=0.023;psoriasis_keratinocyte:0.385,p=0.029	ibd_crohn_myeloid|hla_ii_apc:0.651,p=0.0026;ibd_crohn_myeloid|mif_cd74_receptor_state:0.622,p=0.012;ibd_crohn_stromal|ifn_apc:0.511,p=0.013;ibd_crohn_stromal|hla_ii_apc:0.496,p=0.017;ibd_crohn_stromal|lysosomal_apc:0.492,p=0.018;ibd_crohn_stromal|complement_effector:0.488,p=0.019;ibd_crohn_myeloid|complement_effector:0.591,p=0.02;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.4,p=0.024	9
PTPRE	four_disease_low_contradiction;top_rank	23.928982946376028	4.0	0.0	False	-0.2158191727655953	0.5499680359747707	False	4	2	0	4	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:0.695,p=0.00063;ibd_uc_stromal:0.902,p=0.00065;ibd_crohn_myeloid:0.387,p=0.012;ibd_crohn_stromal:0.403,p=0.017	ibd_uc_stromal|hla_ii_apc:0.829,p=8.3e-05;ibd_uc_stromal|ifn_apc:0.917,p=8.9e-05;ibd_uc_stromal|complement_effector:0.899,p=0.00059;ibd_uc_stromal|lysosomal_apc:0.903,p=0.00062;ibd_uc_stromal|core_lysosomal_lipid:0.722,p=0.0034;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.605,p=0.0053;ibd_crohn_stromal|lysosomal_apc:0.425,p=0.006;ibd_crohn_stromal|c1q_phagocytic_myeloid:0.437,p=0.0063	9
IL7R	top_rank	19.0	3.0	0.0	False	-0.6536992297096775	0.5724603142052797	False	3	2	0	3	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:3.85,p=0.00072;ibd_uc_stromal:2,p=0.017;ibd_crohn_myeloid:2.01,p=0.021	ibd_uc_myeloid|hla_ii_apc:3.16,p=0.0011;ibd_uc_myeloid|c1q_phagocytic_myeloid:2.96,p=0.002;ibd_crohn_myeloid|hla_ii_apc:2.2,p=0.0026;ibd_uc_myeloid|lipid_loader_repair:3.12,p=0.0038;ibd_uc_stromal|complement_effector:2.03,p=0.004;ibd_uc_stromal|inflammatory_nfkb:2.17,p=0.0065;ibd_uc_stromal|ifn_apc:1.92,p=0.0075;ibd_uc_myeloid|complement_phagocytosis:2.49,p=0.0087	9
HLA-B	top_rank	17.21492916893339	2.0	0.0	True	0.2749063406543381	0.0266817350521595	False	5	3	0	5	3	4	2	0	0		t1d_ductal_cell:0.359,p=0.0054;sjogren_gland_apc:0.238,p=0.0071;t1d_acinar_cell:0.877,p=0.021;sjogren_gland_epithelial:0.38,p=0.037;ibd_crohn_myeloid:0.404,p=0.042	t1d_ductal_cell|complement_phagocytosis:0.373,p=0.0038;sjogren_gland_apc|inflammatory_nfkb:0.239,p=0.0038;sjogren_gland_apc|hif_nampt_metabolic:0.253,p=0.0042;sjogren_gland_apc|complement_phagocytosis:0.247,p=0.005;sjogren_gland_apc|c1q_phagocytic_myeloid:0.245,p=0.0055;sjogren_gland_apc|lysosomal_apc:0.247,p=0.0056;t1d_ductal_cell|c1q_phagocytic_myeloid:0.361,p=0.0057;sjogren_gland_apc|complement_effector:0.245,p=0.0062	9
SEC61B	top_rank	17.196458522723642	3.0	0.0	False	0.0379228326077143	0.8814268776848122	False	4	2	1	4	2	3	1	1	1	ibd_uc_stromal:ulcerative colitis	psoriasis_skin_stromal:0.35,p=0.001;ibd_uc_stromal:0.438,p=0.0035;psoriasis_keratinocyte:0.249,p=0.018;psoriasis_skin_apc:0.422,p=0.039	psoriasis_skin_stromal|inflammatory_nfkb:0.348,p=0.00021;ibd_uc_stromal|complement_effector:0.441,p=0.0027;psoriasis_skin_stromal|hif_nampt_metabolic:0.348,p=0.0027;psoriasis_skin_stromal|lipid_loader_repair:0.334,p=0.0031;ibd_uc_stromal|hla_ii_apc:0.44,p=0.0033;ibd_uc_stromal|ifn_apc:0.435,p=0.0037;psoriasis_skin_apc|mif_cd74_receptor_state:0.328,p=0.0074;ibd_uc_stromal|lysosomal_apc:0.381,p=0.012	8
SEC61A1	top_rank	17.0	3.0	0.0	False	-0.0775050827248335	0.5742291621491669	False	5	2	1	5	2	3	1	1	1	ibd_crohn_stromal:Crohn disease	ibd_crohn_epithelial:0.256,p=0.0042;psoriasis_keratinocyte:0.36,p=0.0096;ibd_crohn_stromal:0.379,p=0.019;psoriasis_skin_stromal:0.376,p=0.033;psoriasis_skin_apc:0.321,p=0.049	ibd_crohn_epithelial|complement_phagocytosis:0.261,p=0.0035;ibd_crohn_epithelial|lysosomal_apc:0.204,p=0.0066;psoriasis_skin_stromal|hif_nampt_metabolic:0.361,p=0.01;psoriasis_skin_stromal|inflammatory_nfkb:0.379,p=0.012;psoriasis_keratinocyte|inflammatory_nfkb:0.313,p=0.019;ibd_crohn_stromal|complement_effector:0.379,p=0.019;ibd_crohn_stromal|lysosomal_apc:0.379,p=0.019;ibd_crohn_stromal|lipid_loader_repair:0.375,p=0.02	8
PPIB	top_rank	18.07394724321223	3.0	0.0	False	-0.3697988200867144	0.0770967095708424	False	2	2	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.501,p=0.01;t1d_acinar_cell:0.278,p=0.045	ibd_uc_stromal|complement_effector:0.51,p=0.00036;ibd_uc_stromal|hla_ii_apc:0.513,p=0.0072;ibd_uc_stromal|ifn_apc:0.486,p=0.0073;ibd_uc_stromal|lysosomal_apc:0.496,p=0.011;ibd_uc_stromal|inflammatory_nfkb:0.452,p=0.023;ibd_uc_stromal|core_lysosomal_lipid:0.392,p=0.035;ibd_uc_stromal|hif_nampt_metabolic:0.352,p=0.047;ibd_uc_stromal|lipid_loader_repair:0.383,p=0.048	8
NME1	five_disease;four_disease_low_contradiction;top_rank	23.015845455587073	5.0	0.0	False	-0.386249849366223	0.3480428652732463	False	1	1	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.515,p=0.011	ibd_uc_stromal|complement_effector:0.522,p=0.0025;ibd_uc_stromal|lysosomal_apc:0.544,p=0.004;ibd_uc_stromal|hla_ii_apc:0.487,p=0.01;ibd_uc_stromal|ifn_apc:0.518,p=0.01;ibd_uc_stromal|core_lysosomal_lipid:0.463,p=0.012;ibd_uc_stromal|inflammatory_nfkb:0.463,p=0.025;ibd_uc_stromal|lipid_loader_repair:0.449,p=0.029;ibd_uc_stromal|hif_nampt_metabolic:0.321,p=0.047	8
TNFAIP8	top_rank	17.0	3.0	0.0	False	0.2353293345774378	0.5204890692348256	False	2	1	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.676,p=0.0024;ibd_uc_myeloid:0.346,p=0.043	ibd_uc_stromal|complement_effector:0.685,p=0.00028;ibd_uc_stromal|lysosomal_apc:0.708,p=0.00073;ibd_uc_stromal|core_lysosomal_lipid:0.578,p=0.0016;ibd_uc_stromal|ifn_apc:0.672,p=0.0021;ibd_uc_stromal|hla_ii_apc:0.655,p=0.0036;ibd_uc_stromal|lipid_loader_repair:0.558,p=0.0081;ibd_uc_stromal|inflammatory_nfkb:0.594,p=0.01;ibd_uc_stromal|hif_nampt_metabolic:0.499,p=0.012	8
IFITM3	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	30.0	5.0	0.0	False	-0.4945365481899664	0.2965069179161008	False	9	4	0	9	4	4	2	0	0		t1d_acinar_cell:0.902,p=0.00024;ibd_uc_myeloid:0.888,p=0.0014;ibd_crohn_epithelial:0.414,p=0.0024;t1d_ductal_cell:0.581,p=0.0062;psoriasis_skin_stromal:0.614,p=0.01;ibd_uc_epithelial:0.611,p=0.02;ibd_uc_stromal:0.363,p=0.021;ibd_crohn_myeloid:0.632,p=0.026	t1d_acinar_cell|lysosomal_apc:0.614,p=0.00021;t1d_acinar_cell|mif_cd74_receptor_state:0.681,p=0.0003;t1d_acinar_cell|hla_ii_apc:0.642,p=0.00072;t1d_acinar_cell|ifn_apc:0.487,p=0.0014;t1d_ductal_cell|complement_phagocytosis:0.627,p=0.004;ibd_crohn_epithelial|lysosomal_apc:0.384,p=0.0043;t1d_acinar_cell|complement_phagocytosis:0.661,p=0.0045;ibd_crohn_epithelial|complement_phagocytosis:0.352,p=0.0052	8
IFITM2	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	29.0	5.0	0.0	False	-0.5240543955909676	0.2031260631187718	False	8	4	0	8	4	5	2	0	0		psoriasis_keratinocyte:0.32,p=0.0018;ibd_uc_myeloid:1.18,p=0.0023;t1d_acinar_cell:0.696,p=0.0059;t1d_ductal_cell:0.597,p=0.015;ibd_crohn_myeloid:1.12,p=0.017;ibd_uc_epithelial:0.381,p=0.022;t1d_stellate_cell:0.582,p=0.026;psoriasis_skin_stromal:0.486,p=0.047	ibd_crohn_myeloid|hla_ii_apc:1.25,p=0.00058;ibd_uc_myeloid|hla_ii_apc:1.09,p=0.0039;t1d_acinar_cell|mif_cd74_receptor_state:0.513,p=0.0064;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.856,p=0.007;t1d_ductal_cell|complement_phagocytosis:0.666,p=0.0074;ibd_uc_myeloid|lipid_loader_repair:0.877,p=0.0077;psoriasis_keratinocyte|inflammatory_nfkb:0.299,p=0.0091;t1d_stellate_cell|c1q_phagocytic_myeloid:0.517,p=0.0099	8
CASP4	four_disease_low_contradiction;mechanistic_scout;top_rank	23.0	4.0	0.0	False	0.2066862758954002	0.4927047679399916	False	5	4	0	5	4	3	2	0	0		ibd_crohn_myeloid:0.7,p=0.00039;ibd_uc_myeloid:0.777,p=0.0071;psoriasis_skin_apc:0.283,p=0.023;t1d_acinar_cell:0.401,p=0.029;t1d_ductal_cell:0.437,p=0.034	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.622,p=0.00066;ibd_crohn_myeloid|lipid_loader_repair:0.613,p=0.0007;ibd_crohn_myeloid|hla_ii_apc:0.686,p=0.00078;ibd_crohn_myeloid|complement_effector:0.651,p=0.00096;ibd_crohn_myeloid|complement_phagocytosis:0.556,p=0.0016;ibd_crohn_myeloid|core_lysosomal_lipid:0.539,p=0.0035;ibd_crohn_myeloid|lysosomal_apc:0.54,p=0.004;ibd_crohn_myeloid|mif_cd74_receptor_state:0.59,p=0.0043	8
MTHFD2	four_disease_low_contradiction;top_rank	22.0	4.0	0.0	False	0.0461599204982174	0.8145219094018459	False	6	4	0	6	4	2	2	0	0		ibd_crohn_epithelial:0.225,p=0.0017;ibd_uc_myeloid:0.365,p=0.0066;ibd_uc_stromal:0.443,p=0.018;ibd_crohn_stromal:0.349,p=0.019;t1d_stellate_cell:0.739,p=0.034;psoriasis_keratinocyte:0.355,p=0.036	ibd_crohn_epithelial|complement_phagocytosis:0.207,p=0.002;ibd_crohn_stromal|complement_effector:0.369,p=0.0042;ibd_uc_stromal|lysosomal_apc:0.475,p=0.0064;ibd_uc_stromal|hla_ii_apc:0.405,p=0.01;ibd_uc_stromal|ifn_apc:0.452,p=0.011;ibd_crohn_stromal|ifn_apc:0.36,p=0.014;ibd_uc_stromal|core_lysosomal_lipid:0.378,p=0.014;ibd_uc_stromal|complement_effector:0.444,p=0.017	8
