truth	scenario	severity	cohorts	primary_pass_rate	existing_guard_flag_rate	existing_guarded_acceptable_pass_rate	calibrated_q10_guard_flag_rate	calibrated_q10_acceptable_pass_rate	calibrated_q20_guard_flag_rate	calibrated_q20_acceptable_pass_rate	mean_auc
planted	batch_only	0.0	40	0.85	0.6	0.375	0.0	0.85	0.025	0.825	0.7793611111111111
planted	batch_only	0.25	40	0.875	0.725	0.2	0.0	0.875	0.075	0.8	0.7800555555555555
planted	batch_only	0.5	40	0.875	1.0	0.0	0.025	0.85	0.5	0.425	0.7841666666666667
planted	batch_only	0.75	40	0.975	1.0	0.0	0.125	0.85	0.875	0.125	0.8060277777777778
planted	batch_only	1.0	40	0.975	1.0	0.0	0.15	0.825	1.0	0.0	0.8245833333333333
planted	batch_plus_depth	0.0	40	0.975	0.5	0.475	0.0	0.975	0.075	0.9	0.7844722222222222
planted	batch_plus_depth	0.25	40	0.975	0.875	0.125	0.0	0.975	0.225	0.75	0.7869444444444444
planted	batch_plus_depth	0.5	40	0.975	0.975	0.025	0.05	0.925	0.7	0.3	0.8171944444444443
planted	batch_plus_depth	0.75	40	1.0	1.0	0.0	0.55	0.45	1.0	0.0	0.8372777777777778
planted	batch_plus_depth	1.0	40	1.0	1.0	0.0	0.8	0.2	1.0	0.0	0.8530833333333334
planted	batch_plus_steroid	0.0	40	0.875	0.6	0.325	0.0	0.875	0.0	0.875	0.7864722222222222
planted	batch_plus_steroid	0.25	40	0.95	0.7	0.25	0.025	0.925	0.15	0.8	0.7850555555555555
planted	batch_plus_steroid	0.5	40	0.95	0.95	0.05	0.075	0.875	0.425	0.525	0.8002777777777779
planted	batch_plus_steroid	0.75	40	0.975	1.0	0.0	0.425	0.575	0.95	0.05	0.8221666666666666
planted	batch_plus_steroid	1.0	40	0.975	1.0	0.0	0.75	0.225	1.0	0.0	0.8495277777777778
planted	distributed_weak_technical	0.0	40	0.925	0.55	0.4	0.0	0.925	0.05	0.875	0.7918055555555555
planted	distributed_weak_technical	0.25	40	0.95	0.575	0.4	0.0	0.95	0.125	0.825	0.784888888888889
planted	distributed_weak_technical	0.5	40	0.975	0.85	0.15	0.05	0.925	0.15	0.85	0.7865555555555556
planted	distributed_weak_technical	0.75	40	1.0	0.95	0.05	0.225	0.775	0.9	0.1	0.8186111111111112
planted	distributed_weak_technical	1.0	40	0.975	1.0	0.0	0.575	0.4	0.975	0.025	0.8296388888888888
