gene	route	wave70_call	wave70_score	manual_blocker	evidence_count	gse282122_support	gse282122_best_call	gse282122_min_raw_fdr	gse282122_min_paired_fdr	gse282122_min_adjusted_fdr	broad_support	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	residual_support	residual_retained_positive_disease_count	ms_support	ms_delta_log2	ms_p	ms_fdr	ra_support	ra_mean_post_minus_pre	ra_paired_fdr	ra_response_support	ra_best_response_contrast	ra_best_response_delta	ra_best_response_fdr	genetics_support	wave62_score	wave62_call	strong_l2g_diseases	strong_qtl_coloc_diseases	eff_support	efferocytosis_screen_call	efferocytosis_delta	efferocytosis_fdr	model_support	wave57_call	wave69d_call	real_pert_support	wave61_call	wave61_manual_blocker
FCGR2A	activating Fc-gamma receptor comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	3.6028233089082287	Fc_receptor_directionality_and_safety	4	False	PARK_GENETIC_PERTURBATION_INTERSECTION	1.0	0.5890098953605836		False	1.0	0.0	Sjogren syndrome	False	0.0	False	-0.1533819091799007	0.582735290071486	0.9460303616141402	True	-0.3714750320026234	0.030161473506413117	True	modgood_vs_none	-0.5862487646831009	0.14134196064293006	True	2.4112932356329155	NO_GO_WAVE62_TARGET_RESOLUTION	AS;Crohn;SLE;UC	AS;Celiac;Crohn;Psoriasis;RA;SLE;UC	False				True		MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	False		
NCF1	NOX2 cytosolic subunit comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	3.4853377261873275	NADPH_oxidase_host_defense_CGD_directionality_risk	4	False	PARK_GENETIC_PERTURBATION_INTERSECTION	1.0	0.1621736418604976		False	1.0	0.0	Crohn disease	False	0.0	False	0.6643413684356645	0.4799034657965054	0.926038761164836	True	-0.6650992789819012	0.03217595761109428	True	good_vs_other	-1.2635252538153	0.17404604552071531	True	1.9413509047493085	NO_GO_WAVE62_TARGET_RESOLUTION		Crohn;SLE;Sjogren	False	UNRESOLVED	0.2471804065886498	1.0	True		MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	False		
NCF2	NOX2 cytosolic subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	2.104203946873728	NADPH_oxidase_host_defense_CGD_directionality_risk	3	True	DESCRIPTIVE_GENE_SIGNAL	0.7107543455496845	1.0	0.0201208991508919	False	2.0	0.0	Crohn disease;ulcerative colitis	False	0.0	True	0.5993704440951095	0.0194216439823732	0.8372898579012464	True	-0.2249226127649575	0.040599720355271804	False	good_vs_other	-0.3515215652986369	0.4133345233220192	False	2.416815787494911	NO_GO_WAVE62_TARGET_RESOLUTION	Celiac;SLE	SLE	False	UNRESOLVED	0.0634636945069144		False			False		
LYN	SRC-family Fc receptor kinase comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	2.0	SRC_family_broad_selectivity_safety	3	True	DESCRIPTIVE_GENE_SIGNAL	0.735902312729011	1.0	0.0078377860683372	True	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	False	0.0	False	0.1003572031246236	0.4510979646191576	0.9225905944386774	True	-0.24114371824712133	0.05103137833104209	False	good_vs_other	-0.29399688052321293	0.5315603654515715	False	0.0				False	UNRESOLVED	-0.7373579923120679	0.920009505703422	False			False		
SYK	Fc receptor kinase comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	0.6384710222482681	SYK_prior_art_broad_immunosuppression	2	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	0.0	0.0		False	0.0	False	-0.0717819514112196	0.7728653669980862	0.9733233960040236	True	-0.2327874275591148	0.03217595761109428	False	good_vs_other	-0.16708708914332981	0.7368367649193285	False	0.5538840889930725	NO_GO_WAVE62_TARGET_RESOLUTION			False	UNRESOLVED	-0.7477322783490581	0.9971256078463696	True		MODEL_SUPPORT_BUT_BLOCKED_COMPARATOR	False		
BLK	B-cell/SRC-family kinase Wave69 scout	NO_GO_BLOCKED_OR_BROAD_CLASS	0.5929222192918857	myeloid_expression_missing_in_Wave69D	1	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		False	1.0	0.0	Sjogren syndrome	False	0.0	False				False	-0.09618119385173754	0.6310559076817776	False	good_vs_other	-0.5223399434014016	0.47305595879621687	False	2.3716888771675437	NO_GO_WAVE62_TARGET_RESOLUTION	RA;SLE	RA;SLE	True	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3763039238517932	0.9971256078463696	False		NO_GO_MODEL_REMISSION_SCREEN	False		
CYBB	NOX2 catalytic subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	0.5	NADPH_oxidase_host_defense_CGD_directionality_risk	3	True	DESCRIPTIVE_GENE_SIGNAL	0.614840458715091	1.0	0.0258498370570587	False	0.0	0.0		False	0.0	False	-0.3982503951498284	0.2611171787563284	0.9049965616313804	True	-0.49176401201132697	0.08745778879855537	True	modgood_vs_none	-1.159826143297977	0.14134196064293006	False	0.0				False	UNRESOLVED	-0.4116235544607243	1.0	False			False		
PTPN11	SHP2 checkpoint/inhibitory receptor phosphatase	NO_GO_BLOCKED_OR_BROAD_CLASS	0.0	SHP2_oncology_development_and_broad_signaling	1	False	DESCRIPTIVE_GENE_SIGNAL	1.0	1.0		True	3.0	1.0	Crohn disease;psoriasis;ulcerative colitis	False	0.0	False	0.1914483871986583	0.1882167336704368	0.8993702893651148	False	0.054420959859243306	0.4011927322930514	False	modgood_vs_none	-0.09100948435700389	0.7905706771853339	False	0.0				False	UNRESOLVED	-0.7433928569705706	0.9965506589785832	False			False	NO_GO_WAVE61_GUARDRAIL	
FCGR2B	inhibitory Fc-gamma receptor comparator	NO_GO_BLOCKED_OR_BROAD_CLASS	-0.04108285973143122	Fc_receptor_directionality_and_safety	2	False	PARK_GENETIC_PERTURBATION_INTERSECTION	1.0	0.6910591719060241		False	0.0	0.0		False	0.0	False	0.3743680552898727	0.5995853752716118	0.9466965949245808	True	-0.3082294369150671	0.02244082010350089	False	good_vs_other	-0.06988470493031923	0.9066456878639199	True	1.835668561074276	NO_GO_WAVE62_TARGET_RESOLUTION		AS;Crohn;SLE;UC	False	UNRESOLVED	-0.1232342873864228	0.9971256078463696	False		NO_GO_MODEL_REMISSION_SCREEN	False		
CYBA	NOX2 p22phox subunit	NO_GO_BLOCKED_OR_BROAD_CLASS	-0.5	NADPH_oxidase_host_defense_CGD_directionality_risk	1	False	DESCRIPTIVE_GENE_SIGNAL	0.8685110805180418	1.0		False	2.0	0.0	Crohn disease;psoriasis	False	0.0	False	-0.2776210425293879	0.2613868419845392	0.9049965616313804	True	-0.5761614488975212	0.03217595761109428	False	modgood_vs_none	-0.7382284372698449	0.4133345233220192	False	0.0				False	UNRESOLVED	-0.4997090300363747	0.920009505703422	False			False		
