candidate	source	source_wave	mechanism	modality	source_call	primary_blocker	missing_gates	escape_score	support_summary	manual_escape_logic	recommended_next_test	has_concrete_next_test
PSAP	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		4.800000000000001	score=7.0;direct=0;foundation=1;ms=1;genetics=0;broad=0.0;modality=0;prior=1	Secreted lysosomal lipid cofactor with MS nominal anchor and foundation-model support.	Check PSAP/prosaposin against MS lesion, direct h5ad lipid-loader contexts, and perturbation/foundation rows; kill if no cross-disease recurrence.	True
GPR183_EBI2_OXYSTEROL_NICHE	wave83	wave74_gpr183_oxysterol_niche	GPR183/EBI2 oxysterol-guided migration and APC niche	GPR183 antagonist/biased modulator	PARK_GPR183_OXYSTEROL_NICHE	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse	ms_anchor;genetic_or_target_resolution;source_audit_not_promotional	3.7	reachable=1;prior=1;safety=1;response=1;direct=0;foundation=0;ms=0;genetics=0;specificity=1	Druggable GPCR and coherent niche biology; only Wave83 PARK route.	MS-spatial/lesion validation of GPR183 plus CH25H/CYP7B1 ligand-axis in same APC niche; kill if receptor and ligand do not co-localize.	True
FPR2_ANXA1_BIASED_RESOLUTION	wave83	wave48_resolution_reopener_audit	FPR2/ALX biased agonism or ANXA1-mimetic resolution signaling	small molecule or peptide biased agonist; pro-resolution biologic	REOPEN_WITH_WETLAB_TEST_ONLY_NOT_V3_PROMOTION	dynamic resolution biology and chemical tractability exist, but strict MS expression anchor is negative/non-significant, the GWAS hit is not target-resolved, Wave37 efferocytosis perturbation is unresolved, and prior literature already covers SPM/FPR2 activity in autoimmune/EAE/colitis contexts.	ms_anchor;genetic_or_target_resolution;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels	2.5650000000000004	reachable=1;prior=1;safety=1;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0	Biased pro-resolution GPCR has tractable modalities and a wet-lab-only reopener.	Cross-disease response-state test of ANXA1/FPR2 ligand-receptor module with MS lesion anchor; kill if no MS/resolution-state support.	True
PARK7_RESIDUAL_ROUTE	wave83	wave82_parked_intervention_route_audit	no local MS anchor, generic stress biology, and target-resolution artifacts do not support a disease-specific intervention	small-molecule DJ-1/PARK7 modulators exist as a broad stress-biology concept, but no local autoimmune/MS route is resolved	PARK_ROUTE_POSSIBLE_BUT_EVIDENCE_INCOMPLETE	no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support	cross_disease_cellstate;ms_anchor;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	1.8449999999999998	reachable=1;prior=1;safety=0;response=0;direct=0;foundation=1;ms=0;genetics=1;specificity=0	Small-molecule DJ-1/PARK7 route exists and foundation support was nonzero.	MS anchor and perturbation direction test in myeloid lipid-stress datasets; kill if PARK7 remains generic stress biology.	True
P2RX7_PURINERGIC_STRATIFICATION	wave83	wave73_p2rx7_stratification_test	P2RX7/NLRP3/IL1B purine-danger module	P2RX7 antagonist or purine-high biomarker stratification	PARK_P2RX7_STRATIFICATION_NEEDS_TARGET_LEVEL_DATA	biochemistry and cell-state support exist, but target-level validation is missing	ms_anchor;genetic_or_target_resolution;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels	0.2550000000000001	reachable=1;prior=1;safety=0;response=0;direct=0;foundation=0;ms=0;genetics=0;specificity=0	Small-molecule class exists and stratification, not pan-treatment, may avoid broad failure.	Target-level P2RX7 expression/genetics plus inflammasome-high subgroup test; kill if P2RX7 is not the subgroup driver.	True
PARK7	wave81	wave81_perturbation_first_rescue		gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		7.2	score=8.0;direct=0;foundation=1;ms=0;genetics=1;broad=2.0;modality=1;prior=1			False
DAB2	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		5.6	score=9.0;direct=1;foundation=0;ms=1;genetics=0;broad=0.0;modality=0;prior=1			False
CD58_TARGETABILITY	wave83	wave79_targetability_shortlist_audit	CD58 targetability shortlist route	surface_biologic_possible	PARK_TARGETABILITY_SHORTLIST_NODE	partial support remains but one or more critical targetability gates fail	source_audit_not_promotional;fewer_than_two_support_channels	5.305	reachable=1;prior=1;safety=1;response=0;direct=1;foundation=0;ms=1;genetics=1;specificity=0			False
CD9	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		5.2	score=8.0;direct=1;foundation=0;ms=1;genetics=0;broad=0.0;modality=0;prior=1			False
BLK	wave81	wave81_perturbation_first_rescue	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	gene/protein route unresolved	PARK_PERTURBATION_FIRST_CANDIDATE	perturbation/model support exists but critical MS/genetics/modality/direction gates fail		5.15	score=6.0;direct=1;foundation=0;ms=0;genetics=0;broad=1.0;modality=1;prior=1			False
