section	sequence	phase	artifact_id	command	doc	primary_output	script	script_exists	source	score_values_read	expected_status	terminal_stage	stop_condition
handoff_manifest	1	cold_start	current_action_card	.venv/bin/python scripts/v45_current_action_card.py --outdir analysis/v45_current_action_card	docs/validation/CURRENT_ACTION_CARD_V45.md	analysis/v45_current_action_card/current_action_card_summary.json	scripts/v45_current_action_card.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	2	cold_start	cold_start_operator_sequence	.venv/bin/python scripts/v45_cold_start_operator_sequence.py --outdir analysis/v45_cold_start_operator_sequence	docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json	scripts/v45_cold_start_operator_sequence.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	3	pre_touch_guard	receipt_manifest_schema_linter	.venv/bin/python scripts/v46_receipt_manifest_schema_linter.py lint --manifest <receipt_manifest.tsv> --outdir analysis/v46_receipt_manifest_schema_linter/<cohort>_<date> --fail-on-error	docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	analysis/v46_receipt_manifest_schema_linter/receipt_manifest_schema_synthetic_summary.json	scripts/v46_receipt_manifest_schema_linter.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	4	pre_touch_guard	package_manifest_shape_classifier	.venv/bin/python scripts/v46_package_manifest_shape_classifier.py classify --manifest <receipt_manifest.tsv> --terms-class <TERMS_CLASS> --outdir analysis/v46_package_manifest_shape_classifier/<cohort>_<date> --fail-on-error	docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	analysis/v46_package_manifest_shape_classifier/package_manifest_shape_synthetic_summary.json	scripts/v46_package_manifest_shape_classifier.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	5	pre_touch_guard	receipt_manifest_to_command_plan_handoff	.venv/bin/python scripts/v46_receipt_manifest_to_command_plan_handoff.py --outdir analysis/v46_receipt_manifest_to_command_plan_handoff --fail-on-error	docs/validation/RECEIPT_MANIFEST_TO_COMMAND_PLAN_HANDOFF_V46.md	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff_summary.json	scripts/v46_receipt_manifest_to_command_plan_handoff.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	6	first_30_minutes	first30_decision_table	.venv/bin/python scripts/v46_first30_returned_package_decision_table.py --outdir analysis/v46_first30_returned_package_decision_table --fail-on-error	docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_summary.json	scripts/v46_first30_returned_package_decision_table.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	7	first_30_minutes	first30_status_board	.venv/bin/python scripts/v46_first30_returned_package_status_board_dryrun.py --outdir analysis/v46_first30_returned_package_status_board_dryrun --fail-on-error	docs/validation/FIRST30_RETURNED_PACKAGE_STATUS_BOARD_DRYRUN_V46.md	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun_summary.json	scripts/v46_first30_returned_package_status_board_dryrun.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	8	first_30_minutes	status_board_schema_linter	.venv/bin/python scripts/v46_returned_package_status_board_schema_linter.py --outdir analysis/v46_returned_package_status_board_schema_linter --fail-on-error	docs/validation/RETURNED_PACKAGE_STATUS_BOARD_SCHEMA_LINTER_V46.md	analysis/v46_returned_package_status_board_schema_linter/status_board_schema_linter_summary.json	scripts/v46_returned_package_status_board_schema_linter.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	9	first_30_minutes	status_board_markdown_roundtrip_renderer	.venv/bin/python scripts/v46_status_board_markdown_roundtrip_renderer.py --outdir analysis/v46_status_board_markdown_roundtrip_renderer --fail-on-error	docs/validation/STATUS_BOARD_MARKDOWN_ROUNDTRIP_RENDERER_V46.md	analysis/v46_status_board_markdown_roundtrip_renderer/status_board_markdown_roundtrip_summary.json	scripts/v46_status_board_markdown_roundtrip_renderer.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
handoff_manifest	10	preflight_composition	returned_package_preflight_dryrun	.venv/bin/python scripts/v46_returned_package_preflight_dryrun.py --outdir analysis/v46_returned_package_preflight_dryrun --fail-on-error	docs/validation/RETURNED_PACKAGE_PREFLIGHT_DRYRUN_V46.md	analysis/v46_returned_package_preflight_dryrun/returned_package_preflight_dryrun_summary.json	scripts/v46_returned_package_preflight_dryrun.py	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false			
