visual	scenario	viewport_css_px	content_css_px	native_width_px	native_height_px	scale	native_min_font_px	effective_min_font_px	label_mode
EVIDENCE_LANES_V55.svg	mobile	360	328	1200	760	0.2733	11.0	3.01	TEXT_EQUIVALENT_REQUIRED
EVIDENCE_LANES_V55.svg	tablet	768	704	1200	760	0.5867	11.0	6.45	TEXT_EQUIVALENT_REQUIRED
EVIDENCE_LANES_V55.svg	print_portrait_model	704	672	1200	760	0.56	11.0	6.16	TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	mobile	360	328	1200	780	0.2733	11.0	3.01	TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	tablet	768	704	1200	780	0.5867	11.0	6.45	TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	print_portrait_model	704	672	1200	780	0.56	11.0	6.16	TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	mobile	360	328	1200	820	0.2733	10.5	2.87	TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	tablet	768	704	1200	820	0.5867	10.5	6.16	TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	print_portrait_model	704	672	1200	820	0.56	10.5	5.88	TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	mobile	360	328	1200	760	0.2733	11.0	3.01	TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	tablet	768	704	1200	760	0.5867	11.0	6.45	TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	print_portrait_model	704	672	1200	760	0.56	11.0	6.16	TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	mobile	360	328	1200	1080	0.2733	11.0	3.01	TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	tablet	768	704	1200	1080	0.5867	11.0	6.45	TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	print_portrait_model	704	672	1200	1080	0.56	11.0	6.16	TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	mobile	360	328	1200	900	0.2733	11.0	3.01	TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	tablet	768	704	1200	900	0.5867	11.0	6.45	TEXT_EQUIVALENT_REQUIRED
RESEARCH_MAP_V55.svg	print_portrait_model	704	672	1200	900	0.56	11.0	6.16	TEXT_EQUIVALENT_REQUIRED
