source	target	edge_type	target_artifact	source_exists
knowledge_external/catalogs/records/	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	input_to_artifact	V48 convergence/contradiction matrix	pattern_or_directory
docs/reports/FINDINGS_REPORT_V37.md	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	input_to_artifact	V48 convergence/contradiction matrix	yes
scripts/v48_convergence_matrix_coverage_linter.py	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	freshness_control_for_artifact	V48 convergence/contradiction matrix	yes
scripts/v48_convergence_status_vocabulary_linter.py	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	freshness_control_for_artifact	V48 convergence/contradiction matrix	yes
scripts/v48_support_contradiction_coverage_linter.py	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	freshness_control_for_artifact	V48 convergence/contradiction matrix	yes
scripts/v48_project_finding_reference_linter.py	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	freshness_control_for_artifact	V48 convergence/contradiction matrix	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/catalogs/indexes/V48_RELATIONSHIP_MATRIX_DATA_DICTIONARY.md	input_to_artifact	V48 relationship-matrix data dictionary	yes
scripts/v48_convergence_status_vocabulary_linter.py	knowledge_external/catalogs/indexes/V48_RELATIONSHIP_MATRIX_DATA_DICTIONARY.md	input_to_artifact	V48 relationship-matrix data dictionary	yes
scripts/v48_relationship_matrix_data_dictionary_freshness_linter.py	knowledge_external/catalogs/indexes/V48_RELATIONSHIP_MATRIX_DATA_DICTIONARY.md	freshness_control_for_artifact	V48 relationship-matrix data dictionary	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	input_to_artifact	V48 future-grounding queue	yes
scripts/v48_future_grounding_queue_freshness_linter.py	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	freshness_control_for_artifact	V48 future-grounding queue	yes
scripts/v47_external_verifiable_intake_linter.py	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	freshness_control_for_artifact	V48 future-grounding queue	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/DECISION_RELEVANT_CONVERGENCES_V48.md	input_to_artifact	V48 decision-relevant convergence shortlist	yes
scripts/v48_decision_relevant_convergence_freshness_linter.py	knowledge_external/synthesis/DECISION_RELEVANT_CONVERGENCES_V48.md	freshness_control_for_artifact	V48 decision-relevant convergence shortlist	yes
knowledge_external/synthesis/convergence_contradiction_v48.tsv	knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	input_to_artifact	V48 convergence source-independence matrix	yes
knowledge_external/catalogs/records/	knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	input_to_artifact	V48 convergence source-independence matrix	pattern_or_directory
scripts/v48_convergence_source_independence_freshness_linter.py	knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	freshness_control_for_artifact	V48 convergence source-independence matrix	yes
knowledge_external/synthesis/convergence_source_independence_v48.tsv	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	input_to_artifact	V48 source-domain independence rollup	yes
scripts/v48_source_domain_independence_freshness_linter.py	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	freshness_control_for_artifact	V48 source-domain independence rollup	yes
knowledge_external/catalogs/indexes/convergence_contradiction_v48_summary.json	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	input_to_artifact	V48 convergence/contradiction executive card	yes
knowledge_external/catalogs/indexes/convergence_source_independence_v48_summary.json	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	input_to_artifact	V48 convergence/contradiction executive card	yes
knowledge_external/catalogs/indexes/v37_external_coverage_gap_priority_v48_summary.json	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	input_to_artifact	V48 convergence/contradiction executive card	yes
analysis/v48_governance_preflight/v48_governance_preflight_summary.json	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	input_to_artifact	V48 convergence/contradiction executive card	yes
scripts/v48_convergence_executive_card_freshness_linter.py	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	freshness_control_for_artifact	V48 convergence/contradiction executive card	yes
docs/knowledge/EPISTEMIC_CLASSES.md	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	input_to_artifact	V48 external layer reader brief	yes
knowledge_external/INDEX.md	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	input_to_artifact	V48 external layer reader brief	yes
knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	input_to_artifact	V48 external layer reader brief	yes
knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	input_to_artifact	V48 external layer reader brief	yes
scripts/v48_external_layer_reader_brief_freshness_linter.py	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	freshness_control_for_artifact	V48 external layer reader brief	yes
scripts/sap_ai_core_client.py	knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	input_to_artifact	V48 AI Core tooling-health card	yes
meta/V48_QUEUE.md	knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	input_to_artifact	V48 AI Core tooling-health card	yes
scripts/v48_ai_core_tooling_health_freshness_linter.py	knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	freshness_control_for_artifact	V48 AI Core tooling-health card	yes
knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	knowledge_external/catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md	input_to_artifact	V48 model-lens usage boundary	yes
scripts/sap_ai_core_client.py	knowledge_external/catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md	input_to_artifact	V48 model-lens usage boundary	yes
scripts/v48_model_lens_usage_boundary_freshness_linter.py	knowledge_external/catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md	freshness_control_for_artifact	V48 model-lens usage boundary	yes
knowledge_external/catalogs/records/resource.*.json	knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	input_to_artifact	V48 external resource comparator matrix	pattern_or_directory
scripts/v48_resource_comparator_freshness_linter.py	knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	freshness_control_for_artifact	V48 external resource comparator matrix	yes
knowledge_external/catalogs/records/	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	input_to_artifact	V48 source-domain review	pattern_or_directory
scripts/v48_source_domain_review_freshness_linter.py	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	freshness_control_for_artifact	V48 source-domain review	yes
knowledge_external/catalogs/records/	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	input_to_artifact	V48 source-terms coverage	pattern_or_directory
scripts/v48_source_terms_coverage_freshness_linter.py	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	freshness_control_for_artifact	V48 source-terms coverage	yes
