artifact	output	output_exists	n_inputs	n_controls	inputs	controls	boundary
V48 convergence/contradiction matrix	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	yes	2	4	knowledge_external/catalogs/records/;docs/reports/FINDINGS_REPORT_V37.md	scripts/v48_convergence_matrix_coverage_linter.py;scripts/v48_convergence_status_vocabulary_linter.py;scripts/v48_support_contradiction_coverage_linter.py;scripts/v48_project_finding_reference_linter.py	relationship classification only; external agreement is context and project artifacts remain evidence
V48 relationship-matrix data dictionary	knowledge_external/catalogs/indexes/V48_RELATIONSHIP_MATRIX_DATA_DICTIONARY.md	yes	2	1	knowledge_external/synthesis/convergence_contradiction_v48.tsv;scripts/v48_convergence_status_vocabulary_linter.py	scripts/v48_relationship_matrix_data_dictionary_freshness_linter.py	synthesis/navigation only
V48 future-grounding queue	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	yes	1	2	knowledge_external/synthesis/convergence_contradiction_v48.tsv	scripts/v48_future_grounding_queue_freshness_linter.py;scripts/v47_external_verifiable_intake_linter.py	queued tasks are not findings
V48 decision-relevant convergence shortlist	knowledge_external/synthesis/DECISION_RELEVANT_CONVERGENCES_V48.md	yes	1	1	knowledge_external/synthesis/convergence_contradiction_v48.tsv	scripts/v48_decision_relevant_convergence_freshness_linter.py	navigation shortlist only; no score or rule change
V48 convergence source-independence matrix	knowledge_external/synthesis/CONVERGENCE_SOURCE_INDEPENDENCE_V48.md	yes	2	1	knowledge_external/synthesis/convergence_contradiction_v48.tsv;knowledge_external/catalogs/records/	scripts/v48_convergence_source_independence_freshness_linter.py	independence accounting only; prevents overcounting same-source corroboration
V48 source-domain independence rollup	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_INDEPENDENCE_ROLLUP_V48.md	yes	1	1	knowledge_external/synthesis/convergence_source_independence_v48.tsv	scripts/v48_source_domain_independence_freshness_linter.py	source-domain accounting only
V48 convergence/contradiction executive card	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_EXECUTIVE_CARD_V48.md	yes	4	1	knowledge_external/catalogs/indexes/convergence_contradiction_v48_summary.json;knowledge_external/catalogs/indexes/convergence_source_independence_v48_summary.json;knowledge_external/catalogs/indexes/v37_external_coverage_gap_priority_v48_summary.json;analysis/v48_governance_preflight/v48_governance_preflight_summary.json	scripts/v48_convergence_executive_card_freshness_linter.py	handoff/navigation only
V48 external layer reader brief	knowledge_external/EXTERNAL_LAYER_READER_BRIEF_V48.md	yes	4	1	docs/knowledge/EPISTEMIC_CLASSES.md;knowledge_external/INDEX.md;knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md;knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	scripts/v48_external_layer_reader_brief_freshness_linter.py	synthesis/navigation only
V48 AI Core tooling-health card	knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md	yes	2	1	scripts/sap_ai_core_client.py;meta/V48_QUEUE.md	scripts/v48_ai_core_tooling_health_freshness_linter.py	synthesis/navigation only
V48 model-lens usage boundary	knowledge_external/catalogs/indexes/V48_MODEL_LENS_USAGE_BOUNDARY.md	yes	2	1	knowledge_external/catalogs/indexes/V48_AI_CORE_TOOLING_HEALTH.md;scripts/sap_ai_core_client.py	scripts/v48_model_lens_usage_boundary_freshness_linter.py	governance/navigation only
