access_tier	record_id	resource_name	epistemic_class	relationship_to_project_findings	not_project_grounded_marker	source_label	source_url	project_use	path
open	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	ArrayExpress in BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ArrayExpress in BioStudies page	https://www.ebi.ac.uk/arrayexpress/	Alternative transcriptomic cohort discovery source beyond GEO.	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
open	resource.biostudies.database.2026-06-13	BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMBL-EBI BioStudies team page	https://www.ebi.ac.uk/about/teams/biostudies/	Supplement and study-package discovery for MS datasets.	knowledge_external/catalogs/resources/biostudies_database.json
open	resource.clinicaltrials_gov.2026-06-13	ClinicalTrials.gov	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ClinicalTrials.gov home page	https://clinicaltrials.gov/	MS intervention/trial landscape navigation and potential cohort-source discovery.	knowledge_external/catalogs/resources/clinicaltrials_gov.json
open	resource.dailymed.drug_labels.2026-06-13	DailyMed	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed home page	https://dailymed.nlm.nih.gov/	Open drug-label acquisition route for MS DMT regulatory and mechanism context.	knowledge_external/catalogs/resources/dailymed_drug_labels.json
mixed	resource.disgenet.platform.2026-06-13	DISGENET	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DISGENET home page	https://disgenet.com/	Competitor/source cataloging and future hypothesis queueing.	knowledge_external/catalogs/resources/disgenet_platform.json
open	resource.dryad.repository.2026-06-13	Dryad	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Dryad home page	https://datadryad.org/	General research-data discovery route for publication-linked MS datasets.	knowledge_external/catalogs/resources/dryad_repository.json
controlled	resource.ega.controlled_genomics.2026-06-13	European Genome-phenome Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EGA home page	https://ega-archive.org/	Controlled-access genetics/phenotype data discovery and acquisition route mapping.	knowledge_external/catalogs/resources/ega_controlled_genomics.json
open	resource.ema.medicines_database.2026-06-13	EMA Medicines	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMA medicines portal	https://www.ema.europa.eu/en/medicines	European regulatory medicine reference source for MS DMT labels, indications, and assessment context.	knowledge_external/catalogs/resources/ema_medicines_database.json
open	resource.ena.sequence_archive.2026-06-13	European Nucleotide Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ENA Browser	https://www.ebi.ac.uk/ena/browser/	European sequence-read acquisition route for public expression/genomics datasets.	knowledge_external/catalogs/resources/ena_sequence_archive.json
open	resource.europe_pmc.literature.2026-06-13	Europe PMC	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Europe PMC home page	https://europepmc.org/	Published-paper and supplement mining for MS cohorts and prior-art context.	knowledge_external/catalogs/resources/europe_pmc_literature.json
open	resource.fda.fdalabel_drug_labeling.2026-06-13	FDA FDALabel	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	FDA FDALabel overview	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	Regulatory drug-label source for future MS DMT mechanism, indication, safety, and label-version context.	knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json
mixed	resource.figshare.repository.2026-06-13	Figshare	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Figshare about page	https://info.figshare.com/about/	Supplementary-data discovery route for papers and datasets not deposited in GEO/ENA/EGA.	knowledge_external/catalogs/resources/figshare_repository.json
open	resource.geo.functional_genomics.2026-06-13	NCBI Gene Expression Omnibus	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NCBI GEO home page	https://www.ncbi.nlm.nih.gov/geo/	Primary public transcriptomic cohort discovery source.	knowledge_external/catalogs/resources/geo_functional_genomics.json
open	resource.gwas_catalog.ms.2026-06-13	NHGRI-EBI GWAS Catalog	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	GWAS Catalog home page	https://www.ebi.ac.uk/gwas/	Competitor/source cataloging and genetics prior-art navigation.	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
mixed	resource.imsgc.publications.2026-06-13	International Multiple Sclerosis Genetics Consortium	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	IMSGC publications page	https://imsgc.net/publications/	Competitor/source cataloging and genetics prior-art context.	knowledge_external/catalogs/resources/imsgc_publications.json
