artifact	path	boundary	purpose	failure_mode_prevented	control_status	summary
External claim-length safety linter	scripts/v48_external_claim_length_linter.py	copyright/provenance hygiene control	Prevents oversized external claim summaries or excerpt-like fields from entering external records.	external summaries become oversized copied source passages	PASS	analysis/v48_external_claim_length_linter/external_claim_length_lint_summary.json
External synthesis dependency freshness linter	scripts/v48_external_synthesis_dependency_freshness_linter.py	dependency/navigation control	Ensures the external synthesis dependency graph matches current generator-declared artifacts, inputs, controls, and counts.	artifact dependency maps drift from current generated outputs, inputs, or controls	PASS	analysis/v48_external_synthesis_dependency_freshness_linter/external_synthesis_dependency_freshness_lint_summary.json
V48 source-domain review	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md	domain maintenance only	Domain classification for access and terms maintenance.	domain classifications are overread as source-validity claims	PASS	knowledge_external/catalogs/indexes/source_domain_review_v48_summary.json
Source-domain independence freshness linter	scripts/v48_source_domain_independence_freshness_linter.py	domain relationship control	Ensures the source-domain independence rollup matches the current row-level source-independence matrix.	source-domain relationship rollups drift from records or matrix rows	PASS	analysis/v48_source_domain_independence_freshness_linter/source_domain_independence_freshness_lint_summary.json
Source-domain relationship freshness linter	scripts/v48_source_domain_relationship_freshness_linter.py	domain relationship control	Ensures the source-domain relationship rollup matches current external records and V48 matrix rows.	source-domain relationship rollups drift from records or matrix rows	PASS	analysis/v48_source_domain_relationship_freshness_linter/source_domain_relationship_freshness_lint_summary.json
Source-domain review freshness linter	scripts/v48_source_domain_review_freshness_linter.py	domain review control	Ensures the source-domain review matches current external records.	source-domain classifications become stale	PASS	analysis/v48_source_domain_review_freshness_linter/source_domain_review_freshness_lint_summary.json
V48 convergence/contradiction analysis	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md	external agreement is context; project artifacts remain evidence	Classed relationship analysis between selected grounded findings and external records.	external agreement is over-promoted into evidence	PASS	knowledge_external/catalogs/indexes/convergence_contradiction_v48_summary.json
V48 external resource comparator matrix	knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md	external resource metadata only	External resource coverage, access tier, and unique gap matrix.	resource catalog facts are overread as biological findings	PASS	knowledge_external/catalogs/indexes/external_resource_comparator_matrix_v48_summary.json
Contradiction readiness freshness linter	scripts/v48_contradiction_readiness_freshness_linter.py	future-grounding control	Ensures contradiction readiness playbook counts and stages match the current matrix.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v48_contradiction_readiness_freshness_linter/contradiction_readiness_freshness_lint_summary.json
Contradiction surveillance freshness linter	scripts/v48_contradiction_surveillance_freshness_linter.py	future-grounding control	Ensures the contradiction surveillance checklist matches current matrix rows and high-priority sourcing plan rows.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v48_contradiction_surveillance_freshness_linter/contradiction_surveillance_freshness_lint_summary.json
Contradiction-intake linter	scripts/v48_contradiction_intake_linter.py	future-grounding control	Ensures future contradiction records remain queued for grounding.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v48_contradiction_intake_linter/contradiction_intake_lint_summary.json
External-verifiable intake linter	scripts/v47_external_verifiable_intake_linter.py	future-grounding control	Ensures future-groundable external claims remain queued, not findings.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v47_external_verifiable_intake_linter/external_verifiable_intake_lint_summary.json
Future-grounding queue freshness linter	scripts/v48_future_grounding_queue_freshness_linter.py	future-grounding control	Ensures matrix follow-up actions are represented in the future-grounding queue.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v48_future_grounding_queue_freshness_linter/future_grounding_queue_freshness_lint_summary.json
High-priority external sourcing plan freshness linter	scripts/v48_high_priority_external_sourcing_plan_freshness_linter.py	future-grounding control	Ensures the high-priority external sourcing plan matches current high-priority V37 coverage gaps.	external-verifiable ideas are treated as findings before grounding	PASS	analysis/v48_high_priority_external_sourcing_plan_freshness_linter/high_priority_external_sourcing_plan_freshness_lint_summary.json
High-priority source-search query freshness linter	scripts/v48_high_priority_source_search_query_freshness_linter.py	future-search control	Ensures the high-priority source-search query packet matches the current sourcing plan.	future search queries are mistaken for integrated external records, corroboration, or biological evidence	PASS	analysis/v48_high_priority_source_search_query_freshness_linter/high_priority_source_search_query_freshness_lint_summary.json
Governance failure-mode matrix freshness linter	scripts/v48_governance_failure_mode_freshness_linter.py	governance mapping control	Ensures the governance failure-mode matrix matches current governance navigation rows.	control-to-failure-mode explanations drift from current governance navigation	PASS	analysis/v48_governance_failure_mode_freshness_linter/governance_failure_mode_freshness_lint_summary.json
Preflight summary card freshness linter	scripts/v48_preflight_summary_card_freshness_linter.py	handoff/navigation control	Ensures the V48 preflight summary card matches current component summaries and command handoff.	handoff card drifts from current checks or commands	PASS	analysis/v48_preflight_summary_card_freshness_linter/preflight_summary_card_freshness_lint_summary.json
External Markdown index linter	scripts/v47_external_markdown_index_linter.py	markdown provenance control	Ensures generated external Markdown rows retain source locators.	generated Markdown drops source/provenance labels	PASS	analysis/v47_external_markdown_index_linter/external_markdown_index_lint_summary.json
Governance navigation freshness linter	scripts/v48_governance_navigation_freshness_linter.py	navigation control	Ensures governance navigation remains aligned with the current preflight suite.	public or operator navigation becomes stale and hides required artifacts	PASS	analysis/v48_governance_navigation_freshness_linter/governance_navigation_freshness_lint_summary.json
Public external index crosslink linter	scripts/v48_public_index_crosslink_linter.py	navigation control	Public external index link target freshness.	public or operator navigation becomes stale and hides required artifacts	PASS	analysis/v48_public_index_crosslink_linter/public_index_crosslink_lint_summary.json
Public external index freshness linter	scripts/v48_public_index_freshness_linter.py	navigation control	Ensures required V48 external artifacts are linked from the public external index.	public or operator navigation becomes stale and hides required artifacts	PASS	analysis/v48_public_index_freshness_linter/public_index_freshness_lint_summary.json
V48 future-grounding queue	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	queued tasks are not findings	Future tasks from convergence or insufficient-overlap rows.	future tasks are misread as established results	not_applicable	knowledge_external/synthesis/future_grounding_queue_v48_summary.json
Resource comparator freshness linter	scripts/v48_resource_comparator_freshness_linter.py	resource metadata control	Ensures the resource comparator matrix matches current external resource records.	resource comparator metadata drifts from source records	PASS	analysis/v48_resource_comparator_freshness_linter/resource_comparator_freshness_lint_summary.json
External record schema linter	scripts/v47_external_record_schema_linter.py	schema control	Required external-record fields and source/class markers.	external records lack mandatory source, class, marker, or relationship fields	PASS	analysis/v47_external_record_schema_linter/external_record_schema_lint_summary.json
External record uniqueness linter	scripts/v47_external_record_uniqueness_linter.py	schema control	Ensures external record IDs and paths remain unique.	external records lack mandatory source, class, marker, or relationship fields	PASS	analysis/v47_external_record_uniqueness_linter/external_record_uniqueness_lint_summary.json
V47 provenance gate	scripts/v47_provenance_gate.py	segregation control	Machine-enforced segregation of external knowledge from grounded trees.	external knowledge leaks into grounded trees or gains project-evidence authority	PASS	analysis/v47_provenance_gate/provenance_gate_summary.json
Source locator normalization linter	scripts/v48_source_locator_normalization_linter.py	source locator control	Source locator shape checks for external records.	source locators become malformed or non-normalized	PASS	analysis/v48_source_locator_normalization_linter/source_locator_normalization_lint_summary.json
Source URL duplicate freshness linter	scripts/v48_source_url_duplicate_freshness_linter.py	source maintenance control	Ensures the source URL duplicate review matches current external source records.	duplicate source URLs are mistaken for independent corroboration or left unreviewed	PASS	analysis/v48_source_url_duplicate_freshness_linter/source_url_duplicate_freshness_lint_summary.json
High-priority source-terms packet freshness linter	scripts/v48_high_priority_source_terms_packet_freshness_linter.py	source terms control	Ensures the high-priority packet matches current high-priority source_terms review rows.	source terms/reuse status is ambiguous or stale	PASS	analysis/v48_high_priority_source_terms_packet_freshness_linter/high_priority_source_terms_packet_freshness_lint_summary.json
Source-terms coverage freshness linter	scripts/v48_source_terms_coverage_freshness_linter.py	source terms control	Ensures the source-terms coverage report matches current external records.	source terms/reuse status is ambiguous or stale	PASS	analysis/v48_source_terms_coverage_freshness_linter/source_terms_coverage_freshness_lint_summary.json
Source-terms freshness linter	scripts/v48_source_terms_freshness_linter.py	source terms control	Checked-date freshness checks for optional source_terms objects.	source terms/reuse status is ambiguous or stale	PASS	analysis/v48_source_terms_freshness_linter/source_terms_freshness_lint_summary.json
Source-terms metadata linter	scripts/v48_source_terms_metadata_linter.py	source terms control	Completeness checks for optional source_terms objects.	source terms/reuse status is ambiguous or stale	PASS	analysis/v48_source_terms_metadata_linter/source_terms_metadata_lint_summary.json
V48 source-terms coverage	knowledge_external/catalogs/indexes/SOURCE_TERMS_COVERAGE_V48.md	source terms metadata only	Source-terms metadata coverage and conservative reuse-note map.	terms-review metadata is mistaken for reuse permission	not_applicable	knowledge_external/catalogs/indexes/source_terms_coverage_v48_summary.json
V37 external gap-priority freshness linter	scripts/v48_v37_gap_priority_freshness_linter.py	sourcing priority control	Ensures the V37 external coverage gap priority map matches current coverage and rationale inputs.	external sourcing priorities are mistaken for corroboration, contradiction, or biological evidence	PASS	analysis/v48_v37_gap_priority_freshness_linter/v37_gap_priority_freshness_lint_summary.json
Convergence executive-card freshness linter	scripts/v48_convergence_executive_card_freshness_linter.py	synthesis coverage control	Ensures the V48 convergence/contradiction executive card matches current relationship, independence, gap-priority, and preflight summaries.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_convergence_executive_card_freshness_linter/convergence_executive_card_freshness_lint_summary.json
Convergence matrix coverage linter	scripts/v48_convergence_matrix_coverage_linter.py	synthesis coverage control	Ensures priority grounded findings remain represented in the V48 matrix.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_convergence_matrix_coverage_linter/convergence_matrix_coverage_lint_summary.json
Convergence source-independence freshness linter	scripts/v48_convergence_source_independence_freshness_linter.py	synthesis coverage control	Ensures source-independence accounting matches current V48 convergence matrix rows.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_convergence_source_independence_freshness_linter/convergence_source_independence_freshness_lint_summary.json
Decision-relevant convergence freshness linter	scripts/v48_decision_relevant_convergence_freshness_linter.py	synthesis coverage control	Ensures the decision-relevant convergence shortlist matches current converges/contradicts matrix rows.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_decision_relevant_convergence_freshness_linter/decision_relevant_convergence_freshness_lint_summary.json
Support/contradiction coverage linter	scripts/v48_support_contradiction_coverage_linter.py	synthesis coverage control	Ensures support/contradiction records appear in the V48 matrix.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_support_contradiction_coverage_linter/support_contradiction_coverage_lint_summary.json
V37 external-coverage freshness linter	scripts/v48_v37_coverage_freshness_linter.py	synthesis coverage control	Ensures the V37 scored-finding coverage map matches current V37 scores and V48 matrix rows.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_v37_coverage_freshness_linter/v37_coverage_freshness_lint_summary.json
V37 uncovered-rationale freshness linter	scripts/v48_v37_uncovered_rationale_freshness_linter.py	synthesis coverage control	Ensures the V37 uncovered-finding rationale table matches the current coverage map.	convergence/contradiction rows fall out of sync with grounded findings or source records	PASS	analysis/v48_v37_uncovered_rationale_freshness_linter/v37_uncovered_rationale_freshness_lint_summary.json
Project-finding reference linter	scripts/v48_project_finding_reference_linter.py	synthesis reference control	Checks external support/contradiction records point to existing project finding artifacts.	external support/contradiction records point to missing grounded artifacts	PASS	analysis/v48_project_finding_reference_linter/project_finding_reference_lint_summary.json
Source URL reachability checker	scripts/v47_source_url_reachability_checker.py	transport maintenance only	Records transport-level URL status for external source locators; not included in deterministic preflight because third-party network status can change.	source URLs rot or redirect without being visible to maintainers	PASS	knowledge_external/catalogs/indexes/external_source_url_reachability_summary.json
Convergence status vocabulary linter	scripts/v48_convergence_status_vocabulary_linter.py	vocabulary control	Checks controlled relationship/status vocabulary in the V48 matrix.	relationship/status values drift into ambiguous uncontrolled labels	PASS	analysis/v48_convergence_status_vocabulary_linter/convergence_status_vocabulary_lint_summary.json
Relationship vocabulary linter	scripts/v47_relationship_vocabulary_linter.py	vocabulary control	Allowed relationship vocabulary for external records.	relationship/status values drift into ambiguous uncontrolled labels	PASS	analysis/v47_relationship_vocabulary_linter/relationship_vocabulary_lint_summary.json
