resource_id	resource_name	category	category_label	coverage	access_tier	epistemic_class	not_project_grounded_marker	source	unique_gap_filled	repo_unique_position	future_grounding_route	path
resource.arrayexpress_biostudies.functional_genomics.2026-06-13	ArrayExpress in BioStudies	functional_genomics_archives	Functional genomics archives	functional genomics study discovery and data access	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ebi.ac.uk/arrayexpress/	EMBL-EBI functional-genomics study records with sample annotations, protocols, processed data, and sequence-read links.	This repo interprets selected transcriptomic datasets under locked rules; archives are broader sources of raw/processed data but not a synthesized MS evidence corpus.	Candidate ArrayExpress/BioStudies studies can be downloaded or linked through ENA, hashed, checked for labels/timepoints/module genes, and then processed by project scripts before use.	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
resource.biostudies.database.2026-06-13	BioStudies	functional_genomics_archives	Functional genomics archives	functional genomics study discovery and data access	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ebi.ac.uk/about/teams/biostudies/	Study-level containers and supplementary/orphan biological data linked to publications and community repositories.	This repo interprets selected transcriptomic datasets under locked rules; archives are broader sources of raw/processed data but not a synthesized MS evidence corpus.	Specific BioStudies records can be queued for acquisition and processed only after files, metadata, and licenses are inspected and hashed.	knowledge_external/catalogs/resources/biostudies_database.json
resource.clinicaltrials_gov.2026-06-13	ClinicalTrials.gov	clinical_trials_registry	Clinical trials registry	trial registry and result discovery	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://clinicaltrials.gov/	Registry/result records for ongoing and completed clinical studies, including MS drug and biomarker studies.	This repo adds preregistered biomarker validation mechanics; trial registries provide study/result metadata rather than rerunnable omics analysis.	Trial records can seed acquisition or mechanistic context, but trial claims require protocol/result inspection and cannot alter project findings without grounding.	knowledge_external/catalogs/resources/clinicaltrials_gov.json
resource.dailymed.drug_labels.2026-06-13	DailyMed	dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	drug-label, DMT, or regulatory context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://dailymed.nlm.nih.gov/	Current FDA-submitted drug labeling searchable and downloadable outside the repository's grounded data artifacts.	This repo is not a regulatory-label database; drug references contextualize mechanisms and indications but do not validate project response scores.	Specific DailyMed labels can be downloaded and hashed as versioned external inputs if future DMT mechanism or safety context needs grounding.	knowledge_external/catalogs/resources/dailymed_drug_labels.json
resource.disgenet.platform.2026-06-13	DISGENET	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	mixed	external-unverifiable	NOT_PROJECT_GROUNDED	https://disgenet.com/	Disease-genomics/gene-disease association knowledgebase integrating curated and text-mined evidence.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific DISGENET MS gene-disease associations can be queued as external-verifiable hypotheses and tested against project-held genetics/transcriptomics before use.	knowledge_external/catalogs/resources/disgenet_platform.json
resource.dryad.repository.2026-06-13	Dryad	general_research_repositories	General research repositories	general research artifact repository discovery	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://datadryad.org/	Curated publication-linked research datasets with preservation/reuse focus outside specialist biomedical archives.	This repo is a curated grounded analysis corpus; general repositories may host relevant artifacts but do not provide project-level synthesis or validation gates.	Dryad datasets can be queued for intake only after license, file manifest, metadata, and biological relevance are verified by project scripts.	knowledge_external/catalogs/resources/dryad_repository.json
resource.ega.controlled_genomics.2026-06-13	European Genome-phenome Archive	genetics_and_target_knowledge	Genetics and target knowledge	genetics, target, or disease-gene knowledge	controlled	external-unverifiable	NOT_PROJECT_GROUNDED	https://ega-archive.org/	Controlled-access personally identifiable genetic, phenotypic, and clinical datasets not available in this public repository.	This repo adds direction-matched genetics/eQTL/coloc interpretation and kill records; external target resources are broader but not equivalent to project-grounded findings.	Specific EGA studies require access approval; only after approved download, hashing, and project preprocessing can they become grounded inputs.	knowledge_external/catalogs/resources/ega_controlled_genomics.json
resource.ema.medicines_database.2026-06-13	EMA Medicines	dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	drug-label, DMT, or regulatory context	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ema.europa.eu/en/medicines	European regulatory medicine records and assessment documents outside the project-held computational corpus.	This repo is not a regulatory-label database; drug references contextualize mechanisms and indications but do not validate project response scores.	Specific EMA EPAR or medicines-data records can be downloaded, versioned, and compared against project drug-mechanism fields in a future grounded workup.	knowledge_external/catalogs/resources/ema_medicines_database.json
resource.ena.sequence_archive.2026-06-13	European Nucleotide Archive	sequence_archives	Sequence archives	raw sequence archive discovery	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://www.ebi.ac.uk/ena/browser/	European raw sequencing accessions and metadata linked from EMBL-EBI study records.	This repo generally does not store all raw reads; sequence archives are data sources that still need project-specific ingestion and grounding.	ENA accessions linked from BioStudies/ArrayExpress or papers can be downloaded, hashed, and processed only after metadata and use terms are checked.	knowledge_external/catalogs/resources/ena_sequence_archive.json
resource.europe_pmc.literature.2026-06-13	Europe PMC	literature_and_publication_mining	Literature and publication mining	literature discovery and paper/supplement mining	open	external-unverifiable	NOT_PROJECT_GROUNDED	https://europepmc.org/	Free literature search with full-text mining routes useful for data-availability statement discovery.	This repo adds grounded rerunnable synthesis over selected MS analyses; literature tools are broader but do not rerun this project's evidence gate.	Europe PMC search hits can be used to identify data-availability statements and queued dataset leads; any scientific claim still requires project grounding or explicit external labeling.	knowledge_external/catalogs/resources/europe_pmc_literature.json
