boundary	n_controls	failure_mode_prevented	allowed_use	forbidden_use	example_artifacts	example_paths
copyright/provenance hygiene control	1	external summaries become oversized copied source passages	Use as an automated governance control for the named boundary: copyright/provenance hygiene control.	Do not allow the controlled artifact to create this failure mode: external summaries become oversized copied source passages.	External claim-length safety linter	scripts/v48_external_claim_length_linter.py
dependency/navigation control	1	artifact dependency maps drift from current generated outputs, inputs, or controls	Use as an automated governance control for the named boundary: dependency/navigation control.	Do not allow the controlled artifact to create this failure mode: artifact dependency maps drift from current generated outputs, inputs, or controls.	External synthesis dependency freshness linter	scripts/v48_external_synthesis_dependency_freshness_linter.py
domain maintenance only	1	domain classifications are overread as source-validity claims	Use for source-domain classification and maintenance routing.	Do not allow the controlled artifact to create this failure mode: domain classifications are overread as source-validity claims.	V48 source-domain review	knowledge_external/catalogs/indexes/SOURCE_DOMAIN_REVIEW_V48.md
domain relationship control	2	source-domain relationship rollups drift from records or matrix rows	Use as an automated governance control for the named boundary: domain relationship control.	Do not allow the controlled artifact to create this failure mode: source-domain relationship rollups drift from records or matrix rows.	Source-domain independence freshness linter; Source-domain relationship freshness linter	scripts/v48_source_domain_independence_freshness_linter.py; scripts/v48_source_domain_relationship_freshness_linter.py
domain review control	1	source-domain classifications become stale	Use as an automated governance control for the named boundary: domain review control.	Do not allow the controlled artifact to create this failure mode: source-domain classifications become stale.	Source-domain review freshness linter	scripts/v48_source_domain_review_freshness_linter.py
external agreement is context; project artifacts remain evidence	1	external agreement is over-promoted into evidence	Use to label relationship analyses where external agreement can corroborate context but the grounded project artifact remains the evidence source.	Do not allow the controlled artifact to create this failure mode: external agreement is over-promoted into evidence.	V48 convergence/contradiction analysis	knowledge_external/synthesis/CONVERGENCE_CONTRADICTION_V48.md
external resource metadata only	1	resource catalog facts are overread as biological findings	Use for cataloging what a resource offers, its access tier, and repository-coverage gaps.	Do not allow the controlled artifact to create this failure mode: resource catalog facts are overread as biological findings.	V48 external resource comparator matrix	knowledge_external/catalogs/indexes/EXTERNAL_RESOURCE_COMPARATOR_MATRIX_V48.md
future-grounding control	6	external-verifiable ideas are treated as findings before grounding	Use as an automated governance control for the named boundary: future-grounding control.	Do not allow the controlled artifact to create this failure mode: external-verifiable ideas are treated as findings before grounding.	Contradiction readiness freshness linter; Contradiction surveillance freshness linter; Contradiction-intake linter; External-verifiable intake linter; Future-grounding queue freshness linter	scripts/v47_external_verifiable_intake_linter.py; scripts/v48_contradiction_intake_linter.py; scripts/v48_contradiction_readiness_freshness_linter.py; scripts/v48_contradiction_surveillance_freshness_linter.py; scripts/v48_future_grounding_queue_freshness_linter.py
future-search control	33	future search queries are mistaken for integrated external records, corroboration, or biological evidence	Use as an automated governance control for the named boundary: future-search control.	Do not allow the controlled artifact to create this failure mode: future search queries are mistaken for integrated external records, corroboration, or biological evidence.	Contradiction triage mini-template; Contradiction triage mini-template freshness linter; External intake one-page checklist; External intake one-page checklist freshness linter; High-priority source intake checklist	knowledge_external/templates/CONTRADICTION_TRIAGE_MINI_TEMPLATE_V48.md; knowledge_external/templates/EXTERNAL_INTAKE_ONE_PAGE_CHECKLIST_V48.md; knowledge_external/templates/HIGH_PRIORITY_SOURCE_INTAKE_CHECKLIST_V48.md; knowledge_external/templates/PARKED_SOURCE_FUTURE_GROUNDING_HANDOFF_V48.md; knowledge_external/templates/PARKED_SOURCE_RELEASE_CHECKLIST_V48.md
governance mapping control	1	control-to-failure-mode explanations drift from current governance navigation	Use as an automated governance control for the named boundary: governance mapping control.	Do not allow the controlled artifact to create this failure mode: control-to-failure-mode explanations drift from current governance navigation.	Governance failure-mode matrix freshness linter	scripts/v48_governance_failure_mode_freshness_linter.py
governance/navigation only	4	governance summary cards are overread as evidence or source validation	Use as metadata or navigation only for the named boundary: governance/navigation only.	Do not allow the controlled artifact to create this failure mode: governance summary cards are overread as evidence or source validation.	Active-time accounting audit card; Active-time accounting audit card freshness linter; Source-intake controls coverage card; Source-intake controls coverage card freshness linter	knowledge_external/catalogs/indexes/V48_ACTIVE_TIME_ACCOUNTING_AUDIT.md; knowledge_external/catalogs/indexes/V48_SOURCE_INTAKE_CONTROLS_COVERAGE.md; scripts/v48_active_time_accounting_audit_freshness_linter.py; scripts/v48_source_intake_controls_coverage_freshness_linter.py
handoff/navigation control	2	handoff card drifts from current checks or commands	Use as an automated governance control for the named boundary: handoff/navigation control.	Do not allow the controlled artifact to create this failure mode: handoff card drifts from current checks or commands.	Preflight summary card freshness linter; Unresolved external coverage handoff freshness linter	scripts/v48_preflight_summary_card_freshness_linter.py; scripts/v48_unresolved_external_coverage_handoff_freshness_linter.py
markdown provenance control	1	generated Markdown drops source/provenance labels	Use as an automated governance control for the named boundary: markdown provenance control.	Do not allow the controlled artifact to create this failure mode: generated Markdown drops source/provenance labels.	External Markdown index linter	scripts/v47_external_markdown_index_linter.py
