priority	record_id	record_type	epistemic_class	source_domain	review_class	source_url	terms_review_reason	recommended_next_step
high	resource.disgenet.platform.2026-06-13	external_resource_catalog	external-unverifiable	disgenet.com	mixed_commercial_or_registration_access	https://disgenet.com/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	external-unverifiable	ega-archive.org	controlled_access_biomedical_archive	https://ega-archive.org/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.europe_pmc.literature.2026-06-13	external_resource_catalog	external-unverifiable	europepmc.org	manual_review_domain	https://europepmc.org/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.imsgc.publications.2026-06-13	external_resource_catalog	external-unverifiable	imsgc.net	manual_review_domain	https://imsgc.net/publications/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.msda.catalogue.2026-06-13	external_resource_catalog	external-unverifiable	msda.emif-catalogue.eu	registration_or_catalog_access	https://msda.emif-catalogue.eu/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.msbase.registry.2026-06-13	external_resource_catalog	external-unverifiable	www.msbase.org	application_or_registry_access	https://www.msbase.org/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	resource.narcoms.registry.2026-06-13	external_resource_catalog	external-unverifiable	www.narcoms.org	application_or_registry_access	https://www.narcoms.org/	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external_claim	external-unverifiable	www.nature.com	publisher_literature	https://www.nature.com/articles/s41467-021-25768-0	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
high	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external_claim	external-unverifiable	www.nature.com	publisher_literature	https://www.nature.com/articles/s41467-021-25768-0	controlled/commercial/manual/publisher terms can materially constrain reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.zenodo.repository.2026-06-13	external_resource_catalog	external-unverifiable	about.zenodo.org	public_repository	https://about.zenodo.org/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	external-unverifiable	clinicaltrials.gov	public_clinical_registry	https://clinicaltrials.gov/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.dryad.repository.2026-06-13	external_resource_catalog	external-unverifiable	datadryad.org	public_repository	https://datadryad.org/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.figshare.repository.2026-06-13	external_resource_catalog	external-unverifiable	info.figshare.com	repository_platform	https://info.figshare.com/about/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.msgd.database_commons.2026-06-13	external_resource_catalog	external-unverifiable	ngdc.cncb.ac.cn	public_database_catalog	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	resource.open_targets.platform.2026-06-13	external_resource_catalog	external-unverifiable	platform-docs.opentargets.org	public_target_platform_docs	https://platform-docs.opentargets.org/	public source but terms should be checked before data/text reuse	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	external_claim	external-unverifiable	pmc.ncbi.nlm.nih.gov	missing_review_class	https://pmc.ncbi.nlm.nih.gov/articles/PMC6396336/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	external_claim	external-unverifiable	pmc.ncbi.nlm.nih.gov	missing_review_class	https://pmc.ncbi.nlm.nih.gov/articles/PMC9152176/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
medium	claim.nature.ms_ibd_gpr25_context.2026-06-14	external_claim	external-unverifiable	pmc.ncbi.nlm.nih.gov	missing_review_class	https://pmc.ncbi.nlm.nih.gov/articles/PMC8463615/	claim-level source should keep citation and reuse caveats explicit	Check source terms URL and add conservative source_terms metadata, or leave missing_optional if terms cannot be stated safely.
