path	record_id	record_type	epistemic_class	not_project_grounded_marker	source_label	source_url	source_domain	source_terms_status	license_or_terms_label	terms_url	terms_domain	checked_date	redistribution_allowed	reuse_notes
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	ArrayExpress in BioStudies page	https://www.ebi.ac.uk/arrayexpress/	www.ebi.ac.uk	missing_optional						
knowledge_external/catalogs/resources/biostudies_database.json	resource.biostudies.database.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	EMBL-EBI BioStudies team page	https://www.ebi.ac.uk/about/teams/biostudies/	www.ebi.ac.uk	missing_optional						
knowledge_external/catalogs/resources/clinicaltrials_gov.json	resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	ClinicalTrials.gov home page	https://clinicaltrials.gov/	clinicaltrials.gov	missing_optional						
knowledge_external/catalogs/resources/dailymed_drug_labels.json	resource.dailymed.drug_labels.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	DailyMed home page	https://dailymed.nlm.nih.gov/	dailymed.nlm.nih.gov	present	DailyMed/NLM drug-label resource terms; label-source caveat	https://dailymed.nlm.nih.gov/dailymed/about-dailymed.cfm	dailymed.nlm.nih.gov	2026-06-14	metadata_only	Catalog metadata only; individual labels should be versioned and checked before reuse because label contents are submitted/regulatory documents and can change.
knowledge_external/catalogs/resources/disgenet_platform.json	resource.disgenet.platform.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	DISGENET home page	https://disgenet.com/	disgenet.com	missing_optional						
knowledge_external/catalogs/resources/dryad_repository.json	resource.dryad.repository.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	Dryad home page	https://datadryad.org/	datadryad.org	missing_optional						
knowledge_external/catalogs/resources/ega_controlled_genomics.json	resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	EGA home page	https://ega-archive.org/	ega-archive.org	missing_optional						
knowledge_external/catalogs/resources/ema_medicines_database.json	resource.ema.medicines_database.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	EMA medicines portal	https://www.ema.europa.eu/en/medicines	www.ema.europa.eu	missing_optional						
knowledge_external/catalogs/resources/ena_sequence_archive.json	resource.ena.sequence_archive.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	ENA Browser	https://www.ebi.ac.uk/ena/browser/	www.ebi.ac.uk	missing_optional						
knowledge_external/catalogs/resources/europe_pmc_literature.json	resource.europe_pmc.literature.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	Europe PMC home page	https://europepmc.org/	europepmc.org	missing_optional						
knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json	resource.fda.fdalabel_drug_labeling.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	FDA FDALabel overview	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	www.fda.gov	present	FDA website policies: public-domain US government content unless otherwise noted	https://www.fda.gov/about-fda/about-website/website-policies	www.fda.gov	2026-06-14	metadata_only	Catalog metadata only; specific labels should still be downloaded, versioned, and checked because regulatory label text and linked third-party materials can change.
knowledge_external/catalogs/resources/figshare_repository.json	resource.figshare.repository.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	Figshare about page	https://info.figshare.com/about/	info.figshare.com	missing_optional						
knowledge_external/catalogs/resources/geo_functional_genomics.json	resource.geo.functional_genomics.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	NCBI GEO home page	https://www.ncbi.nlm.nih.gov/geo/	www.ncbi.nlm.nih.gov	present	NCBI website/data usage policy with submitter-rights caveat	https://www.ncbi.nlm.nih.gov/home/about/policies/	www.ncbi.nlm.nih.gov	2026-06-14	metadata_only	Catalog metadata only; NCBI policies say molecular data are not restricted by NCBI, but the project must check submitter/dataset terms before redistributing files or derived data.
knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json	resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	GWAS Catalog home page	https://www.ebi.ac.uk/gwas/	www.ebi.ac.uk	missing_optional						
knowledge_external/catalogs/resources/imsgc_publications.json	resource.imsgc.publications.2026-06-13	external_resource_catalog	external-unverifiable	NOT_PROJECT_GROUNDED	IMSGC publications page	https://imsgc.net/publications/	imsgc.net	missing_optional						
