rank	item	source_type_needed	query_targets	check_order	check_id	acceptance_criteria	forbidden_shortcut	required_before_matrix_entry	boundary
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	1	source_locator_recorded	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	2	source_terms_reviewed	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	3	source_snapshot_or_access_date_recorded	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	4	epistemic_class_assigned	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	5	not_project_grounded_marker_present	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	6	same_definition_overlap_reviewed	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	7	forbidden_shortcut_checked	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	8	relationship_matrix_candidate_prepared	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	9	future_grounding_route_recorded_if_verifiable	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
2	UC genetics vs treatment-response layer split	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress;PubMed/EuropePMC	1	source_locator_recorded	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	yes	intake checklist only; a checked source is still external until separately grounded
