gene	association_id	accession_id	reported_trait	efo_traits	p_value	locations	mapped_genes	pubmed_id	first_author	source_url
SLC15A4	105701246	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	1e-12	12:128797293	SLC15A4	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105701246
SLC15A4	105700907	GCST90270940	Systemic lupus erythematosus (MTAG)	systemic lupus erythematosus	2e-22	12:128816149	SLC15A4	36750564	Khunsriraksakul C	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/105700907
SLC15A4	92481684	GCST90020042	Systemic lupus erythematosus	systemic lupus erythematosus	5e-08	12:128814840	SLC15A4	34076728	Zhang YM	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/92481684
SLC15A4	81143702	GCST011956	Systemic lupus erythematosus	systemic lupus erythematosus	2e-30	12:128811558	SLC15A4	33272962	Yin X	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/81143702
SLC15A4	62401680	GCST011426	Systemic lupus erythematosus	systemic lupus erythematosus	8e-08	12:128816149	SLC15A4	32771030	Tangtanatakul P	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62401680
SLC15A4	62284966	GCST005752	Systemic lupus erythematosus	systemic lupus erythematosus	7.000000000000001e-10	12:128794319	SLC15A4	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62284966
SLC15A4	62284571	GCST007400	Systemic lupus erythematosus	systemic lupus erythematosus	2e-08	12:128809788	SLC15A4	28714469	Langefeld CD	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/62284571
SLC15A4	24346701	GCST004867	Systemic lupus erythematosus	systemic lupus erythematosus	7e-06	12:128790482	SLC15A4;TMEM132C	19838195	Gateva V	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/24346701
SLC15A4	17432932	GCST003622	Systemic lupus erythematosus	systemic lupus erythematosus	3e-06	12:128794319	SLC15A4	27399966	Morris DL	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17432932
SLC15A4	17359095	GCST003599	Systemic lupus erythematosus	systemic lupus erythematosus	2e-06	12:128794319	SLC15A4	26663301	Lessard CJ	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/17359095
SLC15A4	15801405	GCST003156	Systemic lupus erythematosus	systemic lupus erythematosus	8e-09	12:128804645	SLC15A4	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15801405
SLC15A4	15788015	GCST003155	Systemic lupus erythematosus	systemic lupus erythematosus	1e-13	12:128794319	SLC15A4	26502338	Bentham J	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/15788015
SLC15A4	26393	GCST001795	Systemic lupus erythematosus	systemic lupus erythematosus	8e-08	12:128816149	SLC15A4	23273568	Yang W	https://www.ebi.ac.uk/gwas/rest/api/v2/associations/26393
