path	record_id	relationship_to_project_findings	check	status	detail
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/findings/KILL_HYP_V6_006.md"", ""finding_id"": ""Mucosal IBD early IFN/APC downshift validates while baseline fallback fails""}"
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=1
knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md"", ""finding_id"": ""Tool-robust but simple V22 scalar""}"
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=1
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	Tool-robust but simple V22 scalar
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md"", ""finding_id"": ""First-principles druggability discipline changed target interpretation""}"
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=1
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	First-principles druggability discipline changed target interpretation
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/reports/FINDINGS_REPORT_V37.md"", ""finding_id"": ""MHC overlap is distinct-signal, not simple shared biology""}"
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=1
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	MHC overlap is distinct-signal, not simple shared biology
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/reports/FINDINGS_REPORT_V37.md"", ""finding_id"": ""Layer-specific autoimmune transfer-validity map""}"
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=2
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	Layer-specific autoimmune transfer-validity map
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	project_finding_reference_present	PASS	"{""artifact"": ""docs/reports/FINDINGS_REPORT_V37.md"", ""finding_id"": ""MS-UC is strongest tested genome-wide genetics comparator""}"
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	covered_by_v48_matrix_expected_relationship	PASS	expected_relationship_class=converges; rows=1
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	matrix_row_matches_project_finding_id	PASS	MS-UC is strongest tested genome-wide genetics comparator
