disease	axis_pair	rank	artifact_classification	biological_status	reasoning	next_test
ulcerative colitis	treatment_response_vs_tissue_repair	10	axis_nonindependence_high	downgraded_to_internal_treatment_dynamics_refinement	Both axes are intestinal mucosa and treatment perturbation, but hostile critique showed substantial evidence/feature/endpoint overlap. The row should not be treated as an independent supported disagreement.	Rebuild tissue-repair axis with independent endpoints such as histologic healing, epithelial restitution, barrier repair, or non-IFN repair modules before promoting.
ulcerative colitis	ifn_apc_vs_treatment_response	1	measurement_mismatch_reformulated_as_plasticity	biological_candidate_after_reformulation	IFN/APC axis is cross-sectional colon myeloid disease-state proximity; treatment axis mixes baseline failure and dynamic delta success. The disagreement dissolves if static level and plasticity are separated.	Separate baseline IFN/APC height from early delta in all IBD and MS treatment datasets.
ulcerative colitis	genetics_vs_treatment_response	6	causality_and_compartment_mismatch	unresolved_biological_candidate	Germline MS-UC proximity does not specify intestinal mucosal response architecture or baseline biomarker behavior. The disagreement is informative but not mechanistically resolved from current data.	Colocalize shared MS-UC loci with mucosal immune eQTL and test whether risk alleles affect IFN/APC plasticity rather than baseline level.
rheumatoid arthritis	treatment_response_vs_pregnancy	4	natural_experiment_measurement_mismatch	biological_candidate_needs_matched_data	Both are blood-level evidence but treatment perturbation and pregnancy natural experiment are different perturbations. RA may share MS hormonal remission biology while failing APC treatment-response transfer.	Test matched RA/MS pregnancy PBMC modules against treatment-response PBMC modules using the same IFN/APC and hormonal-resolution signatures.
rheumatoid arthritis	ifn_apc_vs_pregnancy	3	compartment_and_causality_mismatch	unresolved_biological_candidate	RA IFN/APC far placement comes from blood myeloid/APC cross-sectional data; pregnancy near placement comes from blood natural-experiment kinetics. This could be biology or measurement timing.	Test RA pregnancy time-course cell-type-resolved APC modules and compare with MS pregnancy/postpartum modules.
rheumatoid arthritis	tissue_repair_vs_pregnancy	5	compartment_and_causality_mismatch	unresolved_low_confidence	RA tissue-repair far placement is blood/synovium treatment perturbation, while pregnancy is blood natural experiment. The matrix metadata warns against biological attribution.	Use synovial pregnancy/remission or postpartum flare data if available; otherwise keep as unresolved.
Sjogren syndrome	ifn_apc_vs_lipid_lysosomal	2	compartment_celltype_mismatch	unresolved_biological_candidate	IFN/APC near evidence is salivary gland epithelial; lipid-lysosomal far evidence includes salivary APC/epithelial. Could reflect epithelial antigen-presentation activation without MS-like foamy myeloid state.	Re-score matched Sjogren salivary single-cell data by epithelial vs myeloid compartments for both modules.
Crohn disease	ifn_apc_vs_genetics	8	causality_and_compartment_mismatch	lower_priority_biological_candidate	Crohn is near MS in colon myeloid IFN/APC but only intermediate on germline genetics. This may reflect downstream convergent mucosal inflammation with weaker inherited sharing than UC.	Run MHC-excluded LDSC/local genetic correlation and mucosal eQTL colocalization.
Crohn disease	genetics_vs_treatment_response	9	causality_and_compartment_mismatch	lower_priority_biological_candidate	Crohn treatment-response dynamics are near MS/UC repair architecture, while genetics is intermediate. Same downstream-convergence explanation as IFN/APC vs genetics.	Test whether Crohn response-associated IFN/APC plasticity maps to shared MS-Crohn loci or is acquired/downstream.
Crohn disease	genetics_vs_tissue_repair	10	causality_and_compartment_mismatch	lower_priority_biological_candidate	Crohn repair dynamics are near, genetics intermediate. This suggests repair-response transfer may be valid even with weaker inherited-risk transfer.	Test repair-marker transfer in paired tissue cohorts and compare to shared genetic loci.
