disease	module	term	coef	se	p	n	r2
multiple sclerosis	hla_ii_only	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	-0.11002358501778173	0.316196624179542	0.7278706807091302	117	0.2162039030664098
multiple sclerosis	hla_ii_only	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.4445982818716112	0.3617239712370976	0.21903084451730448	117	0.2162039030664098
multiple sclerosis	hla_ii_only	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	-0.34754157238892514	0.4212459465943355	0.40935317202115684	117	0.2162039030664098
multiple sclerosis	hla_ii_only	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	-0.49394083950599244	0.29265728734213736	0.09145364989953213	117	0.2162039030664098
multiple sclerosis	ifn_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	0.06021938476719594	0.20731577085711975	0.7714553228938232	117	0.6353225097399104
multiple sclerosis	ifn_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.017374962876563163	0.19236625784377215	0.9280310996329894	117	0.6353225097399104
multiple sclerosis	ifn_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	0.07763195300970843	0.22764568745343644	0.7330877956715298	117	0.6353225097399104
multiple sclerosis	ifn_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	-0.09027650657963879	0.13577027112246923	0.5061010131724755	117	0.6353225097399104
multiple sclerosis	lysosomal_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	-0.21595923036526798	0.2621597522435544	0.4100704923928912	117	0.182908780672409
multiple sclerosis	lysosomal_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.2978089538116653	0.2575683179973229	0.24758592102635169	117	0.182908780672409
multiple sclerosis	lysosomal_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	-0.24020416106467155	0.3114276545000171	0.44052911115501847	117	0.182908780672409
multiple sclerosis	lysosomal_apc	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	-0.4286297199391819	0.22147518021374957	0.05294861749457755	117	0.182908780672409
multiple sclerosis	mif_cd74_receptor_state	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	-0.07826607164108251	0.22691114793617695	0.7301549169975531	117	0.16701950375354768
multiple sclerosis	mif_cd74_receptor_state	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.1723784920418889	0.23607927541323165	0.46528501562171354	117	0.16701950375354768
multiple sclerosis	mif_cd74_receptor_state	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	-0.13814738321710288	0.31101484177027516	0.6569105661962384	117	0.16701950375354768
multiple sclerosis	mif_cd74_receptor_state	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	-0.22313938452244758	0.20909505343623058	0.28589633708574114	117	0.16701950375354768
multiple sclerosis	monocyte_cd64	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	-0.04700478707771191	0.16487926363561728	0.7755781750816056	117	0.29810768656501896
multiple sclerosis	monocyte_cd64	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.05287219239080175	0.1633486717383264	0.7461826580300323	117	0.29810768656501896
multiple sclerosis	monocyte_cd64	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	0.02029605055814132	0.17356667349212898	0.9069114181685886	117	0.29810768656501896
multiple sclerosis	monocyte_cd64	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	-0.19125931334420765	0.12733066246037944	0.13307954844867537	117	0.29810768656501896
multiple sclerosis	regulatory_pregnancy	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	0.04433226174191908	0.11040499956628021	0.6880210062596398	117	0.4521471659814865
multiple sclerosis	regulatory_pregnancy	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	0.02329344793723287	0.12078222804734728	0.8470725842584134	117	0.4521471659814865
multiple sclerosis	regulatory_pregnancy	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	-0.08775342507681454	0.17448093569247897	0.6150065244970397	117	0.4521471659814865
multiple sclerosis	regulatory_pregnancy	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	0.04222575717650216	0.14009342013742823	0.7631007844822097	117	0.4521471659814865
multiple sclerosis	trafficking_th	C(timepoint, Treatment(reference='before pregnancy'))[T.1st trimester]	-0.047896408343394065	0.20608313378904455	0.8162172189960502	117	0.14262707762016846
multiple sclerosis	trafficking_th	C(timepoint, Treatment(reference='before pregnancy'))[T.2nd trimester]	-0.024471166327659208	0.19275836737132818	0.8989779539640905	117	0.14262707762016846
multiple sclerosis	trafficking_th	C(timepoint, Treatment(reference='before pregnancy'))[T.3rd trimester]	-0.21422054095881649	0.2541509792563139	0.39929167885854133	117	0.14262707762016846
multiple sclerosis	trafficking_th	C(timepoint, Treatment(reference='before pregnancy'))[T.postpartum]	0.1025975624501005	0.16461290665134323	0.5331099978193317	117	0.14262707762016846
