path	record_id	check	status	detail
knowledge_external/catalogs/resources/duplicate_resource_source_1.json	SYNTH_DUP_RESOURCE_SOURCE_1	record_id_unique	PASS	-
knowledge_external/catalogs/resources/duplicate_resource_source_1.json	SYNTH_DUP_RESOURCE_SOURCE_1	resource_source_locator_unique	FAIL	knowledge_external/catalogs/resources/duplicate_resource_source_1.json;knowledge_external/catalogs/resources/duplicate_resource_source_2.json
knowledge_external/catalogs/resources/duplicate_resource_source_2.json	SYNTH_DUP_RESOURCE_SOURCE_2	record_id_unique	PASS	-
knowledge_external/catalogs/resources/duplicate_resource_source_2.json	SYNTH_DUP_RESOURCE_SOURCE_2	resource_source_locator_unique	FAIL	knowledge_external/catalogs/resources/duplicate_resource_source_1.json;knowledge_external/catalogs/resources/duplicate_resource_source_2.json
knowledge_external/records/duplicate_claim_source_1.json	SYNTH_DUP_CLAIM_SOURCE_1	record_id_unique	PASS	-
knowledge_external/records/duplicate_claim_source_1.json	SYNTH_DUP_CLAIM_SOURCE_1	resource_source_locator_unique	PASS	claim-source reuse allowed
knowledge_external/records/duplicate_claim_source_2.json	SYNTH_DUP_CLAIM_SOURCE_2	record_id_unique	PASS	-
knowledge_external/records/duplicate_claim_source_2.json	SYNTH_DUP_CLAIM_SOURCE_2	resource_source_locator_unique	PASS	claim-source reuse allowed
knowledge_external/records/duplicate_id_1.json	SYNTH_DUP_ID	record_id_unique	FAIL	knowledge_external/records/duplicate_id_1.json;knowledge_external/records/duplicate_id_2.json
knowledge_external/records/duplicate_id_1.json	SYNTH_DUP_ID	resource_source_locator_unique	PASS	claim-source reuse allowed
knowledge_external/records/duplicate_id_2.json	SYNTH_DUP_ID	record_id_unique	FAIL	knowledge_external/records/duplicate_id_1.json;knowledge_external/records/duplicate_id_2.json
knowledge_external/records/duplicate_id_2.json	SYNTH_DUP_ID	resource_source_locator_unique	PASS	claim-source reuse allowed
knowledge_external/records/unique_a.json	SYNTH_UNIQUE_A	record_id_unique	PASS	-
knowledge_external/records/unique_a.json	SYNTH_UNIQUE_A	resource_source_locator_unique	PASS	claim-source reuse allowed
knowledge_external/records/unique_b.json	SYNTH_UNIQUE_B	record_id_unique	PASS	-
knowledge_external/records/unique_b.json	SYNTH_UNIQUE_B	resource_source_locator_unique	PASS	claim-source reuse allowed
