gene	axis	aliases	desired_direction	modality	delivery	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	broad_negative_diseases	broad_positive_fdr10_compartment_count	broad_top_positive_compartments	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	residual_gate_retained_positive_disease_count	residual_gate_non_ibd_retained_positive_disease_count	residual_gate_strict_core_surviving_disease_count	residual_gate_retained_diseases	residual_gate_top_retained_tests	residual_gate_retained_tests_from_detail	orchestrator_expr_trend_diseases	orchestrator_expr_negative_diseases	orchestrator_resid_state_support_diseases	orchestrator_expression_supporting_diseases	orchestrator_resid_supporting_diseases	wave18_call	wave18_reason	existing_positive_rows	existing_negative_rows	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_count_union	local_state_coupled_union
VSIR	VISTA/VSIR myeloid checkpoint	VISTA;B7-H5;PD-1H	agonize or enhance inhibitory VISTA signaling	agonist antibody/fusion protein concept; oncology programs mostly antagonize	systemic biologic; tissue-selective delivery not established	2	Sjogren syndrome;type 1 diabetes mellitus	1	Crohn disease	0	t1d_beta_cell:1.76,p=0.0022;sjogren_gland_epithelial:0.497,p=0.04					0	0	0				0	0	0					0	0	2	Sjogren syndrome;type 1 diabetes mellitus	0	
LILRB4	LILRB4/ILT3 inhibitory myeloid receptor	ILT3;CD85K	agonize inhibitory receptor on tolerogenic myeloid/APC cells	agonist antibody or ligand-mimetic concept; oncology programs mostly block/deplete	systemic biologic; myeloid selectivity possible but tissue delivery undeveloped	1	type 1 diabetes mellitus	0		0	t1d_ductal_cell:0.328,p=0.046	-0.0567093265778488	-0.0627677211582155	0.8864378306397437	0.9842134382901514	0	0	0				0	0	0					0	0	1	type 1 diabetes mellitus	0	
LAIR1	LAIR1 collagen/complement inhibitory receptor	CD305	agonize LAIR1 inhibitory signaling or restore receptor function	agonist antibody/fusion protein concept	systemic biologic; collagen-rich tissues raise off-tissue complexity	1	type 1 diabetes mellitus	2	Crohn disease;ulcerative colitis	0	t1d_ductal_cell:1.13,p=0.026;t1d_endothelial_cell:1.83,p=0.026	-0.2811215724373159	-0.715166644642748	0.1069140784882185	0.8989378106274888	0	0	0				0	0	0					0	0	1	type 1 diabetes mellitus	0	
CD200R1	CD200-CD200R inhibitory myeloid checkpoint	CD200R	agonize CD200R1 or provide CD200-like ligand signal	CD200-Fc/agonist antibody concept	systemic or mucosal biologic concept; local tissue route undeveloped	0		3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0.8754679036799504	0.3156445688581094	0.4636324457626696	0.9239963547089984	0	0	0				0	0	0					0	0	0		0	
SIGLEC10	CD24-SIGLEC10 DAMP/glycan checkpoint	Siglec-10	agonize Siglec-10 via CD24/CD24Fc-like checkpoint engagement	CD24Fc/fusion protein or Siglec agonist glycomimetic	systemic biologic; gut or CNS delivery not solved	0		1	type 1 diabetes mellitus	0		-0.6228823890231006	-0.7889879995997997	0.0790960238639784	0.8989378106274888	0	0	0				1	1	1	psoriasis	type 1 diabetes mellitus			0	0	1	psoriasis	1	type 1 diabetes mellitus
LILRB3	LILRB3/ILT5 inhibitory myeloid receptor	ILT5;CD85A	agonize inhibitory receptor if disease-state coupling exists	antibody modulation concept	systemic biologic; little tissue-targeted precedent	2	Crohn disease;ulcerative colitis	0		0	ibd_uc_myeloid:1.69,p=0.0068;ibd_crohn_myeloid:1.47,p=0.015	-0.3769548589371787	-0.2821420590732296	0.5039530830837081	0.9299116980283588	0	0	0				0	0	0					0	0	2	Crohn disease;ulcerative colitis	0	
LILRB5	LILRB5 inhibitory receptor	LIR8;CD85C	agonize inhibitory receptor if disease-state coupling exists	antibody modulation concept	systemic biologic; little tissue-targeted precedent	0		1	ulcerative colitis	0		-0.8824584607192891	-0.2793101416090359	0.51569138646586	0.9344601280416808	0	0	0				0	0	0					0	0	0		0	
HAVCR2	TIM-3/HAVCR2 checkpoint	TIM-3;TIM3	agonize tolerogenic TIM-3 signaling, not oncology-style blockade	agonist biologic concept; Gal-9/TIM-3 axis is crowded	systemic biologic; cell-selective direction difficult	0		1	ulcerative colitis	0		0.1190427137902556	0.335297452533713	0.4421644824402852	0.9214560346888634	0	0	0				0	0	0					0	0	0		0	
TIGIT	TIGIT/PVR checkpoint	TIGIT	agonize TIGIT inhibitory signaling; T-cell/Treg weighted	agonist antibody concept; oncology programs mostly antagonize	systemic biologic; not myeloid/APC-state selective	0		0		0						0	0	0				0	0	0					0	0	0		0	
BTLA	BTLA-HVEM checkpoint	CD272	agonize BTLA inhibitory signaling	agonist antibody or HVEM-ligand biologic concept	systemic biologic; T-cell weighted rather than myeloid selective	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		0	ibd_uc_myeloid:2.07,p=0.0038;sjogren_gland_apc:2.07,p=0.016;ibd_crohn_myeloid:1.09,p=0.042					0	0	0				0	0	0					0	0	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0	
