case	row_number	check	status	detail
none		required_columns_present	PASS	all required columns present
none		no_extra_columns	PASS	no extra columns
none		has_at_least_one_row	PASS	9
none	1	path_is_relative_non_sensitive_aggregate	FAIL	unexpected_filename:mystery_score_summary.tsv
none	1	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	1	commit_allowed_safe	PASS	yes
none	1	bytes_present_or_unknown	PASS	123
none	1	sha_recorded_or_not_recordable	PASS	synthetic
none	2	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	2	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	2	commit_allowed_safe	PASS	yes
none	2	bytes_present_or_unknown	PASS	123
none	2	sha_recorded_or_not_recordable	PASS	synthetic
none	3	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	3	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	3	commit_allowed_safe	PASS	yes
none	3	bytes_present_or_unknown	PASS	123
none	3	sha_recorded_or_not_recordable	PASS	synthetic
none	4	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	4	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	4	commit_allowed_safe	PASS	yes
none	4	bytes_present_or_unknown	PASS	123
none	4	sha_recorded_or_not_recordable	PASS	synthetic
none	5	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	5	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	5	commit_allowed_safe	PASS	yes
none	5	bytes_present_or_unknown	PASS	123
none	5	sha_recorded_or_not_recordable	PASS	synthetic
none	6	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	6	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	6	commit_allowed_safe	PASS	yes
none	6	bytes_present_or_unknown	PASS	123
none	6	sha_recorded_or_not_recordable	PASS	synthetic
none	7	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	7	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	7	commit_allowed_safe	PASS	yes
none	7	bytes_present_or_unknown	PASS	123
none	7	sha_recorded_or_not_recordable	PASS	synthetic
none	8	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	8	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	8	commit_allowed_safe	PASS	yes
none	8	bytes_present_or_unknown	PASS	123
none	8	sha_recorded_or_not_recordable	PASS	synthetic
none	9	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
none	9	sensitivity_class_safe	PASS	derived_non_sensitive_summary
none	9	commit_allowed_safe	PASS	yes
none	9	bytes_present_or_unknown	PASS	123
none	9	sha_recorded_or_not_recordable	PASS	synthetic
