candidate	intervention_handle	manual_druggability	manual_prior_risk	manual_blocker	best_direct_source	best_direct_dataset	best_direct_perturbation	best_direct_condition	direct_target_suppression	direct_generic_ifn_suppression	direct_target_vs_ifn_margin	direct_target_over_ifn_ratio	direct_stress_induction	direct_selectivity_score	direct_evidence_call	direct_is_primary_immune	n_direct_records	local_delta_trend_diseases	local_fdr10_positive_diseases	local_supporting_diseases	mediator_route_go_no_go	mediator_route_summary	cytotoxic_or_stress_target	dynamic_controller_score	n_gate_failures	gate_failures	wave31_call	max_ot_disease_count	max_genetics_ready_score	genetics_calls	target_first_calls	target_first_best_priority	target_first_manual_blockers	l1000_best_pert_id	l1000_best_cmap_name	l1000_target	l1000_moa	l1000_selectivity_call	l1000_target_antigen_best_rank	l1000_target_antigen_min_qval	l1000_reversal_strength	l1000_minus_generic_strength	n_l1000_records
MED16	none direct; translational hypothesis is Mediator kinase/CDK8-CDK19 modulation	0.0	medium	Strong primary macrophage perturbation clue, but MED16 itself is not a drug target and CDK8/CDK19 loss does not phenocopy it in the local MHC-II CRISPR screen.	mouse_macrophage_RNAseq	GSE162464	Med16_KO	Med16_IFNg_vs_NTC_IFNg	3.139501453617054	0.797854931783739	2.3416465218333142	3.9349276773888824	0.0	2.3051173986620066	selective_target_suppression	True	2.0	2.0	1.0	Crohn disease;ulcerative colitis			False	7.360234797324013	3	druggable_or_translatable_handle;translational_phenocopy_available;cross_disease_target_support	PARK_STRONG_PERTURBATION_NO_DRUGGABLE_HANDLE																
CDK8_CDK19_MEDIATOR_KINASE	CDK8/CDK19/Cyclin C inhibitors	3.0	high	Chemical matter exists, but Wave17 found broad IFN/IL-10/Treg prior art and no direct autoimmune APC inhibitor phenocopy.	mouse_macrophage_RNAseq	GSE162464	Med16_KO	Med16_IFNg_vs_NTC_IFNg	3.139501453617054	0.797854931783739	2.3416465218333142	3.9349276773888824	0.0	2.3051173986620066	selective_target_suppression	True	2.0	2.0	1.0	Crohn disease;ulcerative colitis	PARK	Do not promote as a clean MED16-KO phenocopy. CDK8/19 inhibition is druggable and immunologically active, but current evidence points to broad IFN transcriptional damping plus IL-10/Treg biology rather than selective CIITA/MHC-II/CD74 suppression. Prior art is crowded for autoimmune use.	False	7.110234797324013	3	translational_phenocopy_available;cross_disease_target_support;not_prior_art_blocked	PARK_SELECTIVE_PERTURBATION_BUT_TRANSLATION_BLOCKED																
LRRK2	LRRK2 kinase inhibition	3.0	high	L1000 antigen-presentation reversal exists for XMD-1150, but prior V3 gates found no shared cross-autoimmune module support beyond IBD-skewed biology.																			False	3.5670091121494467	4	immune_relevant_selective_perturbation;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER				NO_GO_TARGET_FIRST	0.0	Crohn/Parkinson biology is plausible but local V3 lacks cross-disease module perturbation or target-resolved autoimmune genetics.	BRD-K01436366	XMD-1150	LRRK2	Leucine rich repeat kinase inhibitor	target_opposite_hit_absent_from_generic_top50	4.0	8.02398541407672e-10	20.268036448597787	20.268036448597787	1.0
CTSB	cathepsin B inhibition	1.5	high	L1000 CA-074-Me reversal does not overcome prior cathepsin selectivity and lysosomal repair-direction blockers.																			False	2.123407531565819	5	immune_relevant_selective_perturbation;druggable_or_translatable_handle;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER	1.0	1.0	NO_GO_CAUSAL_PROXY				BRD-A56020723	CA-074-Me	CTSB	Cathepsin inhibitor	target_opposite_hit_absent_from_generic_top50	13.0	4.02605924679944e-07	16.993630126263277	16.993630126263277	1.0
GSK3B	GSK3B inhibition	2.0	high	Primary macrophage perturbation is partially selective, but target genetics/local breadth are weak and chronic GSK3B modulation is pleiotropic.	mouse_macrophage_RNAseq	GSE162464	Gsk3b_KO	Gsk3b_IFNg_vs_NTC_IFNg	1.6223580114004137	0.7952007387801626	0.8271572726202511	2.0401867506928	0.0	0.7779563820432978	selective_target_suppression	True	2.0	2.0	1.0	Crohn disease;ulcerative colitis			False	1.9282707754870092	2	cross_disease_target_support;not_prior_art_blocked	PARK_SELECTIVE_PERTURBATION_BUT_TRANSLATION_BLOCKED	0.0	1.0	NO_GO_CAUSAL_PROXY	NO_GO_TARGET_FIRST	0.0	Real perturbation signal exists, but no cross-autoimmune genetics and broad pleiotropic kinase safety block promotion.										
RFX5	none direct; transcription-factor gate	0.0	medium	Mechanistically selective HLA-II gate but not a tractable drug target.	Mixscale_CRISPRi	GSE281048_Zenodo14035992	RFX5	IFNG_pathway	0.5517938735080701	0.0	0.5517938735080701	5.5179387350807	0.0635446213280031	0.5231987939104686	weak_selective_target_suppression	False	1.0	3.0	2.0	Crohn disease;psoriasis;type 1 diabetes mellitus			False	1.8481914613290074	2	immune_relevant_selective_perturbation;druggable_or_translatable_handle	NO_GO_DYNAMIC_CONTROLLER	0.0	1.0	NO_GO_CAUSAL_PROXY													
FAAH	FAAH inhibition	2.0	high	L1000 signal is not supported by V3 module genetics or immune-cell perturbation and overlaps prior inflammatory/pain biology.																			False	1.8461147242234084	4	immune_relevant_selective_perturbation;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER				NO_GO_TARGET_FIRST	0.0	CNS/lipid plausibility is not enough; no local module-state or genetics anchor emerged.	BRD-K37865504	LY-2183240	FAAH	FAAH inhibitor	target_opposite_hit_absent_from_generic_top50	19.0	4.02605924679944e-07	16.384458896893634	16.384458896893634	1.0
CTNNB1	beta-catenin pathway modulation	1.0	high	L1000 signal is cell-line only and Wnt/beta-catenin intervention is broad, tissue-context dependent, and not linked to the V3 module.																			False	1.8306575337178925	5	immune_relevant_selective_perturbation;druggable_or_translatable_handle;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER							BRD-K30707190	PNU-74654	CTNNB1	Beta-catenin inhibitor	target_opposite_hit_absent_from_generic_top50	10.0	1.75367878889045e-08	19.32263013487157	19.32263013487157	1.0
MKNK1	MNK inhibition	2.0	high	L1000 signal only; translation/initiation kinase route lacks V3 target-specific autoimmune support.																			False	1.6039461154439172	4	immune_relevant_selective_perturbation;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER							BRD-K42500029	CGP-57380	MKNK1	MAP kinase inhibitor	target_opposite_hit_absent_from_generic_top50	12.0	4.02605924679944e-07	15.415784461775669	15.415784461775669	1.0
CXCR2	CXCR2 antagonism	2.0	high	Chemokine recruitment route is not a demonstrated transition-controller and lacks V3 immune-cell selectivity.																			False	0.9575205987296229	4	immune_relevant_selective_perturbation;cross_disease_target_support;not_prior_art_blocked;l1000_not_only_evidence	NO_GO_L1000_ONLY_CONTROLLER							BRD-K61323504	SB-225002	CXCR2	CCK receptor antagonist	target_opposite_hit_absent_from_generic_top50	28.0	8.22156671099179e-06	12.830082394918492	12.830082394918492	1.0
