gene	axis_role	desired_intervention	disease_high_interpretation	modality_class	manual_modality_ready	manual_prior_blocked	manual_safety_blocked	manual_note	ms_delta_log2	ms_p	ms_fdr	broad_positive_disease_count	broad_negative_disease_count	strict_core_covariate_surviving_disease_count	raw_positive_disease_count	retained_positive_disease_count	broad_selection_reasons	c15_trend_positive_disease_count	c15_strict_positive_disease_count	c15_state_pearson_r	contrast_state_score	donor_case_positive_disease_count	donor_case_median_spearman	residual_case_positive_disease_count	residual_case_positive_context_count	residual_all_positive_disease_count	median_residual_case_r	best_residual_context	wave68_best_cell_state	wave68_remission_adjusted_delta	wave68_remission_adjusted_p	wave68_remission_adjusted_fdr	wave37_screen_call	wave37_contrast_lfc	wave37_contrast_fdr	wave18_recommendation	wave18_strong_support_contexts	wave81_call	wave81_direct_perturbation	wave81_foundation_model_support	chembl_activity_count	uniprot_accessible	uniprot_function_excerpt	wave39_call	wave55_n_genetic_diseases_ge_0_25	wave55_genetic_diseases_ge_0_25	wave62_call	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	wave98_call	wave98_score	wave37_guide_count	wave37_guide_contrast_median	wave37_guide_positive_fraction	wave37_guide_negative_fraction	gate_ms_strict	gate_ms_trend	gate_broad_cross_disease	gate_breadth_five_disease	gate_strict_residual_cross_disease	gate_c15_residual_costate	gate_c15_contrast_state	gate_response_inhibition_support	gate_response_brake_marker_warning	gate_real_perturbation_direction	gate_model_perturbation_direction	gate_genetics	gate_ms_genetics	gate_modality_ready	gate_prior_not_blocking	gate_safety_not_blocking	hard_gate_count	support_gate_count	wave99_score	wave99_call	wave99_reason
CARD16	endogenous_inflammasome_brake	augment CARD16-like brake activity only if protective ordering is proven	possible compensatory brake, not proof of benefit	intracellular CARD-only protein; no established selective augmentation modality	False	False	False	mechanistically attractive but currently lacks a drug-like handle	0.427054014710313	0.494819097605486	0.9274484982877348	5.0	0.0	0.0	2.0	2.0	five_disease;four_disease_low_contradiction;mechanistic_scout;top_rank	4.0	3.0	0.6200326432505515	14.740065286501103	2.0	0.7999999999999999	1.0	2.0	0.0	0.36461470135461693	sjogren_gland_apc	Mono_macro	-0.7671629982994228	0.0162264218457252	0.0339239203972443			1.0		0.0		0.0	0.0	0.0	False	Caspase inhibitor. Acts as a regulator of procaspase-1/CASP1 activation implicated in the regulation of the proteolytic maturation of pro-interleukin-1 beta (IL1B) and its release during inflammation. Inhibits the release of IL1B in response to LPS in monocytes. Also induces NF-kappa-B activation during the pro-inflammatory cytokine response. Also able to inhibit CASP1-mediated neuronal cell death, TNF-, hypoxia-, UV-, and staurosporine-mediated cell death but not ER stress-mediated cell death. Acts by preventing activation of caspases CASP1 and CASP4, possibly by preventing the interaction between CASP1 and RIPK2	NO_GO_SURFACEOME_RESCUE	0.0			0.0	0.0	0.0	0.0		0.0	0				False	False	True	True	False	False	True	True	True	False	False	False	False	False	True	True	3	3	10.460016321625275	NO_GO_COMPENSATORY_BRAKE_MARKER	endogenous brake-like marker is recurrent, but residual C15 coupling/perturbation/actionability gates fail; failed=gate_ms_strict;gate_c15_residual_costate;gate_real_perturbation_direction;gate_modality_ready;gate_genetics
SERPINB1	endogenous_protease_inflammatory_brake	augment intracellular serpin function only if delivery and ordering are solved	possible neutrophil/myeloid counter-regulatory marker	intracellular serpin; recombinant replacement/delivery to lesional myeloid cells is not established	False	False	False	biologically plausible brake but weak MS anchor and delivery barrier	0.025950166986302	0.8686302203659795	0.9803928992331024	3.0	0.0	0.0	3.0	3.0	top_rank	2.0	2.0	-0.0324244553327222	6.935151089334555	0.0		1.0	1.0	0.0	0.020633775947193733	t1d_acinar_cell	DC		1.0	1.0			1.0		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	0				False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	3	0	5.15	NO_GO_COMPENSATORY_BRAKE_MARKER	endogenous brake-like marker is recurrent, but residual C15 coupling/perturbation/actionability gates fail; failed=gate_ms_strict;gate_c15_residual_costate;gate_real_perturbation_direction;gate_modality_ready;gate_genetics
CASP4	noncanonical_pyroptosis_stress_generator	selectively inhibit only if separable from host defense and CASP1/CASP5	driver or danger-state marker	cysteine protease; targetable but selectivity/host-defense risk	True	True	True	Wave98 close-prior/safety-blocked comparator	0.2066862758954002	0.4927047679399916	0.9271619615463814	4.0	0.0	0.0	4.0	4.0	four_disease_low_contradiction;mechanistic_scout;top_rank	3.0	3.0	0.3915924365400109	13.28318487308002	2.0	0.6	2.0	3.0	2.0	0.3084462466572922	t1d_stellate_cell	Mono_macro	-0.7246019576004594	0.0105026519754263	0.0281235550111651			1.0	do_not_promote	0.0		0.0	0.0	61.0	True	Inflammatory caspase that acts as the effector of the non-canonical inflammasome by mediating lipopolysaccharide (LPS)-induced pyroptosis (PubMed:25119034, PubMed:26375003, PubMed:32109412, PubMed:34671164, PubMed:37001519, PubMed:37993712, PubMed:37993714). Also indirectly activates the NLRP3 and NLRP6 inflammasomes (PubMed:23516580, PubMed:26375003, PubMed:32109412, PubMed:7797510). Acts as a thiol protease that cleaves a tetrapeptide after an Asp residue at position P1: catalyzes cleavage of CGAS, GSDMD and IL18 (PubMed:15326478, PubMed:23516580, PubMed:26375003, PubMed:28314590, PubMed:32109412, PubMed:37993712, PubMed:37993714, PubMed:7797510). Effector of the non-canonical inflammasome	NO_GO_SURFACEOME_RESCUE	0.0			0.0	0.0	0.0	0.0	NO_GO_CLOSE_PRIOR_OR_SAFETY_BLOCKED	7.891592436540011	0				False	False	True	False	False	True	True	True	False	False	False	False	False	True	False	False	3	2	11.495796218270007	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_real_perturbation_direction;gate_prior_not_blocking;gate_safety_not_blocking;gate_genetics
GBP1	ifn_induced_noncanonical_inflammasome_host_defense	avoid direct inhibition unless disease-specific pathologic GBP state is proven	generic interferon/host-defense marker	GTPase; no selective autoimmune-safe modality	False	False	True	host-defense liability and IFN confounding dominate	0.491428502182563	0.0681848307220474	0.8989378106274888	3.0	0.0	0.0	2.0	2.0	top_rank	3.0	3.0	0.2004472155112143	9.90089443102243	3.0	0.6	1.0	2.0	2.0	0.3178420126658408	t1d_ductal_cell	Mono_macro	-1.975566390892784	0.0027128689493738	0.0171152018563312			1.0		0.0		0.0	0.0	0.0	True	Interferon (IFN)-inducible GTPase that plays important roles in innate immunity against a diverse range of bacterial, viral and protozoan pathogens (PubMed:16511497, PubMed:22106366, PubMed:29144452, PubMed:31268602, PubMed:32510692, PubMed:32581219, PubMed:37797010, PubMed:7512561). Hydrolyzes GTP to GMP in two consecutive cleavage reactions: GTP is first hydrolyzed to GDP and then to GMP in a processive manner (PubMed:16511497, PubMed:32510692, PubMed:7512561, PubMed:39394410). Following infection, recruited to the pathogen-containing vacuoles or vacuole-escaped bacteria and promotes both inflammasome assembly and autophagy (PubMed:29144452, PubMed:31268602). Acts as a positive regulator o	NO_GO_SURFACEOME_RESCUE	0.0			0.0	0.0	0.0	0.0		0.0	0				False	True	True	False	False	True	True	True	False	False	False	False	False	False	True	False	3	3	11.250223607755608	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_real_perturbation_direction;gate_modality_ready;gate_safety_not_blocking;gate_genetics
GBP2	ifn_induced_noncanonical_inflammasome_host_defense	avoid direct inhibition	generic interferon/host-defense marker	GTPase; no selective autoimmune-safe modality	False	False	True	host-defense liability and IFN confounding dominate	0.0259574236627297	0.9251311132048275	0.9900445491146652	0.0	0.0	0.0	0.0	0.0		3.0	2.0	0.2568540615225195	8.513708123045038	0.0		2.0	2.0	2.0	-0.5810640324242924	ibd_crohn_myeloid	Mono_macro	-1.179314485269185	0.0052212708072782	0.0224142446553593	UNRESOLVED	-0.070175563848531	1.0		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	4	-0.070175563848531	0.25	0.75	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	2	2	7.928427030761259	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_real_perturbation_direction;gate_modality_ready;gate_safety_not_blocking;gate_genetics
CASP1	core_inflammasome_effector	inhibit only with strong cell/tissue stratification	driver or inflammatory state marker	cysteine protease; inhibitor chemistry exists but selectivity/safety are difficult	True	True	True	prior-art and host-defense/safety liabilities block broad promotion	-0.0568726402460804	0.8113243800450323	0.9761732664217524	0.0	0.0	0.0	0.0	0.0		3.0	2.0	0.092705220284161	9.185410440568322	0.0		3.0	4.0	3.0	0.5104860695439427	t1d_ductal_cell	Mono_macro		1.0	1.0	UNRESOLVED	0.2470783431508976	0.9965506589785832		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	4	0.2470783431508976	0.75	0.25	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	2	1	6.746352610142081	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_real_perturbation_direction;gate_prior_not_blocking;gate_safety_not_blocking;gate_genetics
IL1B	proinflammatory_inflammasome_output	neutralize only if IL1B-high subgroup is proven	downstream inflammatory output	biologic neutralization exists	True	True	True	prior-art saturated and not a brake	-0.4438671148785484	0.2706928133384321	0.9049965616313804	0.0	0.0	0.0	0.0	0.0		2.0	2.0	0.5674533299089646	8.13490665981793	0.0		2.0	2.0	3.0	0.20014111293476225	sjogren_gland_apc	Mono_macro		1.0	1.0	UNRESOLVED	-0.6017267067963965	0.9965506589785832		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	4	-0.6017267067963965	0.25	0.75	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	2	1	6.583726664954482	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_real_perturbation_direction;gate_prior_not_blocking;gate_safety_not_blocking;gate_genetics
CASP5	noncanonical_pyroptosis_stress_generator	avoid without CASP5-specific disease proof	driver or danger-state marker	cysteine protease; targetable class but selectivity/host-defense risk	True	True	True	core pyroptosis route is crowded and safety-sensitive	-1.242351875752143	0.20565713452591	0.8993702893651148	0.0	0.0	0.0	0.0	0.0		2.0	2.0	0.4123218639574769	7.824643727914954	0.0		0.0	0.0	0.0	-0.13332992214231593	t1d_ductal_cell	Mono_macro	-2.299339808006555	0.0018350262529806	0.0144710360468215			1.0		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	0				False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	1	2	5.206160931978738	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_c15_residual_costate;gate_real_perturbation_direction;gate_prior_not_blocking;gate_safety_not_blocking;gate_genetics
GBP5	ifn_induced_noncanonical_inflammasome_host_defense	avoid direct inhibition	generic interferon/host-defense marker	GTPase; no selective autoimmune-safe modality	False	False	True	host-defense liability and IFN confounding dominate	0.5414438498646046	0.0838417646975255	0.8989378106274888	0.0	0.0	0.0	0.0	0.0		2.0	2.0	0.4619779201311739	7.923955840262348	0.0		0.0	0.0	1.0	0.18013279238309243	ibd_crohn_myeloid	Mono_macro		1.0	1.0	UNRESOLVED	0.044189175651119	1.0		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	4	0.044189175651119	0.5	0.5	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	1	2	3.730988960065587	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_c15_residual_costate;gate_real_perturbation_direction;gate_modality_ready;gate_safety_not_blocking;gate_genetics
NLRP3	inflammasome_sensor	inhibit NLRP3 only if disease module is NLRP3-dependent	driver or inflammasome-competence marker	small-molecule NLRP3 inhibitors exist	True	True	True	autoimmune/inflammatory prior art is saturated	-0.2348280075935918	0.4767192630645722	0.9258703847750552	1.0	0.0	0.0	1.0	1.0	mechanistic_scout	2.0	2.0	0.7559189725964774	7.011837945192955	0.0		0.0	0.0	0.0	0.4345608414780553	ibd_crohn_myeloid	Mono_macro		1.0	1.0	UNRESOLVED	0.2405848186938811	0.9965506589785832		0.0		0.0	0.0	0.0				0.0			0.0	0.0	0.0	0.0		0.0	4	0.2405848186938811	0.75	0.25	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	1	1	3.6279594862982387	NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior-art or safety gate blocks broad therapeutic promotion; failed=gate_ms_strict;gate_broad_cross_disease;gate_c15_residual_costate;gate_real_perturbation_direction;gate_prior_not_blocking;gate_safety_not_blocking;gate_genetics
