snp	SNP.PP.H4.abf
rs1314918	1.48861468805334e-11
rs1314919	1.44316796005799e-11
rs1080321	1.48201496438647e-11
rs1744959	1.47337340732248e-11
rs1314921	1.49628707806275e-11
rs1951631	1.66040096146317e-11
rs34409637	1.73123487693295e-11
rs7155764	1.66608641541294e-11
rs11628885	1.12522813460786e-11
rs7141945	1.09157189890441e-11
rs12883132	1.81719929432844e-11
rs2331701	3.46336962494795e-11
rs746663	1.72355870049446e-11
rs8015246	1.23782269622282e-10
rs8021339	1.11049095195301e-10
rs10131789	1.06516643723075e-10
rs1541390	1.01957836197788e-10
rs10135398	9.3696023852307e-11
rs1023530	5.50797501632953e-11
rs12882030	4.86975608008452e-11
rs11158750	5.31833702600857e-11
rs2842333	6.25011337221402e-11
rs2244814	8.33904146284436e-12
rs2842328	8.843519350924e-12
rs17105852	8.49316060036515e-12
rs10137893	3.29301623299176e-11
rs7153395	1.59733871728702e-11
rs4899247	1.25976301401312e-11
rs10136390	5.31907319968443e-12
rs8010030	1.10350141668465e-11
rs8016840	8.95730982982475e-12
rs761951	8.44742772122748e-12
rs8009034	7.25145209597404e-12
rs8010921	7.32172865968741e-12
rs6573846	6.98226553478328e-12
rs2145155	7.02468925312814e-12
rs2145154	2.50351385323288e-11
rs17106069	8.60027028306678e-12
rs7144613	6.94774793016476e-12
rs6573847	6.79758305671721e-12
rs7147776	1.05910804032059e-11
rs6573848	7.88010444899238e-12
rs4902624	7.65954840973703e-12
rs10149893	6.27019459430662e-12
rs7148690	6.38231976465194e-12
rs8021657	4.25947631145191e-11
rs8023214	4.00424282333845e-11
rs4902625	7.07315527721245e-12
rs2064825	6.66305670662906e-12
rs10143428	1.65493424872535e-11
rs17106102	5.95718456639072e-12
rs10483818	8.27094041636051e-12
rs17835170	9.20141087184576e-12
rs4420467	1.87992854799841e-11
rs11846143	2.04311710209117e-11
rs2145150	1.21371108771411e-11
rs6573849	1.01509408197152e-11
rs2877497	1.49477299866694e-11
rs2877498	1.55540679975253e-11
rs2024944	7.85574295180763e-12
rs17106118	3.72151946478635e-11
rs72729582	1.03263081564334e-11
rs4902632	3.80665974504924e-12
rs72729583	9.10536217204669e-12
rs4899251	2.01556529996004e-11
rs10145681	1.79329803441156e-11
rs8006379	6.52272641617528e-12
rs8008240	1.45096651473534e-11
rs35261136	1.14789818601656e-10
rs61984962	1.74666405190899e-10
rs61984963	4.33377380033597e-12
rs61984964	1.82495250015329e-10
rs34657424	1.78858231887728e-10
rs6573854	8.36937128264843e-12
rs61984966	1.47570683382595e-10
rs2180957	1.40006445564428e-10
rs7159619	8.38018399327834e-12
rs12896600	1.38245725351302e-10
rs35545479	1.25391559971481e-10
rs8006663	5.4177700652691e-12
rs11621765	1.08280871342187e-10
rs11626090	1.2844551627519e-10
rs8007722	2.63111800626983e-12
rs2028103	1.03121185947325e-10
rs35045162	1.24779192902462e-11
rs11158760	6.06156018477774e-11
rs455074	5.71926206255152e-11
rs382179	2.48718573640681e-12
rs9323519	1.92754678150377e-11
rs10142607	4.72852856592649e-12
rs4902633	3.58318191889136e-10
rs382666	7.72124602160422e-12
rs454988	7.69722294396198e-12
rs4899254	3.72450003581402e-10
rs1275049	1.13081276725241e-11
rs72729601	7.27411925576028e-11
rs450420	1.47998224018256e-11
rs438354	1.45563695573631e-11
rs12889600	5.40412441567108e-10
rs67820986	6.87653068833661e-11
rs2043672	3.79320834741779e-11
rs2025053	2.66568668042471e-11
rs17757064	4.7978601172393e-10
rs17835428	3.73554673738136e-10
rs66739722	3.01040421934902e-11
rs8013316	3.23451090304423e-11
rs17835441	2.90004533571752e-10
rs12894045	4.45959906056965e-10
rs12895422	1.34354814922598e-10
rs11621136	5.09334275927095e-10
rs55761709	2.98243621092792e-11
rs72731509	3.00874978217528e-11
rs8010424	9.84899887723913e-10
rs66993211	3.26522703011075e-11
rs17106208	2.12648498718548e-11
rs17757151	5.11305488889214e-10
rs34713232	4.56344793033074e-10
rs12891584	4.87786913199198e-10
rs2118164	4.46056500115512e-10
rs17106213	3.19459688601759e-11
rs10143427	3.17665943423694e-11
rs1535344	6.15592362976834e-12
rs17106221	6.25400612493624e-12
rs17106229	6.27485436618217e-12
rs4902640	6.54232123717623e-10
rs72731514	2.68560729499527e-11
rs194772	5.30683989141858e-11
rs7157514	5.83053363841382e-12
rs12147462	6.3796543292317e-12
rs7144216	6.25291652168777e-12
rs17106237	3.59854349252712e-11
rs10133944	6.04217918378095e-10
rs194769	3.2730905535499e-10
rs6573856	1.12366803916294e-10
rs17106243	5.46534418758058e-11
rs60835488	5.38951881934065e-11
rs61985011	2.63812474287939e-11
rs73277289	5.95690385020043e-11
rs4902642	1.89032136184869e-08
rs194763	9.28506388229458e-11
rs194762	2.39621804763854e-06
rs56095181	2.41911573245326e-10
rs12589699	1.69018814109984e-10
rs194759	1.38126938943833e-10
rs194758	1.5191091636063e-11
rs194757	4.07896248687754e-11
rs168963	4.11791121429651e-11
rs12148044	3.05765854527791e-10
rs194756	4.02858362518019e-11
rs52701	4.40578149545945e-11
rs194755	1.46380634820404e-10
rs4899255	2.09044103421404e-08
rs194754	2.01441847032045e-10
rs72731523	6.36656523940598e-11
rs194753	1.21416963850878e-10
rs56082161	2.87021497450759e-10
rs194752	7.13171762323444e-12
rs17757282	2.74162908737415e-10
rs72731526	2.70088820070738e-10
rs194726	1.73656355833437e-10
rs4902643	2.8504714453669e-07
rs194725	1.92270302658773e-10
rs72731527	2.72072174436986e-10
rs194724	2.19439895462504e-10
rs28490497	2.22041079399807e-11
rs17106256	2.04766072703656e-09
rs72731529	2.9085089939805e-10
rs7153919	1.53823466965939e-11
rs168960	2.16506071646738e-10
rs8015528	1.76847482407369e-09
rs451066	1.53944918076103e-10
rs7159916	1.36772984472265e-11
rs17106265	3.27014018463701e-09
rs12588470	1.99993214377058e-09
rs189866	1.62145717002643e-10
rs11626077	8.42207448636572e-09
rs34407978	3.9885166875812e-09
rs2475168	3.88942048415796e-10
rs10138717	1.72750329072529e-11
rs72731531	1.77854913295585e-10
rs11158762	9.12716614005225e-08
rs8005236	0.00780172063053277
rs753912	5.23361025677951e-09
rs747854	1.39809424285006e-05
rs8016829	2.32299337140193e-11
rs735292	2.03167413954095e-10
rs754945	5.01779850487729e-09
rs754944	1.50162244147213e-07
rs72731532	1.95313864738901e-10
rs72731534	2.09344293488897e-10
