snp	SNP.PP.H4.row1	SNP.PP.H4.row2	SNP.PP.H4.row3	SNP.PP.H4.row4	SNP.PP.H4.row5	SNP.PP.H4.row6	SNP.PP.H4.row7	SNP.PP.H4.row8	SNP.PP.H4.row9	SNP.PP.H4.row10	SNP.PP.H4.row11	SNP.PP.H4.row12	SNP.PP.H4.row13	SNP.PP.H4.row14	SNP.PP.H4.row15	SNP.PP.H4.row16	SNP.PP.H4.row17	SNP.PP.H4.row18	SNP.PP.H4.row19	SNP.PP.H4.row20	SNP.PP.H4.row21
rs16869470	0	0	1.51782332816638e-09	2.79002698714934e-07	3.10292153491368e-07	7.16587707374004e-17	3.72920623266705e-06	0	0	1.24989782346411e-09	7.06612932163643e-09	3.06595804529464e-08	1.66486594794602e-22	1.69227764122371e-07	0	0	1.57475883462829e-14	6.74663777466953e-07	6.01881377916016e-06	6.23307761773215e-17	5.00656547491396e-06
rs10068751	0	0	1.38279489552422e-07	2.44734896613716e-05	0.139466243203626	6.47161456256864e-14	7.49072697006434e-05	0	0	1.80009905484074e-09	9.79838330562177e-09	0.000217846137654399	2.37688356753841e-21	5.37359004369429e-08	0	0	4.13344704471207e-14	1.70504823464908e-06	0.0779419013277192	1.62183849762619e-15	2.89740527733174e-06
rs954017	0	0	1.27193293491723e-07	2.30009336524586e-05	0.152124142644317	6.61698505869481e-14	7.26141313374008e-05	0	0	1.72681146822306e-09	9.60386541912798e-09	0.000247811228535227	2.53453033642872e-21	5.43255065411008e-08	0	0	3.92473352613656e-14	1.65416027513184e-06	0.0877589440275956	1.71177416463593e-15	2.89933085506098e-06
rs7700746	0	0	1.18767133354254e-07	2.2009225619146e-05	0.172458420361403	6.9694985172843e-14	7.1976645988057e-05	0	0	1.66091402907903e-09	9.46619683467339e-09	0.000289385928049163	2.74985021099071e-21	5.5468243226e-08	0	0	3.74776053260513e-14	1.61870042631453e-06	0.101743634156567	1.84381540996928e-15	2.93898813765076e-06
rs6869708	0	0	1.18803986842668e-07	2.20099511093284e-05	0.172132964777955	6.96214702376464e-14	7.19502532006603e-05	0	0	1.66142941135862e-09	9.46650886895332e-09	0.000288839812261614	2.74694964275672e-21	5.54479038293716e-08	0	0	3.74892346417943e-14	1.61875378354244e-06	0.101551628258872	1.84187053588628e-15	2.93791045352122e-06
rs61619219	0	0	1.524701527368e-07	2.80144639453987e-05	0.206892414417883	8.57861624458717e-14	9.04941867656972e-05	0	0	1.79122273134165e-09	1.012201466791e-08	0.000291642928312499	2.84340436382358e-21	5.85851255423628e-08	0	0	4.21732734715211e-14	1.80601333581106e-06	0.106990280845841	1.98934482444622e-15	3.23894689138371e-06
rs13175510	0	0	4.56414567105584e-07	0.000104520679534973	0.000252612194256313	2.87471082342075e-13	0.000378465676478746	0	0	2.30237111955995e-08	1.62157838015416e-07	1.52901684107736e-06	4.0913499152682e-20	1.05206908118576e-06	0	0	5.45524483136483e-13	2.91167658160228e-05	0.000564490118163859	2.88064184207799e-14	5.85345005482231e-05
rs4546429	0	0	1.99326919662078e-08	3.71667334232621e-06	0.00917377125780979	8.40279825018597e-15	1.05945583659142e-05	0	0	1.2301939899392e-09	7.05475485872321e-09	6.79356411505506e-05	1.46314783951483e-21	3.60323369593786e-08	0	0	1.94848430130894e-14	8.46781785980759e-07	0.0167658719845978	6.88644753567153e-16	1.34012244895935e-06
rs4519959	0	0	2.0074205718573e-08	3.6950378685811e-06	0.00811281739071861	7.79651327261309e-15	1.02594174445044e-05	0	0	1.25567261210376e-09	7.10848144250936e-09	6.08908277387644e-05	1.37592607931328e-21	3.53641056404757e-08	0	0	1.98128015546015e-14	8.49987565175477e-07	0.0149701620953526	6.45131566931375e-16	1.31027027622312e-06
rs13182608	0	0	5.10768283372095e-07	0.000116718973288239	0.000296149932217167	3.51532444734913e-13	0.000432671898818248	0	0	2.52813508277665e-08	1.77679654683708e-07	1.75885532199424e-06	4.90906063908181e-20	1.1801493461874e-06	0	0	6.01718019787625e-13	3.20476887601769e-05	0.000652270919578784	3.47196118787785e-14	6.5956629503528e-05
