nsnps	hit1	hit2	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	idx1	idx2
478	rs62356511	rs353325	0	0.0794808663667764	0	0.919563360706489	0.000955772926779147	5	4
478	rs56372463	rs353325	0	0.079420817569378	0	0.918867104931473	0.00171207749916481	6	4
478	rs350054	rs353325	5.22186069205184e-06	0.0794685086517435	6.04150655176814e-05	0.919420206601974	0.00104564782007306	9	4
478	rs11749437	rs353325	0.00616079556499971	0.0728622819391943	0.071278207070332	0.842977168245467	0.00672154718000643	8	4
478	rs7700746	rs353325	0.0323176534662811	0.0429661231555366	0.373903722578226	0.496995083634117	0.0538174171658398	10	4
478	rs11749040	rs353325	3.05376597452313e-13	0.0794758297113703	3.53309830167047e-12	0.919504961528484	0.00101920875630806	1	4
478	rs57993951	rs353325	0.00470035603895176	0.0746858605053849	0.0543814427071814	0.864084469118883	0.00214787162959979	2	4
478	rs62356511	rs1445002	0	0.00179510435875833	0	0.998187670954932	1.7224686345682e-05	5	1
478	rs56372463	rs1445002	0	0.00179509833565619	0	0.998184315018189	2.05866462063421e-05	6	1
478	rs350054	rs1445002	1.17948100228861e-07	0.00179498461875109	6.55863504257138e-05	0.998121086194364	1.8224888358145e-05	9	1
478	rs11749437	rs1445002	0.000139419255576377	0.00164887878527731	0.0775256246991835	0.91686971936436	0.00381635789560324	8	1
478	rs7700746	rs1445002	0.000764316706887687	0.00101615439970709	0.42500678923099	0.565027563517805	0.00818517614461013	10	1
478	rs11749040	rs1445002	9.46995616060197e-16	0.000246460478462719	5.26587424519965e-13	0.135318214255289	0.864435325265723	1	1
478	rs57993951	rs1445002	0.000106215560658654	0.00168770205514529	0.0590623415595931	0.938464102975734	0.00067963784886859	2	1
478	rs62356511	rs350054	0	0.323004642717621	0	0.673581291990252	0.00341406529211253	5	2
478	rs56372463	rs350054	0	0.322886062521531	0	0.67333327376776	0.00378066371070609	6	2
478	rs350054	rs350054	7.23231755360154e-08	0.00110064500754559	1.50821460151793e-07	0.000298063328235396	0.998601068519585	9	2
478	rs11749437	rs350054	0.0250641628465683	0.296427966263255	0.0522683581021591	0.618149412921756	0.00809009986626222	8	2
478	rs7700746	rs350054	0.137956279365031	0.183412031924348	0.287691564104253	0.382467233863837	0.00847289074253113	10	2
478	rs11749040	rs350054	1.24111658912716e-12	0.323006974052194	2.58820239575288e-12	0.673586168128816	0.00340685781515999	1	2
478	rs57993951	rs350054	0.0191009988631425	0.303503505858744	0.0398328823028836	0.632911494943385	0.00465111803184552	2	2
