route	direction	source	query	url	note
TAM_receptor_agonism	agonism	GooglePatents	MERTK agonist autoimmune	https://patents.google.com/?q=MERTK+agonist+autoimmune	
TAM_receptor_agonism	agonism	Espacenet	MERTK agonist autoimmune	https://worldwide.espacenet.com/patent/search?q=MERTK+agonist+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TAM_receptor_agonism	agonism	GooglePatents	GAS6 MERTK autoimmune biologic	https://patents.google.com/?q=GAS6+MERTK+autoimmune+biologic	
TAM_receptor_agonism	agonism	Espacenet	GAS6 MERTK autoimmune biologic	https://worldwide.espacenet.com/patent/search?q=GAS6+MERTK+autoimmune+biologic	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TAM_receptor_agonism	agonism	GooglePatents	PROS1 MERTK autoimmune biologic	https://patents.google.com/?q=PROS1+MERTK+autoimmune+biologic	
TAM_receptor_agonism	agonism	Espacenet	PROS1 MERTK autoimmune biologic	https://worldwide.espacenet.com/patent/search?q=PROS1+MERTK+autoimmune+biologic	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TAM_receptor_inhibition	inhibition	GooglePatents	MERTK inhibitor autoimmune	https://patents.google.com/?q=MERTK+inhibitor+autoimmune	
TAM_receptor_inhibition	inhibition	Espacenet	MERTK inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=MERTK+inhibitor+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TAM_receptor_inhibition	inhibition	GooglePatents	AXL inhibitor autoimmune	https://patents.google.com/?q=AXL+inhibitor+autoimmune	
TAM_receptor_inhibition	inhibition	Espacenet	AXL inhibitor autoimmune	https://worldwide.espacenet.com/patent/search?q=AXL+inhibitor+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TAM_receptor_inhibition	inhibition	GooglePatents	TAM receptor inhibitor autoimmune disease	https://patents.google.com/?q=TAM+receptor+inhibitor+autoimmune+disease	
TAM_receptor_inhibition	inhibition	Espacenet	TAM receptor inhibitor autoimmune disease	https://worldwide.espacenet.com/patent/search?q=TAM+receptor+inhibitor+autoimmune+disease	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TREM2_agonism	agonism	GooglePatents	TREM2 agonist antibody autoimmune	https://patents.google.com/?q=TREM2+agonist+antibody+autoimmune	
TREM2_agonism	agonism	Espacenet	TREM2 agonist antibody autoimmune	https://worldwide.espacenet.com/patent/search?q=TREM2+agonist+antibody+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
TREM2_agonism	agonism	GooglePatents	TREM2 agonist antibody multiple sclerosis	https://patents.google.com/?q=TREM2+agonist+antibody+multiple+sclerosis	
TREM2_agonism	agonism	Espacenet	TREM2 agonist antibody multiple sclerosis	https://worldwide.espacenet.com/patent/search?q=TREM2+agonist+antibody+multiple+sclerosis	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
LXR_ABCA1_activation	agonism	GooglePatents	LXR agonist multiple sclerosis autoimmune	https://patents.google.com/?q=LXR+agonist+multiple+sclerosis+autoimmune	
LXR_ABCA1_activation	agonism	Espacenet	LXR agonist multiple sclerosis autoimmune	https://worldwide.espacenet.com/patent/search?q=LXR+agonist+multiple+sclerosis+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
LXR_ABCA1_activation	agonism	GooglePatents	ABCA1 agonist autoimmune	https://patents.google.com/?q=ABCA1+agonist+autoimmune	
LXR_ABCA1_activation	agonism	Espacenet	ABCA1 agonist autoimmune	https://worldwide.espacenet.com/patent/search?q=ABCA1+agonist+autoimmune	Espacenet returned HTTP 403 in this environment during spot-check; URL retained for manual/browser verification.
