source	path	call	score	genetics_disease_count	genetics_diseases	gwas_trait_count	gwas_min_p	gwas_traits	local_positive_disease_count	local_negative_disease_count	positive_diseases	negative_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	prior_art_signal	blocker_or_reason
wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH	9.525														Genetic signal is plausible but local expression/state support is contradictory.; Previously parked; GPCR tractable but IBD/GPR65 prior art and weak local support remain.
wave47_reopen	results_v3/wave47_late_stage_survivor_map/reopen_only_requirements.tsv	PARK	3.517														; 
wave34a	results_v3/wave34a_genetics_first_target_rescue/genetics_first_candidate_rank.tsv	PARK_GENETIC_SIGNAL_LOCAL_CELLSTATE_MISMATCH	9.525	5.0	AS;Crohn;MS;Psoriasis;UC	5.0	4e-18	Ankylosing spondylitis;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Ulcerative colitis	1.0	2.0	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	0.6241465917972195		high	Genetic signal is plausible but local expression/state support is contradictory.
wave34	results_v3/wave34_genetics_expression_druggability_scan/wave34_genetics_expression_druggability_rank.tsv	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	15.4	5.0		5.0	4e-18	Ankylosing spondylitis;Crohn's disease;Inflammatory bowel disease;Multiple sclerosis;Ulcerative colitis	1.0	2.0	Sjogren syndrome		0.09040507812532	0.6241465917972195			no_target_resolved_coloc_or_mr
broad_h5ad	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv		-4.0						1.0	2.0	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	0.6241465917972195	0.9490245393797272		
wave20_local	results_v3/wave20_genetic_druggable_altaxis/local_biology_and_druggability_metrics.tsv		-4.0						1.0	2.0	Sjogren syndrome	type 1 diabetes mellitus;ulcerative colitis	0.09040507812532	0.6241465917972195			
wave20_genetics	results_v3/wave20_genetic_druggable_altaxis/local_opentargets_genetics_summary.tsv			5.0	AS;Crohn;MS;Psoriasis;UC												
wave20_public	results_v3/wave20_genetic_druggable_altaxis/public_api_prior_art_druggability_audit.tsv																
wave20_interpretation	results_v3/wave20_genetic_druggable_altaxis/public_source_interpretation.tsv																
wave20_interpretation	results_v3/wave20_genetic_druggable_altaxis/public_source_interpretation.tsv																
wave23_restoration	results_v3/wave23_genetics_restoration_modality/ranked_go_park_no_go.tsv	PARK	3.517													EuropePMC=302; ClinicalTrials=0; ChEMBL_API=99	current modality class is plausible, but local support is weak/contradictory and IBD/GPR65 prior art is already direct.
