module	n_defined	n_present	genes_present	genes_missing	dataset
ifn_apc	8	8	STAT1;IRF1;CXCL10;GBP1;CD74;IFI30;HLA-DRA;HLA-DRB1		GSE198520_RA_synovium_antiTNF
hla_ii_apc	7	7	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CIITA;RFX5		GSE198520_RA_synovium_antiTNF
lysosomal_apc	7	7	IFI30;CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3		GSE198520_RA_synovium_antiTNF
mif_cd74_receptor_state	7	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1		GSE198520_RA_synovium_antiTNF
lipid_loader_repair	12	12	ACSL1;APOE;GPNMB;LPL;PLIN2;CD36;LIPA;FABP5;TREM2;MSR1;MERTK;SPP1		GSE198520_RA_synovium_antiTNF
inflammatory_nfkb	9	9	IL1B;TNF;CXCL8;CCL2;CCL3;CCL4;NFKBIA;TREM1;OSM		GSE198520_RA_synovium_antiTNF
ifn_apc	8	8	STAT1;IRF1;CXCL10;GBP1;CD74;IFI30;HLA-DRA;HLA-DRB1		GSE282122_IBD_myeloid_antiTNF
hla_ii_apc	7	7	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CIITA;RFX5		GSE282122_IBD_myeloid_antiTNF
lysosomal_apc	7	7	IFI30;CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3		GSE282122_IBD_myeloid_antiTNF
mif_cd74_receptor_state	7	7	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1		GSE282122_IBD_myeloid_antiTNF
lipid_loader_repair	12	12	ACSL1;APOE;GPNMB;LPL;PLIN2;CD36;LIPA;FABP5;TREM2;MSR1;MERTK;SPP1		GSE282122_IBD_myeloid_antiTNF
inflammatory_nfkb	9	9	IL1B;TNF;CXCL8;CCL2;CCL3;CCL4;NFKBIA;TREM1;OSM		GSE282122_IBD_myeloid_antiTNF
