review_date_utc	hit_id	title	route	locator	canonical_cluster	cluster_status	independent_source_count_allowed	safe_use	reason
2026-06-28T18:08:32+00:00	PMID39949773	Apheresis relapse treatment gene-expression paper	Europe PMC	https://europepmc.org/article/MED/39949773	apheresis_relapse_context	single context-only source cluster	false	context_only	Adjacent relapse/aferesis/NMOSD context; no same-definition V22/V32 validation gates.
2026-06-28T18:08:32+00:00	GSE261258	Human regulatory memory B cells TIM-1/TIGIT dysfunctional in MS	NCBI GDS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261258	ms_bcell_dysfunction_context	single context-only source cluster	false	context_only	MS B-cell biology context; no treatment-response labels or paired treatment timing visible.
2026-06-28T18:08:32+00:00	GSE239703	RelA/c-Rel CD4+ T-cell function in MS and cancer scRNA	NCBI GDS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239703	rela_crel_mechanistic_context	single context-only source cluster	false	context_only	Mechanistic cell-function context; not treatment-response validation.
2026-06-28T18:08:32+00:00	GSE239700	RelA/c-Rel CD4+ T-cell function in MS and cancer bulk mouse	NCBI GDS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239700	rela_crel_mechanistic_context	same mechanism family as GSE239703 but mouse/bulk row	false	context_only	Mouse/mechanistic row; not independent validation evidence.
2026-06-28T18:08:32+00:00	GSE312339	Fetal and maternal guinea pig liver transcriptomes	NCBI GDS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312339	false_positive_non_ms_animal_liver	false positive	false	reject_false_positive	Non-MS animal/liver keyword collision.
2026-06-28T18:08:32+00:00	S-EPMC10360655	Dimethyl fumarate-related immune and transcriptional signature is associated with clinical response in MS-treated patients	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10360655	gse235357_sanchez_sanz_dmf_pbmc_response	duplicate/alternate metadata for already-held GSE235357 and existing V50 external record	false	partial_hit_metadata_only	Same source cluster as GSE235357 / Sánchez-Sanz 2023 already represented by local held data and external record; not an independent fresh cohort.
2026-06-28T18:08:32+00:00	S-EPMC10855583	Response to Fingolimod in MS Patients Is Associated with Differential Transcriptomic Regulation	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10855583	fingolimod_response_transcriptome_context	likely same author/program family as S-EPMC6068231; not DMF/V22 exact	false	partial_hit_metadata_only	Non-DMF fingolimod response transcriptome context; not independent DMF validation and likely overlaps the already-used fingolimod response lineage.
2026-06-28T18:08:32+00:00	S-EPMC6068231	Immunophenotype and Transcriptome Profile of MS Patients Treated With Fingolimod	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6068231	fingolimod_response_transcriptome_context	already-used/known fingolimod response lineage	false	partial_hit_metadata_only	Same broad source family as already-audited fingolimod response cohort GSE250453; do not count as fresh independent validation.
2026-06-28T18:08:32+00:00	S-EPMC4654830	Transcriptional response to interferon beta-1a treatment in SPMS	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4654830	ifnb_spms_transcriptional_response_context	context-only source cluster	false	context_only	Different drug and disease-stage frame; useful IFN context only.
2026-06-28T18:08:32+00:00	S-EPMC5413827	Delayed-release dimethyl fumarate NEDA integrated analysis	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5413827	dmf_neda_clinical_no_transcriptome_context	context-only source cluster	false	context_only	Clinical NEDA analysis without PBMC transcriptomic paired module package visible.
2026-06-28T18:08:32+00:00	S-EPMC9351505	High-dimensional immune profiling biomarker to monitor DMF response in MS	BioStudies	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9351505	diebold_2022_dmf_immune_monitoring	duplicate/alternate metadata for existing V50 Diebold record	false	context_only	Same source cluster as existing Diebold 2022 external record and V24 scout; mass cytometry/flow context, not transcriptomic module validation.
