rank	item	priority_score	category	evidence_grade	source_type_needed	search_route	acceptance_criteria	forbidden_shortcut	safe_source_requirement	source_integration_action
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	18	positive_supported	supported	IBD/MS transfer-specific literature or datasets	Search for MS-IBD treatment-response, IFN/APC dynamics, or layer-specific transfer studies with matching definitions.	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Require a source directly overlapping the grounded finding before adding a V48 relationship row.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
2	UC genetics vs treatment-response layer split	17	decoupling_negative	supported	IBD/MS transfer-specific literature or datasets	Search for MS-IBD treatment-response, IFN/APC dynamics, or layer-specific transfer studies with matching definitions.	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
3	First-principles druggability discipline changed target interpretation	16	methodological	supported	method/governance literature	Search for methods papers, validation guidance, or target-interpretation standards matching the project procedure.	Source must address the same methodological question, not broad MS biology.	Do not use general disease-mechanism context as method corroboration.	Require a method-specific source about the same procedure or governance issue; broad disease biology is not sufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
4	Locked V7 general cross-disease baseline fallback killed	16	kills_closed	negative-established	same-failure-mode source	Search for sources directly addressing the same negative result, direction conflict, or failed transfer mode.	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
5	Tool-robust but simple V22 scalar	15	methodological	supported	method/governance literature	Search for methods papers, validation guidance, or target-interpretation standards matching the project procedure.	Source must address the same methodological question, not broad MS biology.	Do not use general disease-mechanism context as method corroboration.	Require a method-specific source about the same procedure or governance issue; broad disease biology is not sufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
6	Crohn downstream IFN/APC convergence exceeds genetic proximity	15	decoupling_negative	supported	IBD/MS transfer-specific literature or datasets	Search for MS-IBD treatment-response, IFN/APC dynamics, or layer-specific transfer studies with matching definitions.	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
7	RA pregnancy comparator but blood APC treatment-response nontransfer	15	decoupling_negative	supported	pregnancy/postpartum comparator literature or datasets	Search for pregnancy/postpartum immune-trajectory sources with APC-arm or treatment-response transfer information.	Source must include matching timing, compartment, and disease-comparator definition.	Do not use general relapse-course context as APC-arm corroboration.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
8	EBV/IFN APC imprint downgraded by specificity control	14	kills_closed	negative-established	EBV-stratified immune-data source	Search for EBV-stratified MS/control immune transcriptomic sources with specificity controls.	Source must support a specificity-aware test route, not merely EBV-MS association context.	Do not use broad EBV-risk literature to reopen a specificity-failed imprint.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
9	GPR25 demoted from protected favorite	14	kills_closed	negative-established	locus/signal-specific genetics source	Search for fine-mapping, colocalization, QTL, or signal-specific records matching the locus and direction.	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
10	MHC overlap is distinct-signal, not simple shared biology	14	decoupling_negative	negative-established	locus/signal-specific genetics source	Search for fine-mapping, colocalization, QTL, or signal-specific records matching the locus and direction.	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
11	No load-bearing invariant found in V26	14	decoupling_negative	negative-established	same-failure-mode source	Search for sources directly addressing the same negative result, direction conflict, or failed transfer mode.	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	If found, add as a segregated external record first; classify relationship in V48 matrix only after source-specific overlap review.
