grounded_finding_id	external_record_id	relationship_class	synthesis_status	external_source	canonical_source_url	source_domain	canonical_source_row_count	canonical_source_relationships	source_independence_class	interpretation_boundary
MS-UC is strongest tested genome-wide genetics comparator	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	https://www.nature.com/articles/s41467-021-25768-0	https://www.nature.com/articles/s41467-021-25768-0	www.nature.com	3	converges;insufficient-overlap	shared_source_cluster	A shared canonical source is one external source cluster, not multiple independent corroborations.
Layer-specific autoimmune transfer-validity map	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	https://www.nature.com/articles/s41467-021-25768-0	https://www.nature.com/articles/s41467-021-25768-0	www.nature.com	3	converges;insufficient-overlap	shared_source_cluster	A shared canonical source is one external source cluster, not multiple independent corroborations.
Bounded APC/HLA-II early treatment-response monitoring scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	dailymed.nlm.nih.gov	3	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
V22 scalar is immune-tone bounded, not steroid/composition artifact	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	dailymed.nlm.nih.gov	3	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
Coupled APC remodeling architecture	resource.msgd.database_commons.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	ngdc.cncb.ac.cn	2	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
T/B-readable early IFN/APC/STAT1 monitoring state	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	dailymed.nlm.nih.gov	1	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
Postpartum HLA-II/CD64 APC-arm imbalance	claim.national_ms_society.rrms_course_context.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	www.nationalmssociety.org	1	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
ZMIZ1 opposite-direction MS/Crohn decoupling	resource.disgenet.platform.2026-06-13	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	https://disgenet.com/	https://disgenet.com/	disgenet.com	1	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	resource.gwas_catalog.ms.2026-06-13	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	https://www.ebi.ac.uk/gwas/	https://www.ebi.ac.uk/gwas	www.ebi.ac.uk	1	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
PTGER4 mixed shared/distinct signal closes naive transfer	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	https://www.nature.com/articles/s41467-021-25768-0	https://www.nature.com/articles/s41467-021-25768-0	www.nature.com	3	converges;insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
No validated broad immune-state simulator from held data	resource.msgd.database_commons.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	ngdc.cncb.ac.cn	2	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
Coupled-axis successor rule does not beat scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	dailymed.nlm.nih.gov	3	insufficient-overlap	not_decision_relationship	A shared canonical source is one external source cluster, not multiple independent corroborations.
