item	category	relevance	novelty	evidence_grade	supporting_artifact	status	v48_coverage	n_v48_rows	relationship_classes	synthesis_statuses	external_record_ids	external_sources
Bounded APC/HLA-II early treatment-response monitoring scalar	positive_supported	5	4	provisional	docs/findings/FINDING_V22.md; docs/locked_rules/LOCKED_RULE_V22.md	primary validation lead; external validation pending	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Tool-robust but simple V22 scalar	methodological	4	3	supported	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	validate scalar; do not add complexity	no_v48_external_relationship_row	0				
V22 scalar is immune-tone bounded, not steroid/composition artifact	methodological	4	3	supported	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	include confounder panels in future validation	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Coupled APC remodeling architecture	positive_supported	4	4	supported	docs/findings/DEEP_STRUCTURE_V26.md	mechanistic context for monitoring; not target	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	resource.msgd.database_commons.2026-06-13	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285
MS-UC is strongest tested genome-wide genetics comparator	positive_supported	4	2	robust	docs/history/LEAD_SLATE_V21.md	genetic backdrop; low novelty but important context	has_external_convergence	1	converges:1	CORROBORATION_FROM_INDEPENDENT_SOURCE:1	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	https://www.nature.com/articles/s41467-021-25768-0
Layer-specific autoimmune transfer-validity map	positive_supported	4	4	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use axes, not disease labels, for transfer	has_external_convergence	1	converges:1	CORROBORATION_FROM_INDEPENDENT_SOURCE:1	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	https://www.nature.com/articles/s41467-021-25768-0
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	4	3	supported	docs/findings/KILL_HYP_V6_006.md	dynamic response readout survives in mucosal IBD	no_v48_external_relationship_row	0				
IFN-beta HLA-II/CD74 branch	positive_supported	3	3	provisional	docs/history/HYPOTHESIS_SLATE_V36.md; analysis/v36_ms_ifnb_longitudinal_audit/	therapy-specific context; not primary rule	no_v48_external_relationship_row	0				
T/B-readable early IFN/APC/STAT1 monitoring state	positive_supported	3	4	provisional	docs/history/HYPOTHESIS_SLATE_V36.md	replication-gated secondary audit	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d
Postpartum HLA-II/CD64 APC-arm imbalance	positive_supported	3	4	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	clinically anchored but MS postpartum data-gated	has_external_context_only	1	insufficient-overlap:1	NO_DIRECT_EXTERNAL_CORROBORATION:1	claim.national_ms_society.rrms_course_context.2026-06-13	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms
