rank	item	source_type_needed	search_target	query	acceptance_criteria	forbidden_shortcut	integration_boundary
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	PubMed/EuropePMC	"""multiple sclerosis"" AND autoimmune AND ""baseline biomarker"" AND ""cross disease"" AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress	"""multiple sclerosis"" autoimmune ""baseline biomarker"" ""cross disease"" ""treatment response"" treatment response baseline longitudinal transcriptome"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
2	UC genetics vs treatment-response layer split	IBD/MS transfer-specific literature or datasets	PubMed/EuropePMC	"""multiple sclerosis"" AND ""inflammatory bowel disease"" AND ""ulcerative colitis"" AND Crohn AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
2	UC genetics vs treatment-response layer split	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress	"""multiple sclerosis"" ""inflammatory bowel disease"" ""ulcerative colitis"" Crohn treatment response baseline longitudinal transcriptome"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
3	First-principles druggability discipline changed target interpretation	method/governance literature	PubMed/EuropePMC	"""multiple sclerosis"" AND ""drug target validation"" AND ""direction of effect"" AND ""target tractability"" AND (""validation"" OR ""biomarker"" OR ""target validation"" OR ""drug target"")"	Source must address the same methodological question, not broad MS biology.	Do not use general disease-mechanism context as method corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
4	Locked V7 general cross-disease baseline fallback killed	same-failure-mode source	PubMed/EuropePMC	"""multiple sclerosis"" AND autoimmune AND ""baseline biomarker"" AND ""cross disease"" AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
4	Locked V7 general cross-disease baseline fallback killed	same-failure-mode source	GEO/ArrayExpress	"""multiple sclerosis"" autoimmune ""baseline biomarker"" ""cross disease"" ""treatment response"" treatment response baseline longitudinal transcriptome"	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
5	Tool-robust but simple V22 scalar	method/governance literature	PubMed/EuropePMC	"""multiple sclerosis"" AND ""biomarker validation"" AND ""treatment response"" AND ""simple model"" AND (""validation"" OR ""biomarker"" OR ""target validation"" OR ""drug target"")"	Source must address the same methodological question, not broad MS biology.	Do not use general disease-mechanism context as method corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
6	Crohn downstream IFN/APC convergence exceeds genetic proximity	IBD/MS transfer-specific literature or datasets	PubMed/EuropePMC	"""multiple sclerosis"" AND ""inflammatory bowel disease"" AND ""ulcerative colitis"" AND Crohn AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
6	Crohn downstream IFN/APC convergence exceeds genetic proximity	IBD/MS transfer-specific literature or datasets	GEO/ArrayExpress	"""multiple sclerosis"" ""inflammatory bowel disease"" ""ulcerative colitis"" Crohn treatment response baseline longitudinal transcriptome"	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	Do not count generic MS-IBD comorbidity or genetics context as response-layer corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
7	RA pregnancy comparator but blood APC treatment-response nontransfer	pregnancy/postpartum comparator literature or datasets	PubMed/EuropePMC	"""multiple sclerosis"" AND pregnancy AND postpartum AND ""rheumatoid arthritis"" AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must include matching timing, compartment, and disease-comparator definition.	Do not use general relapse-course context as APC-arm corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
7	RA pregnancy comparator but blood APC treatment-response nontransfer	pregnancy/postpartum comparator literature or datasets	GEO/ArrayExpress	"""multiple sclerosis"" pregnancy postpartum ""rheumatoid arthritis"" treatment response baseline longitudinal transcriptome"	Source must include matching timing, compartment, and disease-comparator definition.	Do not use general relapse-course context as APC-arm corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
8	EBV/IFN APC imprint downgraded by specificity control	EBV-stratified immune-data source	PubMed/EuropePMC	"EBV AND ""multiple sclerosis"" AND ""Epstein Barr virus"" AND interferon AND (""specificity"" OR ""case control"" OR transcriptom*)"	Source must support a specificity-aware test route, not merely EBV-MS association context.	Do not use broad EBV-risk literature to reopen a specificity-failed imprint.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
8	EBV/IFN APC imprint downgraded by specificity control	EBV-stratified immune-data source	GEO/ArrayExpress	"EBV ""multiple sclerosis"" ""Epstein Barr virus"" interferon ""antigen presentation"" treatment response baseline longitudinal transcriptome"	Source must support a specificity-aware test route, not merely EBV-MS association context.	Do not use broad EBV-risk literature to reopen a specificity-failed imprint.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
9	GPR25 demoted from protected favorite	locus/signal-specific genetics source	PubMed/EuropePMC	"GPR25 AND (""fine mapping"" OR colocalization OR eQTL OR ""direction"")"	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
9	GPR25 demoted from protected favorite	locus/signal-specific genetics source	GWAS/QTL catalogs	GPR25 GWAS eQTL colocalization fine-mapping	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
10	MHC overlap is distinct-signal, not simple shared biology	locus/signal-specific genetics source	PubMed/EuropePMC	"MHC AND ""multiple sclerosis"" AND ""fine mapping"" AND colocalization AND (""fine mapping"" OR colocalization OR eQTL OR ""direction"")"	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
10	MHC overlap is distinct-signal, not simple shared biology	locus/signal-specific genetics source	GWAS/QTL catalogs	MHC multiple sclerosis fine mapping colocalization GWAS eQTL colocalization fine-mapping	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	Do not use catalog-level association existence as causal-direction corroboration.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
11	No load-bearing invariant found in V26	same-failure-mode source	PubMed/EuropePMC	"""multiple sclerosis"" AND ""immune invariant"" AND perturbation AND ""stress response"" AND (""transcriptomic"" OR ""response"" OR ""longitudinal"" OR ""mechanism"")"	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
11	No load-bearing invariant found in V26	same-failure-mode source	GEO/ArrayExpress	"""multiple sclerosis"" ""immune invariant"" perturbation ""stress response"" treatment response baseline longitudinal transcriptome"	Source must match the project failure definition closely enough for convergence/contradiction classification.	Do not add generic biological context to a closed/negative finding.	Search results are candidates only; no claim enters the project without V47 segregated-record intake and V48 overlap review.
