external_record_id	external_record_type	epistemic_class	external_relationship_tag	source_label	source_url	source_doi	source_pmid	not_project_grounded_marker	project_finding_id	project_finding_artifact	synthesis_relationship	synthesis_status	action_required_before_use	external_record_path
resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	ArrayExpress in BioStudies page	https://www.ebi.ac.uk/arrayexpress/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
resource.biostudies.database.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	EMBL-EBI BioStudies team page	https://www.ebi.ac.uk/about/teams/biostudies/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/biostudies_database.json
resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	ClinicalTrials.gov home page	https://clinicaltrials.gov/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/clinicaltrials_gov.json
resource.disgenet.platform.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	DISGENET home page	https://disgenet.com/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/disgenet_platform.json
resource.dryad.repository.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Dryad home page	https://datadryad.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/dryad_repository.json
resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	EGA home page	https://ega-archive.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/ega_controlled_genomics.json
resource.ena.sequence_archive.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	ENA Browser	https://www.ebi.ac.uk/ena/browser/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/ena_sequence_archive.json
resource.europe_pmc.literature.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Europe PMC home page	https://europepmc.org/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/europe_pmc_literature.json
resource.figshare.repository.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	Figshare about page	https://info.figshare.com/about/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/figshare_repository.json
resource.geo.functional_genomics.2026-06-13	external_resource_catalog	external-unverifiable	orthogonal	NCBI GEO home page	https://www.ncbi.nlm.nih.gov/geo/			NOT_PROJECT_GROUNDED	UNLINKED_RESOURCE_METADATA_ONLY		unlinked	placeholder_no_claim_conclusion	Manually review a specific external claim against a specific grounded project artifact; do not treat this placeholder as convergence or contradiction.	knowledge_external/catalogs/resources/geo_functional_genomics.json
