item	category	evidence_grade	supporting_artifact	rationale_class	rationale	next_action
Tool-robust but simple V22 scalar	methodological	supported	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	method_specific_external_context_absent	The item is a project-method or governance result; external literature rarely maps one-to-one to the exact project procedure.	Add only method-specific external context, not broad biological context.
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	supported	docs/findings/KILL_HYP_V6_006.md	no_relevant_external_record_imported	No imported external record overlaps the finding closely enough to assert convergence or contradiction under V47/V48 provenance rules.	Future V47-style intake can add a sourced external record if it directly overlaps the finding.
IFN-beta HLA-II/CD74 branch	positive_supported	provisional	docs/history/HYPOTHESIS_SLATE_V36.md; analysis/v36_ms_ifnb_longitudinal_audit/	avoid_false_corroboration	The project finding is not robust enough to benefit from broad external context; generic literature agreement would risk overstating a provisional result.	Queue a future external-verifiable task only if a source points to a concrete dataset or predefined test.
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	negative-established	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
UC genetics vs treatment-response layer split	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Sjogren antigen-presentation but not lysosomal/APC lesion-rim transfer	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
No load-bearing invariant found in V26	decoupling_negative	negative-established	docs/findings/DEEP_STRUCTURE_V26.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
Locked V7 general cross-disease baseline fallback killed	kills_closed	negative-established	docs/findings/KILL_HYP_V6_006.md	targeted_external_record_needed	This is a project-specific negative, kill, or decoupling result; V48 should not force a generic external context row without a source that addresses the same direction/definition.	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
