grounded_finding_id	external_record_id	synthesis_status	queue_priority	triage_class	actionability	next_test	required_input	reason	future_grounding_action
Bounded APC/HLA-II early treatment-response monitoring scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	high	ready_when_blind_validation_data_arrive	high	Run the frozen V42/V44 validation harness on paired labeled DMF or immune-remodeling/JAK-STAT response data.	Paired baseline/early-treatment transcriptomes, response labels, module genes, and predeclared batch/confounder metadata.	The external treatment label is not validation, but the project already has a frozen harness for the exact future test.	Validate with the frozen V42/V44 harness on a paired labeled DMF cohort; do not use label context as validation.
V22 scalar is immune-tone bounded, not steroid/composition artifact	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	validation_guardrail_already_preregistered	high	Apply the V42/V44 confounder and batch diagnostics alongside the frozen scalar in the validation cohort.	Validation cohort with enough expression coverage to score steroid, cell-composition, metabolic, STAT1/immune-tone, and batch diagnostics.	This row is not externally corroborated, but it is already converted into a mechanical validation guardrail.	Use the V42/V44 confounder and batch diagnostics when real validation data arrive.
Coupled APC remodeling architecture	resource.msgd.database_commons.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	source_specific_import_before_comparison	medium	Import source-specific CD74, MIF, HLA, IFN/APC, and APC-axis records before comparing against V26.	Specific external records or datasets with source snapshots, not resource-level metadata.	Resource metadata cannot corroborate architecture; only source-specific axis records can be compared.	Import specific CD74, MIF, HLA, and APC-axis external records only as segregated future-grounding context before comparing them to V26.
T/B-readable early IFN/APC/STAT1 monitoring state	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	needs_compartment_resolved_response_data	medium	Run the pre-registered T/B-compartment monitoring harness on paired response data with compartment-resolved or deconvolved readouts.	Paired treatment-response data with T/B compartment signal or defensible deconvolution.	A CD20 therapy label is not a monitoring-state validation; the row becomes testable only with compartment-resolved response data.	Ground only in paired response data with compartment-resolved or deconvolved readouts.
Postpartum HLA-II/CD64 APC-arm imbalance	claim.national_ms_society.rrms_course_context.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	needs_true_postpartum_ms_trajectory	medium	Test HLA-II-minus-CD64 APC-arm trajectory against postpartum relapse-window timing in MS.	MS pregnancy/postpartum immune trajectory data with relapse-window timing and APC readouts.	General RRMS course context is not postpartum APC evidence; the missing data type is specific and already defined.	Acquire true postpartum MS immune trajectory data with relapse-window timing.
ZMIZ1 opposite-direction MS/Crohn decoupling	resource.disgenet.platform.2026-06-13	RESOURCE_CAN_QUEUE_FUTURE_CHECK	high	source_specific_import_before_comparison	high	Import specific ZMIZ1 disease-gene, variant, QTL, or direction records, then compare to the project's MS/Crohn directionality.	Source-specific ZMIZ1 records with disease, direction, variant/gene mapping, and source snapshots.	The current DisGeNET row is only resource metadata; source-specific ZMIZ1 direction records are readily definable.	Create a future-grounding task only after importing specific ZMIZ1 records with source snapshots and hashes.
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	resource.gwas_catalog.ms.2026-06-13	RESOURCE_CAN_QUEUE_FUTURE_CHECK	high	source_specific_import_before_comparison	high	Import specific GWAS Catalog or fine-mapping association records for KIF21B/GPR25 and compare direction/tractability to V19.	Signal-specific associations or fine-mapping/QTL records with variant, effect, trait, and date/version.	Catalog-level existence is insufficient, but the source-specific import path is concrete.	Import specific GWAS Catalog associations only as future-grounding records before comparison.
PTGER4 mixed shared/distinct signal closes naive transfer	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	low	closed_unless_signal_specific_data_arrive	low	Only reopen if PTGER4-specific fine-mapping, QTL, or treatment-transfer data directly address the mixed-signal failure mode.	PTGER4 signal-specific external data with direction and disease-layer definitions.	General treatment-transfer caution is context only; the project finding is already negative-established for naive transfer.	Leave PTGER4 closed unless signal-specific external data are imported and grounded.
No validated broad immune-state simulator from held data	resource.msgd.database_commons.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	closed_unless_new_perturbation_validation_data_arrive	low	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.	Held-out perturbation or response dataset suitable for simulator validation.	External resource metadata cannot address the simulator validation failure.	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.
Coupled-axis successor rule does not beat scalar	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	NO_DIRECT_EXTERNAL_CORROBORATION	low	closed_unless_preregistered_external_comparison_arrives	low	Retest only under a preregistered external scalar-versus-successor comparison.	External cohort with frozen scalar and any pre-locked successor evaluated under the V27/V42 comparison rules.	A treatment label cannot evaluate the predictive comparison; current project result remains negative-established.	Keep V27 negative-established unless a future external cohort is tested with the frozen scalar and any pre-locked successor under a preregistered comparison.
Locked V7 general cross-disease baseline fallback killed	claim.probast_tripod.prediction_model_validation_context.2026-06-14	NO_DIRECT_EXTERNAL_CORROBORATION	low	closed_unless_same_failure_mode_dataset_arrives	low	Only retest the baseline fallback in a predefined external dataset directly matching the cross-disease baseline-fallback rule.	Dataset with baseline-only cross-disease transfer structure and predefined failure-mode comparison.	Generic prediction-model guidance supports discipline but not the specific kill.	Keep the V7 fallback killed unless a predefined external dataset directly tests the baseline-fallback rule.
Crohn downstream IFN/APC convergence exceeds genetic proximity	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	low	needs_crohn_response_data	medium	Test downstream IFN/APC response convergence in Crohn paired response data before using Crohn as a monitoring comparator.	Crohn paired treatment-response transcriptomic data with IFN/APC module coverage.	MS-UC/MS-CD genetic proximity context does not test downstream response convergence.	Import or acquire Crohn response datasets before using Crohn as a downstream response-monitoring comparator.
