grounded_finding_id	grounded_category	grounded_evidence_grade	grounded_artifact	external_record_id	external_record_type	external_record_path	epistemic_class	external_source	not_project_grounded_marker	relationship_class	synthesis_status	interpretation	future_grounding_action	row_status
MS-UC is strongest tested genome-wide genetics comparator	positive_supported	robust	docs/history/LEAD_SLATE_V21.md	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external_claim	knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external literature claim independently reports stronger MS-UC than MS-CD genetic correlation. This aligns with the project's rerunnable MS-UC genetics backdrop; the project artifact remains the evidence.	No action needed for current interpretation; future refresh should hash and rerun the external summary-statistic inputs if imported.	PASS
Layer-specific autoimmune transfer-validity map	positive_supported	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external_claim	knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external literature context warns that treatment effects do not transfer naively between MS and IBD. This aligns with the project's axis-specific transfer-validity map; the project artifact remains the evidence.	If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data.	PASS
Bounded APC/HLA-II early treatment-response monitoring scalar	positive_supported	provisional	docs/findings/FINDING_V22.md; docs/locked_rules/LOCKED_RULE_V22.md	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external_claim	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The DMF label provides treatment-context and mechanism-uncertainty context, but it does not independently assert an APC/HLA-II early-response monitoring rule.	Validate with the frozen V42/V44 harness on a paired labeled DMF cohort; do not use label context as validation.	PASS
V22 scalar is immune-tone bounded, not steroid/composition artifact	methodological	supported	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external_claim	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The label context does not test glucocorticoid, composition, metabolic, or STAT1 confounding of the project score.	Use the V42/V44 confounder and batch diagnostics when real validation data arrive.	PASS
Coupled APC remodeling architecture	positive_supported	supported	docs/findings/DEEP_STRUCTURE_V26.md	resource.msgd.database_commons.2026-06-13	external_resource_catalog	knowledge_external/catalogs/resources/msgd_database_commons.json	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	A curated MS gene database can provide gene-level context, but the current resource metadata does not independently assert the project's coupled HLA/IFN-APC and MIF-CD74 architecture.	Import specific CD74, MIF, HLA, and APC-axis external records only as segregated future-grounding context before comparing them to V26.	PASS
T/B-readable early IFN/APC/STAT1 monitoring state	positive_supported	provisional	docs/history/HYPOTHESIS_SLATE_V36.md	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	external_claim	knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The ocrelizumab label contextualizes CD20-directed therapy, but it does not corroborate the project's early IFN/APC/STAT1 monitoring-state readout.	Ground only in paired response data with compartment-resolved or deconvolved readouts.	PASS
Postpartum HLA-II/CD64 APC-arm imbalance	positive_supported	provisional	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	claim.national_ms_society.rrms_course_context.2026-06-13	external_claim	knowledge_external/records/ms_disease_course_rrms_context.json	external-unverifiable	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The disease-course context is relevant to relapse/remission terminology, but it does not address postpartum APC-arm trajectories.	Acquire true postpartum MS immune trajectory data with relapse-window timing.	PASS
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	supported	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	resource.disgenet.platform.2026-06-13	external_resource_catalog	knowledge_external/catalogs/resources/disgenet_platform.json	external-unverifiable	https://disgenet.com/	NOT_PROJECT_GROUNDED	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	The resource may contain disease-gene assertions, but the current resource metadata record does not contain a ZMIZ1 directionality claim.	Create a future-grounding task only after importing specific ZMIZ1 records with source snapshots and hashes.	PASS
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json	external-unverifiable	https://www.ebi.ac.uk/gwas/	NOT_PROJECT_GROUNDED	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	The resource metadata confirms a public association catalog exists, but it does not itself confirm the project's chr1 causal-gene/direction assessment.	Import specific GWAS Catalog associations only as future-grounding records before comparison.	PASS
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	negative-established	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external_claim	knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	The treatment-transfer caution supports the general need for mechanism-specific transfer, but it does not speak to PTGER4 fine-mapping or signal conflict.	Leave PTGER4 closed unless signal-specific external data are imported and grounded.	PASS
No validated broad immune-state simulator from held data	kills_closed	negative-established	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	resource.msgd.database_commons.2026-06-13	external_resource_catalog	knowledge_external/catalogs/resources/msgd_database_commons.json	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	A curated MS gene database is a useful external resource, but it does not validate the project's held-out simulator negative or supply perturbation validation.	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.	PASS
Coupled-axis successor rule does not beat scalar	kills_closed	negative-established	docs/history/LEAD_INVENTORY_V29.md; analysis/v27_coupled_axis/v27_scalar_vs_coupled_metrics.tsv	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external_claim	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The DMF label offers treatment context but does not evaluate whether a coupled-axis response rule improves over the locked scalar.	Keep V27 negative-established unless a future external cohort is tested with the frozen scalar and any pre-locked successor under a preregistered comparison.	PASS
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	supported	docs/findings/KILL_HYP_V6_006.md	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	external_claim	knowledge_external/records/ibd_tofacitinib_mhc_stat1_context.json	external-unverifiable	https://pmc.ncbi.nlm.nih.gov/articles/PMC9152176/	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external UC colonoid context reports JAK-inhibitor modulation of STAT1 activation and MHC-II expression. This independently aligns with the project's dynamic mucosal IFN/APC response finding; the project artifact remains the evidence.	If this context is used beyond corroboration, import paired mucosal response data under a frozen test rather than using literature context as validation.	PASS
UC genetics vs treatment-response layer split	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external_claim	knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external MS-IBD treatment-transfer caution independently supports the premise that genetic relatedness and treatment-response transfer are not the same layer. This aligns with the project's layer-split finding; the project artifact remains the evidence.	Use disease-pair and treatment-pair specific data before transferring any therapeutic inference across layers.	PASS
First-principles druggability discipline changed target interpretation	methodological	supported	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	claim.open_targets.direction_tractability_context.2026-06-14	external_claim	knowledge_external/records/method_target_direction_tractability_context.json	external-unverifiable	https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-102523-103838	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external target-prioritization context independently emphasizes tractability, safety, mechanism, and direction-of-effect rather than association alone. This aligns with the project's discipline change; the project artifact remains the evidence.	Continue treating target-class precedent as insufficient unless direction-matched and tractable for the specific project signal.	PASS
Locked V7 general cross-disease baseline fallback killed	kills_closed	negative-established	docs/findings/KILL_HYP_V6_006.md	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external_claim	knowledge_external/records/method_prediction_model_validation_context.json	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/30596875/	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Prediction-model validation guidance supports general caution about applicability and overfitting, but it does not independently test the project's specific cross-disease baseline-fallback kill.	Keep the V7 fallback killed unless a predefined external dataset directly tests the baseline-fallback rule.	PASS
Tool-robust but simple V22 scalar	methodological	supported	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external_claim	knowledge_external/records/method_prediction_model_validation_context.json	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/30596875/	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	The external prediction-model guidance independently emphasizes validation, applicability, and overfitting risk. This aligns with the project's decision to prefer the tool-robust simple scalar over more flexible alternatives; the project artifact remains the evidence.	Do not add complexity to the locked rule without a preregistered external validation advantage.	PASS
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external_claim	knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	The external genetics context supports weaker MS-CD than MS-UC genetic proximity, but it does not independently establish the project's downstream Crohn IFN/APC response convergence.	Import or acquire Crohn response datasets before using Crohn as a downstream response-monitoring comparator.	PASS
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	supported	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	external_claim	knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/38049980/	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The external RA/SLE pregnancy transcriptome source supports pregnancy-comparator context, but it does not independently test MS blood APC treatment-response nontransfer.	Use RA pregnancy data only for pregnancy-timing hypotheses unless paired MS treatment-response data directly test transfer.	PASS
EBV/IFN APC imprint downgraded by specificity control	kills_closed	negative-established	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	external_claim	knowledge_external/records/ebv_ms_longitudinal_risk_context.json	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/35025605/	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	The external longitudinal EBV-MS risk result is important disease context, but it does not independently support or refute the project's APC/IFN imprint specificity-control downgrade.	Reopen only with EBV-stratified expression data and predefined specificity controls.	PASS
