rank	item	category	relevance	novelty	evidence_grade	rationale_class	priority_score	priority_tier	priority_reason	safe_source_requirement	supporting_artifact	status	next_action
1	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	4	3	supported	no_relevant_external_record_imported	18	high	relevance 4; novelty 3; evidence supported; rationale no_relevant_external_record_imported	Require a source directly overlapping the grounded finding before adding a V48 relationship row.	docs/findings/KILL_HYP_V6_006.md	dynamic response readout survives in mucosal IBD	Future V47-style intake can add a sourced external record if it directly overlaps the finding.
2	UC genetics vs treatment-response layer split	decoupling_negative	4	3	supported	targeted_external_record_needed	17	high	relevance 4; novelty 3; evidence supported; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	genetic and response-transfer axes separated	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
3	First-principles druggability discipline changed target interpretation	methodological	4	4	supported	method_specific_external_context_absent	16	high	relevance 4; novelty 4; evidence supported; rationale method_specific_external_context_absent	Require a method-specific source about the same procedure or governance issue; broad disease biology is not sufficient.	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	do not use class precedent as druggability shortcut	Add only method-specific external context, not broad biological context.
4	Locked V7 general cross-disease baseline fallback killed	kills_closed	4	3	negative-established	targeted_external_record_needed	16	high	relevance 4; novelty 3; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/KILL_HYP_V6_006.md	baseline fallback rejected; dynamic mucosal IBD survives	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
5	Tool-robust but simple V22 scalar	methodological	4	3	supported	method_specific_external_context_absent	15	high	relevance 4; novelty 3; evidence supported; rationale method_specific_external_context_absent	Require a method-specific source about the same procedure or governance issue; broad disease biology is not sufficient.	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md	validate scalar; do not add complexity	Add only method-specific external context, not broad biological context.
6	Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	3	3	supported	targeted_external_record_needed	15	high	relevance 3; novelty 3; evidence supported; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	response-monitoring analogy, not genetic target transfer	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
7	RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	3	3	supported	targeted_external_record_needed	15	high	relevance 3; novelty 3; evidence supported; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	use RA for postpartum timing, not blood APC biomarker transfer	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
8	EBV/IFN APC imprint downgraded by specificity control	kills_closed	3	3	negative-established	targeted_external_record_needed	14	high	relevance 3; novelty 3; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	reopen only with EBV-stratified data	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
9	GPR25 demoted from protected favorite	kills_closed	3	3	negative-established	targeted_external_record_needed	14	high	relevance 3; novelty 3; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	conditional causal candidate only	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
10	MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	3	2	negative-established	targeted_external_record_needed	14	high	relevance 3; novelty 2; evidence negative-established; rationale targeted_external_record_needed	Require a source that addresses the same direction, locus, failure mode, or definition; generic disease context is insufficient.	analysis/v14_locus_landscape/REPORT.md; analysis/v14_susie_coloc/REPORT.md	HLA overlap should not be overread as shared causal variant	Only add external context if a source directly discusses the same locus/lead/failure mode and can be classed without changing the grounded result.
