question	read_this_first	why
What did V49 change overall?	V49_CONTENT_HANDOFF.md	Compact handoff across hygiene, gap closure, validation routing, import packets, closures, and source terms.
Is the repo pushable now?	meta/V49_REWRITE_PUSH_HANDOFF.md	Records the history rewrite, remote removal, force-push step, and clone re-sync commands.
Which V48 convergence gaps were closed?	V49_RELATIONSHIP_DELTA_NOTE.md	Summarizes the matrix delta and decision-relevant interpretation.
Which external agreements count as independent source clusters?	V49_SOURCE_INDEPENDENCE_DELTA.md	Prevents counting 7 rows as 7 independent corroborations; the correct source-cluster count is 5.
Are there contradictions?	V49_ZERO_CONTRADICTION_CAVEAT.md	Explains why 0 current contradiction rows is not the same thing as consensus.
Which future contradictions should be watched?	V49_CONTRADICTION_SURVEILLANCE_SHORTLIST.md	Lists the rows where same-definition future sources could create real tension.
Is the V22 validation path already covered?	V49_VALIDATION_READY_ROW_CROSSCHECK.md	Shows the primary V22 and confounder/batch guardrails are covered by V42/V44.
Which rows need source-specific intake?	V49_SOURCE_SPECIFIC_IMPORT_PACKETS.md	Defines acceptance gates for ZMIZ1, chr1 KIF21B/GPR25, and coupled APC-axis records.
How do those import packets relate to the future-grounding queue?	V49_IMPORT_PACKET_QUEUE_RECONCILIATION.md	Maps broad generated queue rows to stricter V49 field gates.
Which rows should stay closed unless a narrow trigger appears?	V49_CONTEXT_ONLY_CLOSURE_GUARDRAIL.md	Prevents broad context sources from reopening seven low-actionability rows.
Did V49 change the comparator matrix?	V49_COMPARATOR_MATRIX_REVIEW.md	Shows no new resource-level comparator rows are warranted from V49 source domains.
Which resource candidates are still absent?	V49_ABSENT_RESOURCE_INTAKE_CANDIDATES.md	Lists future metadata-only intake candidates with acceptance gates.
What are the source-terms follow-ups?	V49_SOURCE_TERMS_FOLLOWUP.md	Separates metadata-only current use from fuller-reuse terms/access review.
What happened to the V48 unresolved handoff?	V49_UNRESOLVED_ACTION_RECONCILIATION.md	Marks V48 rows as covered, narrowed, closed-unless-triggered, or unchanged after V49.
