output_file	required	minimum_fields_or_content	why_needed	redaction_note	package_state	root	path	required_now	check_status	detail	hard_fail
RUN_METADATA.txt	yes	exact command; script commit/hash if available; expression-type; run timestamp; software versions	verifies frozen execution	exclude private paths if needed	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/RUN_METADATA.txt	True	PRESENT	text readable	False
validation_summary.json	yes	result_class; n_labeled; n_responders; n_nonresponders; primary_status; warnings	enables V42 result routing	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/validation_summary.json	True	PRESENT	json readable	False
sample_attrition.tsv	yes	counts by exclusion reason; no private IDs required	distinguishes unscoreable/underpowered from fail	aggregate or pseudonymized if terms allow	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/sample_attrition.tsv	True	PRESENT	tsv readable	False
gene_mapping_coverage.tsv	yes	module names; n genes; n present; coverage; scoreable status	verifies module coverage	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/gene_mapping_coverage.tsv	True	PRESENT	tsv readable	False
locked_rule_metrics.tsv	yes	AUC; AUC CI; Hedges g; permutation p; receptor/control metrics	primary frozen result	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/locked_rule_metrics.tsv	True	PRESENT	tsv readable	False
confounder_adjustment_metrics.tsv	yes	panel; scoreable; adjusted effect/AUC/status where produced	interprets confounding	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/confounder_adjustment_metrics.tsv	True	PRESENT	tsv readable	False
joint_confounder_metrics.tsv	yes	joint adjustment status and effect summary	interprets multi-confounder attenuation	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/joint_confounder_metrics.tsv	True	PRESENT	tsv readable	False
batch_diagnostic_metrics.tsv	yes	batch/QC fields tested; warning/fail status; response-correlation summary	interprets batch guard	aggregate only	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/batch_diagnostic_metrics.tsv	True	PRESENT	tsv readable	False
validation_result_report.md	yes	one V42 result class; required interpretation sentence; limitations	handoff-ready result	no private data	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/validation_result_report.md	True	PRESENT	text readable	False
failure_taxonomy_code.txt	yes_if_unscoreable	named V45 failure code; failed gate; allowed repair requested	interprets blocked package	no private data	scored	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package	analysis/v46_author_run_metric_format_adapter/adapter/normalized_package/failure_taxonomy_code.txt	False	MISSING	file is absent	False
