case	row_number	check	status	detail
terms_blocked_after_shape		required_columns_present	PASS	all required columns present
terms_blocked_after_shape		no_extra_columns	PASS	no extra columns
terms_blocked_after_shape		has_at_least_one_row	PASS	9
terms_blocked_after_shape	1	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	1	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	1	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	1	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	1	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	2	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	2	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	2	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	2	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	2	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	3	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	3	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	3	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	3	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	3	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	4	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	4	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	4	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	4	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	4	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	5	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	5	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	5	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	5	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	5	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	6	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	6	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	6	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	6	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	6	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	7	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	7	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	7	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	7	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	7	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	8	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	8	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	8	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	8	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	8	sha_recorded_or_not_recordable	PASS	synthetic
terms_blocked_after_shape	9	path_is_relative_non_sensitive_aggregate	PASS	relative_non_sensitive_aggregate_path
terms_blocked_after_shape	9	sensitivity_class_safe	PASS	derived_non_sensitive_summary
terms_blocked_after_shape	9	commit_allowed_safe	PASS	yes
terms_blocked_after_shape	9	bytes_present_or_unknown	PASS	123
terms_blocked_after_shape	9	sha_recorded_or_not_recordable	PASS	synthetic
