resource	query_or_record	key_result	link
Wave15 surface dependency	LAPTM5 row in candidate_ranked.tsv	GO_SCOUT; rank score 22.75; disease-control trend in 3 diseases; residual HLA/CD74-state coupling in 6 diseases	results_v3/wave15_surface_trafficking_dependency/candidate_ranked.tsv
Wave15 orchestrator	LAPTM5 row in candidate_dependency_priority_summary.tsv	Priority score 10.0; expression trend support in Crohn, Sjogren, UC; residual-state support in Crohn, psoriasis, RA, T1D	results_v3/wave15_orchestrator_dependency_scan/candidate_dependency_priority_summary.tsv
Wave15 Geneformer delete	LAPTM5 row in wave15_geneformer_loader_dependency_gene_summary.tsv	Weak-positive only; 7 token contexts, 32 disease cells, 1 support context, no strong support contexts	results_v3/wave15_geneformer_loader_dependency_delete/wave15_geneformer_loader_dependency_gene_summary.tsv
Wave15 external gate	LAPTM5 row in loader_external_gate_summary.tsv	Open Targets gwas_credible_sets rows 0; ClinicalTrials.gov hits 0; EuropePMC query total 1951	results_v3/wave15_loader_external_gate/loader_external_gate_summary.tsv
Europe PMC	LAPTM5 AND autoimmune disease panel	325 hits; mostly expression/bioinformatics/adjacent disease biology rather than direct intervention	https://europepmc.org/search?query=%28LAPTM5%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
Europe PMC	LAPTM5 AND MHC/HLA/CD74/CIITA/antigen presentation	507 hits; supports proximity to antigen-presentation state but not direct target validation	https://europepmc.org/search?query=%28LAPTM5%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
Europe PMC	LAPTM5 AND inhibitor/antagonist/antibody/trial/therapeutic	1119 hits; recent hits include rosacea STING and cancer/autophagy contexts, not autoimmune LAPTM5 clinical programs	https://europepmc.org/search?query=%28LAPTM5%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
ClinicalTrials.gov	LAPTM5	No studies returned by Wave15 API check and live API spot check	https://clinicaltrials.gov/search?term=LAPTM5
Open Targets Platform	ENSG00000162511 / LAPTM5	Target resolves; gwas_credible_sets evidence for selected autoimmune diseases returned no rows; tractability shows no approved/clinical/high-quality small-molecule flags	https://platform.opentargets.org/target/ENSG00000162511
UniProt	LAPTM5 human Q13571	Reviewed 262-aa lysosomal multi-pass membrane protein; preferential hematopoietic expression; binds ubiquitin; lysosome membrane localization	https://www.uniprot.org/uniprotkb/Q13571/entry
NCBI Gene	LAPTM5 Gene ID 7805	Protein-coding gene at 1p35.2; broad expression highest in bone marrow/lymph node; GO includes Golgi-to-lysosome transport and negative regulation of T/B-cell activation/receptor signaling	https://www.ncbi.nlm.nih.gov/gene/7805
PubMed/EuropePMC	PMID 22949502	Pre-BCR signal induces LAPTM5; LAPTM5 transports intracellular pre-BCR to lysosomes and limits surface pre-BCR supply	https://pubmed.ncbi.nlm.nih.gov/22949502/
PubMed/EuropePMC	PMID 24638062	LAPTM5 promotes lysosomal degradation of intracellular CD3zeta and negatively regulates TCR expression/activation	https://pubmed.ncbi.nlm.nih.gov/24638062/
PubMed/PMC	PMID 22733818 / PMC3431655	LAPTM5 is required for efficient macrophage proinflammatory cytokine signaling downstream of TLR/TNF/NOD-like stimuli	https://pmc.ncbi.nlm.nih.gov/articles/PMC3431655/
PubMed/EuropePMC	PMID 25998573	Chinese SLE cohort: lower LAPTM5 PBMC mRNA in SLE and lupus nephritis; SNPs not associated with SLE susceptibility	https://pubmed.ncbi.nlm.nih.gov/25998573/
PubMed/PMC	PMID 41087666	LAPTM5 stabilizes STING and AAV/shRNA knockdown attenuates LL-37 rosacea-like inflammation in mice	https://pubmed.ncbi.nlm.nih.gov/41087666/
PubMed/EuropePMC	PMID 35091468	LAPTM5 transcript stabilization maintains lysosomal membrane integrity in cancer cells; knockdown promotes lysosomal membrane permeabilization	https://pubmed.ncbi.nlm.nih.gov/35091468/
Google Patents	LAPTM5 autoimmune antigen presentation	Search URL retained; no direct LAPTM5 autoimmune intervention patent found in targeted search	https://patents.google.com/?q=LAPTM5+autoimmune+antigen+presentation
Espacenet	LAPTM5 autoimmune antigen presentation	Search URL retained for patent landscape cross-check	https://worldwide.espacenet.com/patent/search?q=LAPTM5+autoimmune+antigen+presentation
