gene	call	fresh_score	support_channels	ms	broad_cell_state	response	genetics	perturbation_or_model	modality	ms_delta_log2	ms_p	ms_fdr	broad_positive_disease_count	broad_positive_diseases	response_contexts	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave55_genetic_disease_count	blocker_flag	blocker_text
NCF2	NO_GO_FRESH_SCAN	4.9	4	True	False	False	True	True	True	0.5993704440951095	0.0194216439823732	0.8372898579012464	2	Crohn disease;ulcerative colitis	0	2	1	0	True	  NO_REOPEN_BLOCKED_BRANCH NOX2 host-defense/CGD directionality risk NO_GO_WAVE62_TARGET_RESOLUTION
CXCR2	NO_GO_FRESH_SCAN	4.6	4	False	True	False	True	True	True	0.8298247585525846	0.3775250672864965	0.9141270983319502	3	Crohn disease;psoriasis;ulcerative colitis	0	0	1	0	True	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED chemokine/neutrophil route prior audited and infection-risk broad NO_GO_WAVE62_TARGET_RESOLUTION
CBX3	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.3505111291715241	0.0165873089490037	0.8372898579012464	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
FMNL2	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.4116873433440275	0.0323812070948891	0.8506970233122761	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
TNFAIP8L1	NO_GO_FRESH_SCAN	4.3	2	True	True	False	False	False	False	0.4563149724166724	0.0085624242089706	0.8349413280632139	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
APOC1	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.8063088065414767	0.0333487255864159	0.8506970233122761	3	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
AQR	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.2576228255837183	0.0459326873416809	0.8734815344479258	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	0	False	    
CHI3L1	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	2.006853151074319	0.0046126032857275	0.8344760564031432	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
CRTAP	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.3843746543733211	0.0498891394668517	0.8768579428612613	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
CXCL9	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	2.5544176187121583	0.0309913568123503	0.8506970233122761	3	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
DAP	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.3933456450044126	0.0080691967127082	0.8344760564031432	3	Crohn disease;psoriasis;ulcerative colitis	0	0	0	0	False	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
LTA4H	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.8088474560590342	0.0063566148101549	0.8344760564031432	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
NCK1	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.4449989986308154	0.0055557148533128	0.8344760564031432	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
PLEK2	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	3.0459958234208124	0.0073786076112192	0.8344760564031432	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
PPIL3	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.6072339458133413	0.0182948169279802	0.8372898579012464	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
PPP3CA	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.3662550380794975	0.0343364012152779	0.8506970233122761	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
SNX10	NO_GO_FRESH_SCAN	4.1	2	True	True	False	False	False	False	0.712408223548989	0.0127398445881719	0.8349413280632139	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0	0	0	0	False	    
ABHD2	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.7082492463572763	0.0032438170483105	0.8344760564031432	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
BTF3	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.304770964070439	0.0167967913854618	0.8372898579012464	2	Sjogren syndrome;ulcerative colitis	0	0	0	0	False	    
CCNI	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.490854059033099	0.0208777725876352	0.8372898579012464	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
CDV3	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.225039193551547	0.0365906398331607	0.8506970233122761	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
DIAPH1	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.4327883430790198	0.0370234611129366	0.8506970233122761	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
ERI1	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.588996533957598	0.0097895496839974	0.8349413280632139	2	Crohn disease;psoriasis	0	0	0	0	False	    
IL2RG	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.7679981961613978	0.0170189770238671	0.8372898579012464	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
ITGAV	NO_GO_FRESH_SCAN	3.9	2	True	True	False	False	False	False	0.561919614395908	0.0174383647823735	0.8372898579012464	2	Crohn disease;ulcerative colitis	0	0	0	0	False	    
